,county,school_dist,total_pupil_count,total_stable_student_count,total_stability_rate,total_mobile_student_count,total_student_mobility_rate,total_instances_of_mobility,total_mobility_incidence_rate,total_female_pupil_count,total_female_stable_student_count,total_female_stability_rate,total_female_mobile_student_count,total_female_student_mobility_rate,total_female_instances_of_mobility,total_female_mobility_incidence_rate,total_male_pupil_count,total_male_stable_student_count,total_male_stability_rate,total_male_mobile_student_count,total_male_student_mobility_rate,total_male_instances_of_mobility,total_male_mobility_incidence_rate,total_american_indian_or_alaska_native_pupil_count,total_american_indian_or_alaska_native_stable_student_count,total_american_indian_or_alaska_native_stability_rate,total_american_indian_or_alaska_native_mobile_student_count,total_american_indian_or_alaska_native_student_mobility_rate,total_american_indian_or_alaska_native_instances_of_mobility,total_american_indian_or_alaska_native_mobility_incidence_rate,total_asian_pupil_count,total_asian_stable_student_count,total_asian_stability_rate,total_asian_mobile_student_count,total_asian_student_mobility_rate,total_asian_instances_of_mobility,total_asian_mobility_incidence_rate,total_black_or_african_american_pupil_count,total_black_or_african_american_stable_student_count,total_black_or_african_american_stability_rate,total_black_or_african_american_mobile_student_count,total_black_or_african_american_student_mobility_rate,total_black_or_african_american_instances_of_mobility,total_black_or_african_american_mobility_incidence_rate,total_hispanic_or_latino_pupil_count,total_hispanic_or_latino_stable_student_count,total_hispanic_or_latino_stability_rate,total_hispanic_or_latino_mobile_student_count,total_hispanic_or_latino_student_mobility_rate,total_hispanic_or_latino_instances_of_mobility,total_hispanic_or_latino_mobility_incidence_rate,total_white_pupil_count,total_white_stable_student_count,total_white_stability_rate,total_white_mobile_student_count,total_white_student_mobility_rate,total_white_instances_of_mobility,total_white_mobility_incidence_rate,total_native_hawaiian_or_other_pacific_islander_pupil_count,total_native_hawaiian_or_other_pacific_islander_stable_student_count,total_native_hawaiian_or_other_pacific_islander_stability_rate,total_native_hawaiian_or_other_pacific_islander_mobile_student_count,total_native_hawaiian_or_other_pacific_islander_student_mobility_rate,total_native_hawaiian_or_other_pacific_islander_instances_of_mobility,total_native_hawaiian_or_other_pacific_islander_mobility_incidence_rate,total_two_or_more_races_pupil_count,total_two_or_more_races_stable_student_count,total_two_or_more_races_stability_rate,total_two_or_more_races_mobile_student_count,total_two_or_more_races_student_mobility_rate,total_two_or_more_races_instances_of_mobility,total_two_or_more_races_mobility_incidence_rate
30,CHEYENNE,KIT CARSON R-1,131,102,77.9,29,22.1,29,22.1,71,59,83.1,12,16.9,12,16.9,60,43,71.7,17,28.3,17,28.3,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,19,14,73.7,5,26.3,5,26.3,111,87,78.4,24,21.6,24,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CHEYENNE,CHEYENNE COUNTY RE-5,208,145,69.7,63,30.3,65,31.3,89,60,67.4,29,32.6,29,32.6,119,85,71.4,34,28.6,36,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,100,2,100,47,22,46.8,25,53.2,25,53.2,158,123,77.8,35,22.2,36,22.8,0,0,0,0,0,0,0,1,0,0,1,100,2,200
32,CLEAR CREEK,CLEAR CREEK RE-1,1080,761,70.5,319,29.5,338,31.3,548,370,67.5,178,32.5,190,34.7,532,391,73.5,141,26.5,148,27.8,17,15,88.2,2,11.8,2,11.8,13,7,53.8,6,46.2,8,61.5,14,6,42.9,8,57.1,8,57.1,120,70,58.3,50,41.7,55,45.8,884,639,72.3,245,27.7,254,28.7,2,2,100,0,0,0,0,30,22,73.3,8,26.7,11,36.7
33,CONEJOS,NORTH CONEJOS RE-1J,1110,838,75.5,266,24,284,25.6,557,416,74.7,139,25,149,26.8,553,422,76.3,127,23,135,24.4,6,5,83.3,1,16.7,2,33.3,7,0,0,7,100,7,100,6,5,83.3,1,16.7,1,16.7,658,498,75.7,154,23.4,169,25.7,416,316,76,100,24,102,24.5,3,2,66.7,1,33.3,1,33.3,14,12,85.7,2,14.3,2,14.3
34,CONEJOS,SANFORD 6J,369,287,77.8,82,22.2,82,22.2,203,153,75.4,50,24.6,50,24.6,166,134,80.7,32,19.3,32,19.3,2,0,0,2,100,2,100,3,0,0,3,100,3,100,0,0,0,0,0,0,0,107,77,72,30,28,30,28,252,205,81.3,47,18.7,47,18.7,0,0,0,0,0,0,0,5,5,100,0,0,0,0
35,CONEJOS,SOUTH CONEJOS RE-10,276,193,69.9,83,30.1,84,30.4,146,106,72.6,40,27.4,41,28.1,130,87,66.9,43,33.1,43,33.1,2,2,100,0,0,0,0,1,0,0,1,100,1,100,1,0,0,1,100,1,100,241,177,73.4,64,26.6,65,27,28,14,50,14,50,14,50,0,0,0,0,0,0,0,3,0,0,3,100,3,100
36,COSTILLA,CENTENNIAL R-1,269,179,66.5,90,33.5,102,37.9,131,88,67.2,43,32.8,49,37.4,138,91,65.9,47,34.1,53,38.4,2,1,50,1,50,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,172,72.6,65,27.4,72,30.4,29,6,20.7,23,79.3,28,96.6,0,0,0,0,0,0,0,1,0,0,1,100,1,100
37,COSTILLA,SIERRA GRANDE R-30,317,204,64.4,113,35.6,120,37.9,143,95,66.4,48,33.6,54,37.8,174,109,62.6,65,37.4,66,37.9,3,0,0,3,100,4,133.3,4,4,100,0,0,0,0,2,1,50,1,50,1,50,229,161,70.3,68,29.7,70,30.6,67,31,46.3,36,53.7,37,55.2,3,0,0,3,100,6,200,9,7,77.8,2,22.2,2,22.2
38,CROWLEY,CROWLEY COUNTY RE-1-J,578,382,66.1,196,33.9,203,35.1,271,175,64.6,96,35.4,101,37.3,307,207,67.4,100,32.6,102,33.2,25,20,80,5,20,5,20,0,0,0,0,0,0,0,4,2,50,2,50,2,50,139,86,61.9,53,38.1,57,41,385,257,66.8,128,33.2,131,34,0,0,0,0,0,0,0,25,17,68,8,32,8,32
39,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,480,361,75.2,119,24.8,121,25.2,238,182,76.5,56,23.5,57,23.9,242,179,74,63,26,64,26.4,4,3,75,1,25,1,25,7,7,100,0,0,0,0,5,4,80,1,20,1,20,20,6,30,14,70,14,70,436,336,77.1,100,22.9,102,23.4,0,0,0,0,0,0,0,8,5,62.5,3,37.5,3,37.5
40,DELTA,DELTA COUNTY 50(J),5630,4387,77.9,1222,21.7,1344,23.9,2735,2142,78.3,585,21.4,638,23.3,2895,2245,77.5,637,22,706,24.4,49,31,63.3,18,36.7,24,49,75,36,48,39,52,39,52,29,16,55.2,13,44.8,13,44.8,1154,936,81.1,214,18.5,242,21,4204,3285,78.1,905,21.5,985,23.4,6,4,66.7,2,33.3,2,33.3,113,79,69.9,31,27.4,39,34.5
41,DENVER,DENVER COUNTY 1,88761,64903,73.1,23124,26.1,27685,31.2,43680,32063,73.4,11248,25.8,13251,30.3,45081,32840,72.8,11876,26.3,14434,32,741,450,60.7,279,37.7,332,44.8,2991,2203,73.7,782,26.1,870,29.1,13047,8868,68,4015,30.8,5004,38.4,51304,38413,74.9,12468,24.3,15171,29.6,17845,12952,72.6,4799,26.9,5383,30.2,198,120,60.6,76,38.4,94,47.5,2635,1897,72,705,26.8,831,31.5
42,DOLORES,DOLORES COUNTY RE NO.2,318,229,72,89,28,91,28.6,156,116,74.4,40,25.6,41,26.3,162,113,69.8,49,30.2,50,30.9,18,14,77.8,4,22.2,4,22.2,0,0,0,0,0,0,0,1,1,100,0,0,0,0,21,9,42.9,12,57.1,13,61.9,266,202,75.9,64,24.1,65,24.4,1,1,100,0,0,0,0,11,2,18.2,9,81.8,9,81.8
43,DOUGLAS,DOUGLAS COUNTY RE 1,66965,55140,82.3,11722,17.5,12396,18.5,32803,27070,82.5,5682,17.3,5992,18.3,34162,28070,82.2,6040,17.7,6404,18.7,320,243,75.9,74,23.1,86,26.9,2606,2157,82.8,445,17.1,486,18.6,1546,917,59.3,627,40.6,670,43.3,9325,6706,71.9,2605,27.9,2780,29.8,50557,43000,85.1,7481,14.8,7856,15.5,100,79,79,21,21,23,23,2511,2038,81.2,469,18.7,495,19.7
44,EAGLE,EAGLE COUNTY RE 50,6749,5472,81.1,1261,18.7,1365,20.2,3205,2631,82.1,568,17.7,621,19.4,3544,2841,80.2,693,19.6,744,21,52,39,75,13,25,15,28.8,67,57,85.1,10,14.9,12,17.9,25,19,76,6,24,6,24,3327,2711,81.5,605,18.2,665,20,3198,2584,80.8,610,19.1,647,20.2,5,4,80,1,20,1,20,75,58,77.3,16,21.3,19,25.3
45,ELBERT,ELIZABETH C-1,2804,2090,74.5,711,25.4,736,26.2,1362,1031,75.7,329,24.2,343,25.2,1442,1059,73.4,382,26.5,393,27.3,14,14,100,0,0,0,0,22,9,40.9,13,59.1,13,59.1,20,8,40,12,60,12,60,273,195,71.4,78,28.6,82,30,2396,1819,75.9,574,24,594,24.8,7,6,85.7,1,14.3,1,14.3,72,39,54.2,33,45.8,34,47.2
46,ELBERT,KIOWA C-2,437,323,73.9,114,26.1,115,26.3,218,157,72,61,28,62,28.4,219,166,75.8,53,24.2,53,24.2,1,1,100,0,0,0,0,3,3,100,0,0,0,0,5,4,80,1,20,1,20,38,25,65.8,13,34.2,13,34.2,376,283,75.3,93,24.7,94,25,2,2,100,0,0,0,0,12,5,41.7,7,58.3,7,58.3
47,ELBERT,BIG SANDY 100J,350,241,68.9,109,31.1,111,31.7,168,118,70.2,50,29.8,51,30.4,182,123,67.6,59,32.4,60,33,6,5,83.3,1,16.7,1,16.7,4,0,0,4,100,4,100,0,0,0,0,0,0,0,52,24,46.2,28,53.8,29,55.8,274,201,73.4,73,26.6,73,26.6,2,2,100,0,0,0,0,12,9,75,3,25,4,33.3
48,ELBERT,ELBERT 200,232,166,71.6,66,28.4,68,29.3,109,81,74.3,28,25.7,28,25.7,123,85,69.1,38,30.9,40,32.5,1,1,100,0,0,0,0,4,4,100,0,0,0,0,1,0,0,1,100,1,100,12,7,58.3,5,41.7,5,41.7,201,151,75.1,50,24.9,52,25.9,0,0,0,0,0,0,0,13,3,23.1,10,76.9,10,76.9
49,ELBERT,AGATE 300,16,5,31.3,13,81.3,13,81.3,11,2,18.2,9,81.8,9,81.8,5,3,60,4,80,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,100,3,100,13,5,38.5,10,76.9,10,76.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
