,county,school_dist,total_pupil_count_all_students,total_stable_pupil_count_all_students,total_stability_rate_all_students,total_mobile_student_count_all_students,total_student_mobility_rate_all_students,total_instances_of_mobility_all_students,total_mobility_incidence_rate_all_students,students_with_disabilities_pupil_count,students_with_disabilities_stable_student_count,students_with_disabilities_stability_rate,students_with_disabilities_mobile_student_count,students_with_disabilities_student_mobility_rate,students_with_disabilities_instances_of_mobility,students_with_disabilities_mobility_incidence_rate,english_language_learners_pupil_count,english_language_learners_stable_student_count,english_language_learners_stability_rate,english_language_learners_mobile_student_count,english_language_learners_student_mobility_rate,english_language_learners_instances_of_mobility,english_language_learners_mobility_incidence_rate,economically_disadvantaged_pupil_count,economically_disadvantaged_stable_student_count,economically_disadvantaged_stability_rate,economically_disadvantaged_mobile_student_count,economically_disadvantaged_student_mobility_rate,economically_disadvantaged_instances_of_mobility,economically_disadvantaged_mobility_incidence_rate,migrant_pupil_count,migrant_stable_student_count,migrant_stability_rate,migrant_mobile_student_count,migrant_student_mobility_rate,migrant_instances_of_mobility,migrant_mobility_incidence_rate,title_1_pupil_count,title_1_stable_student_count,title_1_pupil_stability_rate,title_1_mobile_student_count,title_1_student_mobility_rate,title_1_instances_of_mobility,title_1_mobility_incidence_rate,homeless_pupil_count,homeless_stable_student_count,homeless_stability_rate,homeless_mobile_student_count,homeless_student_mobility_rate,homeless_instances_of_mobility,homeless_mobility_incidence_rate,gifted_talented_pupil_count,gifted_talented_stable_student_count,gifted_talented_stability_rate,gifted_talented_mobile_student_count,gifted_talented_student_mobility_rate,gifted_talented_instances_of_mobility,gifted_talented_mobility_incidence_rate
62,EL PASO,EDISON 54 JT,214,141,65.9,73,34.1,74,34.6,20,10,50,10,50,10,50,0,0,0,0,0,0,0,61,49,80.3,12,19.7,12,19.7,0,0,0,0,0,0,0,18,15,83.3,3,16.7,3,16.7,0,0,0,0,0,0,0,8,8,100,0,0,0,0
63,EL PASO,MIAMI/YODER 60 JT,357,193,54.1,164,45.9,169,47.3,32,18,56.3,14,43.8,15,46.9,7,4,57.1,3,42.9,3,42.9,203,115,56.7,88,43.3,89,43.8,0,0,0,0,0,0,0,239,134,56.1,105,43.9,108,45.2,0,0,0,0,0,0,0,5,4,80,1,20,1,20
64,FREMONT,CANON CITY RE-1,4271,3211,75.2,1037,24.3,1129,26.4,535,419,78.3,115,21.5,126,23.6,33,29,87.9,4,12.1,4,12.1,16,1,6.3,15,93.8,15,93.8,0,0,0,0,0,0,0,1803,1349,74.8,438,24.3,480,26.6,10,0,0,10,100,10,100,299,273,91.3,25,8.4,27,9
65,FREMONT,FREMONT RE-2,1866,1314,70.4,551,29.5,595,31.9,220,161,73.2,59,26.8,63,28.6,28,22,78.6,6,21.4,6,21.4,929,693,74.6,236,25.4,260,28,0,0,0,0,0,0,0,1302,920,70.7,382,29.3,406,31.2,0,0,0,0,0,0,0,59,56,94.9,3,5.1,4,6.8
66,FREMONT,COTOPAXI RE-3,235,167,71.1,68,28.9,69,29.4,27,15,55.6,12,44.4,12,44.4,0,0,0,0,0,0,0,130,84,64.6,46,35.4,47,36.2,0,0,0,0,0,0,0,235,167,71.1,68,28.9,69,29.4,0,0,0,0,0,0,0,11,10,90.9,1,9.1,1,9.1
67,GARFIELD,ROARING FORK RE-1,5742,4569,79.6,1160,20.2,1281,22.3,408,351,86,56,13.7,61,15,2288,1977,86.4,307,13.4,366,16,1930,1664,86.2,265,13.7,300,15.5,14,10,71.4,4,28.6,4,28.6,2469,1987,80.5,473,19.2,517,20.9,0,0,0,0,0,0,0,332,306,92.2,26,7.8,27,8.1
68,GARFIELD,GARFIELD RE-2,5185,3942,76,1235,23.8,1322,25.5,367,273,74.4,94,25.6,100,27.2,1033,824,79.8,207,20,226,21.9,2643,2061,78,578,21.9,636,24.1,28,20,71.4,8,28.6,8,28.6,1495,1046,70,445,29.8,474,31.7,129,89,69,39,30.2,44,34.1,295,260,88.1,35,11.9,38,12.9
69,GARFIELD,GARFIELD 16,1275,854,67,423,33.2,454,35.6,112,65,58,47,42,50,44.6,237,163,68.8,74,31.2,77,32.5,637,433,68,204,32,229,35.9,4,0,0,4,100,4,100,504,327,64.9,177,35.1,189,37.5,5,0,0,5,100,8,160,28,23,82.1,5,17.9,5,17.9
70,GILPIN,GILPIN COUNTY RE-1,416,288,69.2,128,30.8,135,32.5,47,31,66,16,34,19,40.4,2,2,100,0,0,0,0,124,73,58.9,51,41.1,54,43.5,0,0,0,0,0,0,0,22,14,63.6,8,36.4,9,40.9,2,1,50,1,50,1,50,32,27,84.4,5,15.6,5,15.6
71,GRAND,WEST GRAND 1-JT.,476,380,79.8,96,20.2,101,21.2,47,37,78.7,10,21.3,10,21.3,45,38,84.4,7,15.6,7,15.6,162,138,85.2,24,14.8,25,15.4,0,0,0,0,0,0,0,229,177,77.3,52,22.7,54,23.6,3,0,0,3,100,3,100,25,24,96,1,4,1,4
72,GRAND,EAST GRAND 2,1398,1080,77.3,315,22.5,335,24,139,109,78.4,30,21.6,31,22.3,139,104,74.8,35,25.2,38,27.3,382,308,80.6,73,19.1,85,22.3,0,0,0,0,0,0,0,123,104,84.6,19,15.4,19,15.4,2,2,100,0,0,0,0,94,78,83,16,17,16,17
73,GUNNISON,GUNNISON WATERSHED RE1J,1936,1552,80.2,384,19.8,424,21.9,123,104,84.6,19,15.4,21,17.1,161,139,86.3,22,13.7,27,16.8,529,383,72.4,146,27.6,159,30.1,3,2,66.7,1,33.3,1,33.3,90,71,78.9,19,21.1,23,25.6,2,0,0,2,100,2,100,232,207,89.2,25,10.8,27,11.6
74,HINSDALE,HINSDALE COUNTY RE 1,93,69,74.2,24,25.8,24,25.8,7,6,85.7,1,14.3,1,14.3,1,1,100,0,0,0,0,23,12,52.2,11,47.8,11,47.8,0,0,0,0,0,0,0,27,25,92.6,2,7.4,2,7.4,0,0,0,0,0,0,0,4,4,100,0,0,0,0
75,HUERFANO,HUERFANO RE-1,614,438,71.3,176,28.7,190,30.9,72,57,79.2,15,20.8,20,27.8,2,2,100,0,0,0,0,473,329,69.6,144,30.4,157,33.2,4,3,75,1,25,1,25,451,331,73.4,120,26.6,129,28.6,0,0,0,0,0,0,0,8,6,75,2,25,3,37.5
76,HUERFANO,LA VETA RE-2,262,169,64.5,92,35.1,96,36.6,25,18,72,7,28,7,28,4,0,0,4,100,4,100,139,86,61.9,52,37.4,53,38.1,0,0,0,0,0,0,0,27,23,85.2,4,14.8,4,14.8,0,0,0,0,0,0,0,14,12,85.7,2,14.3,2,14.3
77,JACKSON,NORTH PARK R-1 ,205,151,73.7,54,26.3,60,29.3,26,19,73.1,7,26.9,9,34.6,23,19,82.6,4,17.4,4,17.4,117,81,69.2,36,30.8,41,35,0,0,0,0,0,0,0,103,67,65,36,35,41,39.8,2,0,0,2,100,2,100,7,6,85.7,1,14.3,1,14.3
78,JEFFERSON,JEFFERSON COUNTY R-1,90678,74398,82,16049,17.7,17618,19.4,7762,6429,82.8,1306,16.8,1496,19.3,6700,4710,70.3,1978,29.5,2157,32.2,29789,23622,79.3,6017,20.2,6950,23.3,67,54,80.6,13,19.4,13,19.4,10839,7752,71.5,3011,27.8,3420,31.6,2900,1730,59.7,1133,39.1,1305,45,10053,9466,94.2,578,5.7,649,6.5
79,KIOWA,EADS RE-1,192,139,72.4,53,27.6,53,27.6,21,14,66.7,7,33.3,7,33.3,4,3,75,1,25,1,25,77,52,67.5,25,32.5,25,32.5,2,0,0,2,100,2,100,20,14,70,6,30,6,30,0,0,0,0,0,0,0,11,9,81.8,2,18.2,2,18.2
80,KIOWA,PLAINVIEW RE-2,98,56,57.1,42,42.9,43,43.9,17,9,52.9,8,47.1,9,52.9,0,0,0,0,0,0,0,64,37,57.8,27,42.2,28,43.8,1,0,0,1,100,1,100,25,17,68,8,32,9,36,0,0,0,0,0,0,0,4,3,75,1,25,1,25
81,KIT CARSON,ARRIBA-FLAGLER C-20,164,129,78.7,35,21.3,37,22.6,17,13,76.5,4,23.5,4,23.5,0,0,0,0,0,0,0,81,54,66.7,27,33.3,29,35.8,0,0,0,0,0,0,0,16,12,75,4,25,4,25,9,0,0,9,100,9,100,2,2,100,0,0,0,0
82,KIT CARSON,HI-PLAINS R-23,125,93,74.4,32,25.6,32,25.6,11,6,54.5,5,45.5,5,45.5,6,5,83.3,1,16.7,1,16.7,73,55,75.3,18,24.7,18,24.7,0,0,0,0,0,0,0,12,7,58.3,5,41.7,5,41.7,0,0,0,0,0,0,0,7,7,100,0,0,0,0
83,KIT CARSON,STRATTON R-4,189,128,67.7,61,32.3,61,32.3,38,26,68.4,12,31.6,12,31.6,18,12,66.7,6,33.3,6,33.3,113,74,65.5,39,34.5,39,34.5,3,3,100,0,0,0,0,15,10,66.7,5,33.3,5,33.3,0,0,0,0,0,0,0,20,16,80,4,20,4,20
84,KIT CARSON,BETHUNE R-5,156,99,63.5,57,36.5,57,36.5,9,2,22.2,7,77.8,7,77.8,33,23,69.7,10,30.3,10,30.3,109,64,58.7,45,41.3,45,41.3,1,1,100,0,0,0,0,20,18,90,2,10,2,10,0,0,0,0,0,0,0,8,5,62.5,3,37.5,3,37.5
85,KIT CARSON,BURLINGTON RE-6J,845,643,76.1,202,23.9,208,24.6,83,61,73.5,22,26.5,24,28.9,198,162,81.8,36,18.2,40,20.2,471,343,72.8,128,27.2,132,28,39,34,87.2,5,12.8,5,12.8,171,139,81.3,32,18.7,32,18.7,23,6,26.1,17,73.9,17,73.9,25,23,92,2,8,2,8
86,LAKE,LAKE COUNTY R-1,1246,930,74.6,316,25.4,336,27,128,100,78.1,28,21.9,31,24.2,467,357,76.4,110,23.6,119,25.5,862,665,77.1,197,22.9,213,24.7,3,3,100,0,0,0,0,139,108,77.7,31,22.3,33,23.7,8,1,12.5,7,87.5,7,87.5,60,50,83.3,10,16.7,10,16.7
87,LA PLATA,DURANGO 9-R,5088,3806,74.8,1273,25,1348,26.5,429,331,77.2,99,23.1,107,24.9,161,112,69.6,49,30.4,55,34.2,1738,1253,72.1,479,27.6,522,30,0,0,0,0,0,0,0,1354,1105,81.6,244,18,270,19.9,54,23,42.6,27,50,31,57.4,407,344,84.5,63,15.5,64,15.7
88,LA PLATA,BAYFIELD 10 JT-R,1569,1161,74,412,26.3,438,27.9,127,93,73.2,38,29.9,43,33.9,26,19,73.1,7,26.9,9,34.6,512,334,65.2,178,34.8,189,36.9,2,2,100,0,0,0,0,54,43,79.6,11,20.4,11,20.4,10,4,40,6,60,6,60,114,106,93,8,7,9,7.9
89,LA PLATA,IGNACIO 11 JT,877,615,70.1,261,29.8,288,32.8,98,80,81.6,18,18.4,21,21.4,43,28,65.1,15,34.9,15,34.9,429,367,85.5,62,14.5,67,15.6,0,0,0,0,0,0,0,481,347,72.1,133,27.7,149,31,2,1,50,1,50,1,50,60,53,88.3,7,11.7,7,11.7
90,LARIMER,POUDRE R-1,29031,24159,83.2,4808,16.6,5476,18.9,2253,1859,82.5,391,17.4,479,21.3,2280,1818,79.7,464,20.4,581,25.5,8132,7000,86.1,1094,13.5,1450,17.8,44,33,75,11,25,11,25,2010,1571,78.2,428,21.3,494,24.6,721,497,68.9,217,30.1,268,37.2,2627,2479,94.4,146,5.6,169,6.4
91,BOULDER,THOMPSON R2-J,16906,13276,78.5,3565,21.1,3885,23,1756,1456,82.9,295,16.8,326,18.6,620,476,76.8,144,23.2,162,26.1,5735,4436,77.3,1262,22,1429,24.9,14,3,21.4,11,78.6,11,78.6,2439,1831,75.1,588,24.1,679,27.8,355,162,45.6,189,53.2,212,59.7,1651,1541,93.3,109,6.6,122,7.4
92,LARIMER,PARK (ESTES PARK) R-3,1272,972,76.4,295,23.2,308,24.2,98,78,79.6,20,20.4,20,20.4,177,141,79.7,36,20.3,37,20.9,449,332,73.9,114,25.4,121,26.9,1,1,100,0,0,0,0,121,90,74.4,31,25.6,31,25.6,11,4,36.4,7,63.6,7,63.6,137,124,90.5,13,9.5,14,10.2
93,LAS ANIMAS,TRINIDAD 1,1594,1163,73,430,27,463,29,189,150,79.4,39,20.6,43,22.8,69,53,76.8,16,23.2,16,23.2,1081,788,72.9,292,27,315,29.1,0,0,0,0,0,0,0,793,576,72.6,217,27.4,235,29.6,12,0,0,12,100,13,108.3,19,18,94.7,1,5.3,1,5.3
94,LAS ANIMAS,PRIMERO REORGANIZED 2,239,115,48.1,124,51.9,124,51.9,20,8,40,12,60,12,60,4,3,75,1,25,1,25,92,43,46.7,49,53.3,49,53.3,2,1,50,1,50,1,50,36,18,50,18,50,18,50,0,0,0,0,0,0,0,5,4,80,1,20,1,20
95,LAS ANIMAS,HOEHNE REORGANIZED 3,376,270,71.8,106,28.2,106,28.2,36,26,72.2,10,27.8,10,27.8,5,4,80,1,20,1,20,139,87,62.6,52,37.4,52,37.4,4,4,100,0,0,0,0,29,24,82.8,5,17.2,5,17.2,1,1,100,0,0,0,0,6,5,83.3,1,16.7,1,16.7
96,LAS ANIMAS,AGUILAR REORGANIZED 6,123,56,45.5,66,53.7,69,56.1,16,12,75,4,25,4,25,5,4,80,1,20,1,20,85,45,52.9,40,47.1,41,48.2,0,0,0,0,0,0,0,123,56,45.5,66,53.7,69,56.1,0,0,0,0,0,0,0,1,1,100,0,0,0,0
97,LAS ANIMAS,BRANSON REORGANIZED 82,600,220,36.7,380,63.3,385,64.2,21,9,42.9,12,57.1,12,57.1,3,0,0,3,100,3,100,91,58,63.7,33,36.3,33,36.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28,77.8,8,22.2,9,25
98,LAS ANIMAS,KIM REORGANIZED 88,61,47,77,14,23,14,23,1,1,100,0,0,0,0,0,0,0,0,0,0,0,37,28,75.7,9,24.3,9,24.3,2,0,0,2,100,2,100,7,7,100,0,0,0,0,0,0,0,0,0,0,0,2,1,50,1,50,1,50
99,LINCOLN,GENOA-HUGO C113,190,134,70.5,56,29.5,58,30.5,25,17,68,8,32,8,32,0,0,0,0,0,0,0,107,72,67.3,35,32.7,37,34.6,0,0,0,0,0,0,0,25,21,84,4,16,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,LINCOLN,LIMON RE-4J,542,369,68.1,173,31.9,177,32.7,61,49,80.3,12,19.7,12,19.7,22,12,54.5,10,45.5,10,45.5,251,172,68.5,79,31.5,81,32.3,0,0,0,0,0,0,0,206,131,63.6,75,36.4,76,36.9,15,1,6.7,14,93.3,14,93.3,32,29,90.6,3,9.4,3,9.4
101,LINCOLN,KARVAL RE-23,265,93,35.1,172,64.9,176,66.4,27,9,33.3,18,66.7,18,66.7,0,0,0,0,0,0,0,71,31,43.7,40,56.3,41,57.7,0,0,0,0,0,0,0,3,3,100,0,0,0,0,2,0,0,2,100,2,100,2,2,100,0,0,0,0
102,LOGAN,VALLEY RE-1,2501,1916,76.6,583,23.3,630,25.2,301,239,79.4,61,20.3,70,23.3,165,131,79.4,34,20.6,35,21.2,1233,936,75.9,295,23.9,323,26.2,9,5,55.6,4,44.4,4,44.4,1150,883,76.8,267,23.2,286,24.9,20,7,35,13,65,16,80,176,162,92,14,8,15,8.5
103,LOGAN,FRENCHMAN RE-3,196,153,78.1,43,21.9,44,22.4,21,14,66.7,7,33.3,7,33.3,1,1,100,0,0,0,0,95,68,71.6,27,28.4,27,28.4,0,0,0,0,0,0,0,29,19,65.5,10,34.5,10,34.5,0,0,0,0,0,0,0,6,6,100,0,0,0,0
104,LOGAN,BUFFALO RE-4J,339,279,82.3,60,17.7,60,17.7,33,23,69.7,10,30.3,10,30.3,6,2,33.3,4,66.7,4,66.7,119,88,73.9,31,26.1,31,26.1,0,0,0,0,0,0,0,51,38,74.5,13,25.5,13,25.5,0,0,0,0,0,0,0,8,8,100,0,0,0,0
105,LOGAN,PLATEAU RE-5,192,151,78.6,41,21.4,42,21.9,17,15,88.2,2,11.8,2,11.8,1,1,100,0,0,0,0,77,64,83.1,13,16.9,14,18.2,0,0,0,0,0,0,0,14,13,92.9,1,7.1,1,7.1,0,0,0,0,0,0,0,9,9,100,0,0,0,0
106,MESA,DE BEQUE 49JT,149,73,49,76,51,81,54.4,12,4,33.3,8,66.7,8,66.7,2,2,100,0,0,0,0,72,32,44.4,40,55.6,44,61.1,0,0,0,0,0,0,0,40,27,67.5,13,32.5,14,35,0,0,0,0,0,0,0,3,3,100,0,0,0,0
107,MESA,PLATEAU VALLEY 50,653,359,55,294,45,299,45.8,64,28,43.8,36,56.3,36,56.3,17,8,47.1,9,52.9,9,52.9,160,99,61.9,61,38.1,62,38.8,0,0,0,0,0,0,0,72,59,81.9,13,18.1,13,18.1,0,0,0,0,0,0,0,2,1,50,1,50,1,50
108,MESA,MESA COUNTY VALLEY 51,23983,18809,78.4,5029,21,5806,24.2,2376,1969,82.9,390,16.4,473,19.9,1566,1238,79.1,322,20.6,387,24.7,494,280,56.7,207,41.9,259,52.4,110,72,65.5,37,33.6,46,41.8,4575,3536,77.3,980,21.4,1180,25.8,388,209,53.9,173,44.6,216,55.7,1267,1177,92.9,87,6.9,102,8.1
109,MINERAL,CREEDE SCHOOL DISTRICT,104,64,61.5,40,38.5,40,38.5,3,2,66.7,1,33.3,1,33.3,0,0,0,0,0,0,0,48,32,66.7,16,33.3,16,33.3,0,0,0,0,0,0,0,104,64,61.5,40,38.5,40,38.5,0,0,0,0,0,0,0,4,3,75,1,25,1,25
110,MOFFAT,MOFFAT COUNTY RE:NO 1,2448,1875,76.6,573,23.4,638,26.1,213,164,77,50,23.5,56,26.3,254,194,76.4,59,23.2,75,29.5,1113,864,77.6,249,22.4,300,27,0,0,0,0,0,0,0,126,111,88.1,15,11.9,19,15.1,32,7,21.9,24,75,31,96.9,94,81,86.2,13,13.8,15,16
111,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,3250,2246,69.1,986,30.3,1119,34.4,316,245,77.5,69,21.8,80,25.3,276,183,66.3,92,33.3,102,37,1950,1382,70.9,556,28.5,653,33.5,7,7,100,0,0,0,0,1515,1108,73.1,389,25.7,449,29.6,0,0,0,0,0,0,0,165,144,87.3,21,12.7,22,13.3
112,MONTEZUMA,DOLORES RE-4A,780,552,70.8,228,29.2,230,29.5,65,43,66.2,22,33.8,22,33.8,9,8,88.9,1,11.1,1,11.1,337,232,68.8,105,31.2,107,31.8,0,0,0,0,0,0,0,415,287,69.2,128,30.8,128,30.8,0,0,0,0,0,0,0,36,31,86.1,5,13.9,5,13.9
113,MONTEZUMA,MANCOS RE-6,449,304,67.7,146,32.5,151,33.6,26,22,84.6,5,19.2,6,23.1,33,20,60.6,13,39.4,13,39.4,287,188,65.5,100,34.8,104,36.2,2,2,100,0,0,0,0,29,18,62.1,11,37.9,11,37.9,11,3,27.3,8,72.7,8,72.7,35,27,77.1,8,22.9,8,22.9
114,MONTROSE,MONTROSE COUNTY RE-1J,6747,5229,77.5,1484,22,1693,25.1,567,451,79.5,113,19.9,128,22.6,1080,879,81.4,196,18.1,234,21.7,3766,2954,78.4,789,21,958,25.4,92,54,58.7,34,37,43,46.7,3080,2362,76.7,703,22.8,811,26.3,254,103,40.6,145,57.1,183,72,471,431,91.5,40,8.5,41,8.7
115,MONTROSE,WEST END RE-2,351,254,72.4,97,27.6,103,29.3,43,32,74.4,11,25.6,13,30.2,10,3,30,7,70,7,70,179,125,69.8,54,30.2,59,33,0,0,0,0,0,0,0,47,32,68.1,15,31.9,16,34,1,1,100,0,0,0,0,3,3,100,0,0,0,0
116,MORGAN,BRUSH RE-2(J),1603,1244,77.6,359,22.4,396,24.7,140,101,72.1,39,27.9,40,28.6,272,236,86.8,36,13.2,46,16.9,893,688,77,205,23,236,26.4,31,16,51.6,15,48.4,18,58.1,107,92,86,15,14,20,18.7,35,5,14.3,30,85.7,38,108.6,142,132,93,10,7,11,7.7
117,MORGAN,FORT MORGAN RE-3,3403,2629,77.3,770,22.6,843,24.8,326,255,78.2,70,21.5,83,25.5,1181,931,78.8,249,21.1,269,22.8,2316,1809,78.1,504,21.8,568,24.5,192,98,51,93,48.4,100,52.1,1285,987,76.8,296,23,327,25.4,123,37,30.1,86,69.9,95,77.2,172,161,93.6,11,6.4,11,6.4
118,MORGAN,WELDON VALLEY RE-20(J),225,166,73.8,59,26.2,59,26.2,19,14,73.7,5,26.3,5,26.3,2,2,100,0,0,0,0,4,1,25,3,75,3,75,0,0,0,0,0,0,0,34,30,88.2,4,11.8,4,11.8,0,0,0,0,0,0,0,18,15,83.3,3,16.7,3,16.7
119,MORGAN,WIGGINS RE-50(J),561,412,73.4,149,26.6,152,27.1,37,23,62.2,14,37.8,15,40.5,116,93,80.2,23,19.8,24,20.7,266,219,82.3,47,17.7,49,18.4,19,11,57.9,8,42.1,8,42.1,559,412,73.7,147,26.3,150,26.8,21,8,38.1,13,61.9,14,66.7,30,28,93.3,2,6.7,2,6.7
120,OTERO,EAST OTERO R-1,1494,1056,70.7,438,29.3,471,31.5,174,118,67.8,56,32.2,59,33.9,37,28,75.7,9,24.3,9,24.3,1030,755,73.3,275,26.7,298,28.9,6,5,83.3,1,16.7,1,16.7,866,619,71.5,247,28.5,264,30.5,2,0,0,2,100,2,100,13,12,92.3,1,7.7,1,7.7
121,OTERO,ROCKY FORD R-2,965,700,72.5,265,27.5,279,28.9,97,68,70.1,29,29.9,31,32,93,64,68.8,29,31.2,31,33.3,752,548,72.9,204,27.1,217,28.9,24,12,50,12,50,14,58.3,657,492,74.9,165,25.1,175,26.6,1,0,0,1,100,1,100,24,22,91.7,2,8.3,3,12.5
122,OTERO,MANZANOLA 3J,201,120,59.7,81,40.3,85,42.3,14,12,85.7,2,14.3,2,14.3,59,23,39,36,61,36,61,162,99,61.1,63,38.9,66,40.7,45,17,37.8,28,62.2,28,62.2,100,60,60,40,40,41,41,0,0,0,0,0,0,0,3,3,100,0,0,0,0
123,OTERO,FOWLER R-4J,463,345,74.5,118,25.5,124,26.8,32,27,84.4,5,15.6,5,15.6,9,5,55.6,4,44.4,4,44.4,269,185,68.8,84,31.2,90,33.5,4,0,0,4,100,4,100,52,36,69.2,16,30.8,16,30.8,0,0,0,0,0,0,0,22,22,100,0,0,0,0
124,OTERO,CHERAW 31,224,178,79.5,46,20.5,48,21.4,26,16,61.5,10,38.5,10,38.5,0,0,0,0,0,0,0,130,99,76.2,31,23.8,33,25.4,3,3,100,0,0,0,0,69,54,78.3,15,21.7,15,21.7,1,1,100,0,0,0,0,13,11,84.6,2,15.4,2,15.4
125,OTERO,SWINK 33,417,315,75.5,102,24.5,103,24.7,21,17,81,4,19,4,19,8,7,87.5,1,12.5,1,12.5,190,134,70.5,56,29.5,57,30,1,0,0,1,100,1,100,36,30,83.3,6,16.7,6,16.7,2,0,0,2,100,2,100,0,0,0,0,0,0,0
126,OURAY,OURAY R-1,219,146,66.7,73,33.3,75,34.2,25,17,68,8,32,8,32,9,6,66.7,3,33.3,3,33.3,70,47,67.1,23,32.9,23,32.9,0,0,0,0,0,0,0,20,11,55,9,45,9,45,0,0,0,0,0,0,0,29,25,86.2,4,13.8,4,13.8
127,OURAY,RIDGWAY R-2,386,273,70.7,113,29.3,117,30.3,18,12,66.7,6,33.3,7,38.9,18,3,16.7,15,83.3,15,83.3,139,93,66.9,46,33.1,48,34.5,3,2,66.7,1,33.3,1,33.3,24,13,54.2,11,45.8,12,50,1,0,0,1,100,1,100,29,28,96.6,1,3.4,1,3.4
128,PARK,PLATTE CANYON 1,1247,857,68.7,390,31.3,404,32.4,133,96,72.2,37,27.8,39,29.3,0,0,0,0,0,0,0,467,301,64.5,166,35.5,171,36.6,0,0,0,0,0,0,0,125,79,63.2,46,36.8,47,37.6,5,0,0,5,100,5,100,116,100,86.2,16,13.8,17,14.7
129,PARK,PARK COUNTY RE-2,624,403,64.6,220,35.3,226,36.2,66,48,72.7,18,27.3,20,30.3,5,2,40,3,60,3,60,315,162,51.4,153,48.6,157,49.8,0,0,0,0,0,0,0,97,82,84.5,15,15.5,16,16.5,0,0,0,0,0,0,0,44,40,90.9,4,9.1,4,9.1
130,PHILLIPS,HOLYOKE RE-1J,641,505,78.8,136,21.2,144,22.5,69,54,78.3,15,21.7,17,24.6,137,110,80.3,27,19.7,30,21.9,330,245,74.2,85,25.8,92,27.9,11,5,45.5,6,54.5,6,54.5,29,23,79.3,6,20.7,6,20.7,0,0,0,0,0,0,0,36,35,97.2,1,2.8,1,2.8
131,PHILLIPS,HAXTUN RE-2J,319,258,80.9,61,19.1,63,19.7,30,23,76.7,7,23.3,7,23.3,0,0,0,0,0,0,0,125,95,76,30,24,30,24,0,0,0,0,0,0,0,18,15,83.3,3,16.7,3,16.7,0,0,0,0,0,0,0,17,17,100,0,0,0,0
132,PITKIN,ASPEN 1,1819,1529,84.1,290,15.9,312,17.2,120,109,90.8,11,9.2,12,10,202,157,77.7,45,22.3,49,24.3,117,92,78.6,25,21.4,26,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,91,92.9,7,7.1,7,7.1
133,PROWERS,GRANADA RE-1,271,178,65.7,93,34.3,93,34.3,14,9,64.3,5,35.7,5,35.7,25,16,64,9,36,9,36,179,111,62,68,38,68,38,18,1,5.6,17,94.4,17,94.4,61,42,68.9,19,31.1,19,31.1,2,2,100,0,0,0,0,14,12,85.7,2,14.3,2,14.3
134,PROWERS,LAMAR RE-2,1782,1368,76.8,414,23.2,441,24.7,154,111,72.1,43,27.9,46,29.9,114,91,79.8,23,20.2,26,22.8,1242,920,74.1,322,25.9,347,27.9,48,39,81.3,9,18.8,10,20.8,894,708,79.2,186,20.8,196,21.9,25,10,40,15,60,15,60,127,112,88.2,15,11.8,16,12.6
135,PROWERS,HOLLY RE-3,291,240,82.5,51,17.5,55,18.9,29,27,93.1,2,6.9,2,6.9,71,57,80.3,14,19.7,15,21.1,205,164,80,41,20,44,21.5,21,20,95.2,1,4.8,1,4.8,168,133,79.2,35,20.8,39,23.2,0,0,0,0,0,0,0,32,28,87.5,4,12.5,4,12.5
136,PROWERS,WILEY RE-13 JT,256,181,70.7,75,29.3,75,29.3,11,8,72.7,3,27.3,3,27.3,6,6,100,0,0,0,0,143,89,62.2,54,37.8,54,37.8,2,2,100,0,0,0,0,93,79,84.9,14,15.1,14,15.1,0,0,0,0,0,0,0,7,7,100,0,0,0,0
137,PUEBLO,PUEBLO CITY 60,19216,14879,77.4,4288,22.3,4939,25.7,2195,1782,81.2,418,19,496,22.6,1324,1033,78,283,21.4,326,24.6,12394,10231,82.5,2057,16.6,2584,20.8,54,34,63,20,37,21,38.9,8451,6485,76.7,1936,22.9,2263,26.8,1421,1093,76.9,303,21.3,378,26.6,1129,998,88.4,126,11.2,138,12.2
138,PUEBLO,PUEBLO COUNTY 70,9920,7336,74,2565,25.9,2763,27.9,984,751,76.3,231,23.5,263,26.7,357,258,72.3,99,27.7,111,31.1,3806,2853,75,947,24.9,1035,27.2,37,26,70.3,11,29.7,12,32.4,417,289,69.3,128,30.7,137,32.9,32,10,31.3,22,68.8,25,78.1,796,713,89.6,83,10.4,89,11.2
139,RIO BLANCO,MEEKER RE1,735,541,73.6,194,26.4,196,26.7,64,48,75,16,25,16,25,63,47,74.6,16,25.4,16,25.4,209,139,66.5,70,33.5,71,34,1,1,100,0,0,0,0,76,51,67.1,25,32.9,25,32.9,0,0,0,0,0,0,0,28,28,100,0,0,0,0
140,RIO BLANCO,RANGELY RE-4,531,394,74.2,137,25.8,146,27.5,53,47,88.7,6,11.3,6,11.3,10,10,100,0,0,0,0,164,109,66.5,55,33.5,56,34.1,0,0,0,0,0,0,0,38,32,84.2,6,15.8,6,15.8,1,1,100,0,0,0,0,14,11,78.6,3,21.4,3,21.4
