,county,school_dist,total_pupil_count_all_students,total_stable_pupil_count_all_students,total_stability_rate_all_students,total_mobile_student_count_all_students,total_student_mobility_rate_all_students,total_instances_of_mobility_all_students,total_mobility_incidence_rate_all_students,students_with_disabilities_pupil_count,students_with_disabilities_stable_student_count,students_with_disabilities_stability_rate,students_with_disabilities_mobile_student_count,students_with_disabilities_student_mobility_rate,students_with_disabilities_instances_of_mobility,students_with_disabilities_mobility_incidence_rate,english_language_learners_pupil_count,english_language_learners_stable_student_count,english_language_learners_stability_rate,english_language_learners_mobile_student_count,english_language_learners_student_mobility_rate,english_language_learners_instances_of_mobility,english_language_learners_mobility_incidence_rate,economically_disadvantaged_pupil_count,economically_disadvantaged_stable_student_count,economically_disadvantaged_stability_rate,economically_disadvantaged_mobile_student_count,economically_disadvantaged_student_mobility_rate,economically_disadvantaged_instances_of_mobility,economically_disadvantaged_mobility_incidence_rate,migrant_pupil_count,migrant_stable_student_count,migrant_stability_rate,migrant_mobile_student_count,migrant_student_mobility_rate,migrant_instances_of_mobility,migrant_mobility_incidence_rate,title_1_pupil_count,title_1_stable_student_count,title_1_pupil_stability_rate,title_1_mobile_student_count,title_1_student_mobility_rate,title_1_instances_of_mobility,title_1_mobility_incidence_rate,homeless_pupil_count,homeless_stable_student_count,homeless_stability_rate,homeless_mobile_student_count,homeless_student_mobility_rate,homeless_instances_of_mobility,homeless_mobility_incidence_rate,gifted_talented_pupil_count,gifted_talented_stable_student_count,gifted_talented_stability_rate,gifted_talented_mobile_student_count,gifted_talented_student_mobility_rate,gifted_talented_instances_of_mobility,gifted_talented_mobility_incidence_rate
12,ARAPAHOE,CHERRY CREEK 5,56418,45451,80.6,10922,19.4,11301,20,5707,4845,84.9,860,15.1,901,15.8,5643,4657,82.5,979,17.3,1050,18.6,14337,11293,78.8,3023,21.1,3187,22.2,8,8,100,0,0,0,0,6058,4205,69.4,1831,30.2,1924,31.8,57,34,59.6,23,40.4,26,45.6,4231,4121,97.4,106,2.5,120,2.8
13,ARAPAHOE,LITTLETON 6,16504,13418,81.3,3075,18.6,3203,19.4,1419,1148,80.9,268,18.9,292,20.6,1022,788,77.1,232,22.7,252,24.7,3696,2766,74.8,922,24.9,984,26.6,5,5,100,0,0,0,0,1365,1032,75.6,328,24,355,26,204,133,65.2,68,33.3,73,35.8,2618,2472,94.4,145,5.5,152,5.8
14,ARAPAHOE,DEER TRAIL 26J,185,130,70.3,55,29.7,61,33,24,13,54.2,11,45.8,11,45.8,5,1,20,4,80,4,80,94,58,61.7,36,38.3,41,43.6,0,0,0,0,0,0,0,20,17,85,3,15,3,15,0,0,0,0,0,0,0,3,3,100,0,0,0,0
15,ARAPAHOE,ADAMS-ARAPAHOE 28J,45673,31436,68.8,13911,30.5,15360,33.6,4043,3019,74.7,1002,24.8,1135,28.1,17490,12679,72.5,4685,26.8,5271,30.1,29784,21866,73.4,7656,25.7,8781,29.5,25,2,8,23,92,23,92,16745,11682,69.8,4877,29.1,5498,32.8,2297,1150,50.1,1073,46.7,1297,56.5,2435,2110,86.7,317,13,347,14.3
16,ARAPAHOE,BYERS 32J,515,388,75.3,127,24.7,130,25.2,66,47,71.2,19,28.8,19,28.8,18,16,88.9,2,11.1,2,11.1,243,170,70,73,30,76,31.3,1,0,0,1,100,1,100,23,17,73.9,6,26.1,6,26.1,1,1,100,0,0,0,0,11,10,90.9,1,9.1,1,9.1
17,ARCHULETA,ARCHULETA COUNTY 50 JT,1641,1218,74.2,422,25.7,452,27.5,125,100,80,25,20,28,22.4,120,94,78.3,26,21.7,28,23.3,885,630,71.2,254,28.7,275,31.1,7,7,100,0,0,0,0,1073,830,77.4,243,22.6,257,24,14,3,21.4,11,78.6,12,85.7,99,83,83.8,16,16.2,17,17.2
18,BACA,WALSH RE-1,150,118,78.7,32,21.3,34,22.7,11,6,54.5,5,45.5,5,45.5,17,10,58.8,7,41.2,9,52.9,69,50,72.5,19,27.5,20,29,0,0,0,0,0,0,0,23,18,78.3,5,21.7,6,26.1,0,0,0,0,0,0,0,11,11,100,0,0,0,0
19,BACA,PRITCHETT RE-3,74,43,58.1,31,41.9,31,41.9,4,2,50,2,50,2,50,0,0,0,0,0,0,0,45,23,51.1,22,48.9,22,48.9,0,0,0,0,0,0,0,74,43,58.1,31,41.9,31,41.9,0,0,0,0,0,0,0,8,7,87.5,1,12.5,1,12.5
20,BACA,SPRINGFIELD RE-4,292,218,74.7,74,25.3,79,27.1,28,21,75,7,25,7,25,3,1,33.3,2,66.7,2,66.7,183,136,74.3,47,25.7,49,26.8,0,0,0,0,0,0,0,292,218,74.7,74,25.3,79,27.1,0,0,0,0,0,0,0,9,8,88.9,1,11.1,1,11.1
21,BACA,VILAS RE-5,418,160,38.3,258,61.7,261,62.4,21,10,47.6,11,52.4,11,52.4,0,0,0,0,0,0,0,117,54,46.2,63,53.8,65,55.6,2,0,0,2,100,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,0,0,0,0
