,county,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate
20,EL PASO,128825.0,88927.0,39653.0,43430.0,10653.0,7724.0,2908.0,3338.0,8281.0,5835.0,2406.0,2724.0,47941.0,31352.0,16355.0,18510.0,47.0,29.0,18.0,19.0,21351.0,13236.0,7970.0,8786.0,2141.0,999.0,1118.0,1389.0,9084.0,8030.0,1052.0,1154.0,62697.0,43295.0,19299.0,21093.0,66128.0,45632.0,20354.0,22337.0,3620.0,2507.0,1105.0,1185.0,9999.0,6068.0,3891.0,4319.0,28749.0,19167.0,9482.0,10632.0,77513.0,55165.0,22272.0,24094.0,616.0,324.0,334.0,276.0,173.0,176.0,2711.0,1829.0,1913.0,4.0,3.0,3.0,121.0,78.0,82.0,184.0,96.0,100.0,864.0,817.0,828.0,69.03,30.78,33.71,72.51,27.3,31.33,52.6,54.22,70.46,29.05,32.89,62.68,63.77,65.4,34.11,38.61,67.47,70.56,61.7,38.3,40.43,75.0,75.0,61.99,37.33,41.15,64.46,67.77,46.66,52.22,64.88,52.17,54.35,88.4,11.58,12.7,94.56,95.83,69.05,30.78,33.64,69.01,30.78,33.78,0.11,0.05,0.05,71.17,28.73,31.08,60.69,38.91,43.19,66.67,32.98,36.98,69.25,30.52,32.73
21,ELBERT,3839.0,2825.0,1013.0,1043.0,389.0,279.0,110.0,116.0,76.0,51.0,25.0,25.0,765.0,521.0,244.0,253.0,0.0,0.0,0.0,0.0,401.0,297.0,105.0,106.0,2.0,1.0,1.0,1.0,251.0,228.0,23.0,25.0,1868.0,1389.0,477.0,493.0,1971.0,1436.0,536.0,550.0,33.0,16.0,17.0,17.0,26.0,12.0,14.0,14.0,378.0,251.0,127.0,132.0,3260.0,2459.0,800.0,823.0,19.0,16.0,16.0,6.0,3.0,3.0,64.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,28.0,27.0,27.0,73.59,26.39,27.17,71.72,28.28,29.82,84.21,84.21,67.11,32.89,32.89,50.0,50.0,68.1,31.9,33.07,84.38,84.38,0.0,0.0,0.0,0.0,0.0,74.06,26.18,26.43,0.0,0.0,50.0,50.0,50.0,100.0,100.0,90.84,9.16,9.96,96.43,96.43,74.36,25.54,26.39,72.86,27.19,27.9,3.98,1.37,1.41,75.43,24.54,25.25,46.15,53.85,53.85,66.4,33.6,34.92,48.48,51.52,51.52
22,FREMONT,6372.0,4692.0,1656.0,1793.0,782.0,595.0,186.0,201.0,61.0,51.0,10.0,10.0,1075.0,778.0,297.0,322.0,0.0,0.0,0.0,0.0,3340.0,2436.0,888.0,955.0,10.0,0.0,10.0,10.0,369.0,339.0,29.0,32.0,3138.0,2338.0,788.0,850.0,3234.0,2354.0,868.0,943.0,35.0,29.0,6.0,6.0,37.0,30.0,7.0,7.0,808.0,572.0,233.0,248.0,5247.0,3900.0,1326.0,1444.0,53.0,30.0,30.0,1.0,1.0,1.0,241.0,149.0,168.0,0.0,0.0,0.0,53.0,39.0,46.0,6.0,1.0,3.0,37.0,34.0,35.0,73.63,25.99,28.14,76.09,23.79,25.7,56.6,56.6,83.61,16.39,16.39,100.0,100.0,72.37,27.63,29.95,61.83,69.71,0.0,0.0,0.0,0.0,0.0,72.93,26.59,28.59,73.58,86.79,0.0,100.0,100.0,16.67,50.0,91.87,7.86,8.67,91.89,94.59,74.51,25.11,27.09,72.79,26.84,29.16,2.37,0.8,0.86,74.33,25.27,27.52,81.08,18.92,18.92,70.79,28.84,30.69,82.86,17.14,17.14
23,GARFIELD,12202.0,9365.0,2818.0,3057.0,887.0,689.0,197.0,211.0,3558.0,2964.0,588.0,669.0,5210.0,4158.0,1047.0,1165.0,46.0,30.0,16.0,16.0,4468.0,3360.0,1095.0,1180.0,134.0,89.0,44.0,52.0,655.0,589.0,66.0,70.0,5856.0,4530.0,1317.0,1429.0,6346.0,4835.0,1501.0,1628.0,78.0,58.0,20.0,20.0,38.0,14.0,24.0,24.0,5525.0,4377.0,1137.0,1268.0,6227.0,4667.0,1553.0,1655.0,59.0,46.0,47.0,120.0,74.0,78.0,298.0,199.0,221.0,2.0,2.0,2.0,7.0,0.0,2.0,7.0,6.0,7.0,58.0,56.0,58.0,76.75,23.09,25.05,77.68,22.21,23.79,77.97,79.66,83.31,16.53,18.8,61.67,65.0,79.81,20.1,22.36,66.78,74.16,65.22,34.78,34.78,100.0,100.0,75.2,24.51,26.41,0.0,28.57,66.42,32.84,38.81,85.71,100.0,89.92,10.08,10.69,96.55,100.0,77.36,22.49,24.4,76.19,23.65,25.65,1.32,0.38,0.42,74.95,24.94,26.58,36.84,63.16,63.16,79.22,20.58,22.95,74.36,25.64,25.64
24,GILPIN,416.0,288.0,128.0,135.0,47.0,31.0,16.0,19.0,2.0,2.0,0.0,0.0,124.0,73.0,51.0,54.0,0.0,0.0,0.0,0.0,22.0,14.0,8.0,9.0,2.0,1.0,1.0,1.0,32.0,27.0,5.0,5.0,200.0,144.0,56.0,60.0,216.0,144.0,72.0,75.0,7.0,6.0,1.0,1.0,5.0,1.0,4.0,6.0,48.0,30.0,18.0,19.0,337.0,242.0,95.0,98.0,5.0,2.0,2.0,1.0,1.0,1.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,69.23,30.77,32.45,65.96,34.04,40.43,40.0,40.0,100.0,0.0,0.0,100.0,100.0,58.87,41.13,43.55,62.5,62.5,0.0,0.0,0.0,0.0,0.0,63.64,36.36,40.91,0.0,0.0,50.0,50.0,50.0,100.0,100.0,84.38,15.62,15.62,100.0,100.0,72.0,28.0,30.0,66.67,33.33,34.72,36.0,14.0,15.0,71.81,28.19,29.08,20.0,80.0,120.0,62.5,37.5,39.58,85.71,14.29,14.29
25,GRAND,1874.0,1460.0,411.0,436.0,186.0,146.0,40.0,41.0,184.0,142.0,42.0,45.0,544.0,446.0,97.0,110.0,0.0,0.0,0.0,0.0,352.0,281.0,71.0,73.0,5.0,2.0,3.0,3.0,119.0,102.0,17.0,17.0,907.0,704.0,201.0,215.0,967.0,756.0,210.0,221.0,7.0,5.0,2.0,2.0,11.0,5.0,5.0,7.0,244.0,184.0,59.0,65.0,1572.0,1238.0,333.0,350.0,5.0,2.0,3.0,9.0,4.0,4.0,32.0,16.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,6.0,6.0,77.91,21.93,23.27,78.49,21.51,22.04,40.0,60.0,77.17,22.83,24.46,44.44,44.44,81.99,17.83,20.22,50.0,68.75,0.0,0.0,0.0,100.0,100.0,79.83,20.17,20.74,100.0,100.0,40.0,60.0,60.0,0.0,0.0,85.71,14.29,14.29,85.71,85.71,77.62,22.16,23.7,78.18,21.72,22.85,8.56,2.44,2.61,78.75,21.18,22.26,45.45,45.45,63.64,75.41,24.18,26.64,71.43,28.57,28.57
26,GUNNISON,1936.0,1552.0,384.0,424.0,123.0,104.0,19.0,21.0,161.0,139.0,22.0,27.0,529.0,383.0,146.0,159.0,3.0,2.0,1.0,1.0,90.0,71.0,19.0,23.0,2.0,0.0,2.0,2.0,232.0,207.0,25.0,27.0,955.0,755.0,200.0,219.0,981.0,797.0,184.0,205.0,8.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,290.0,235.0,55.0,60.0,1580.0,1273.0,307.0,340.0,9.0,6.0,7.0,10.0,5.0,5.0,26.0,20.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,80.17,19.83,21.9,84.55,15.45,17.07,66.67,77.78,86.34,13.66,16.77,50.0,50.0,72.4,27.6,30.06,76.92,76.92,66.67,33.33,33.33,50.0,50.0,78.89,21.11,25.56,0.0,0.0,0.0,100.0,100.0,0.0,0.0,89.22,10.78,11.64,100.0,100.0,79.06,20.94,22.93,81.24,18.76,20.9,8.28,2.19,2.4,80.57,19.43,21.52,50.0,50.0,50.0,81.03,18.97,20.69,87.5,12.5,12.5
27,HINSDALE,93.0,69.0,24.0,24.0,7.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,23.0,12.0,11.0,11.0,0.0,0.0,0.0,0.0,27.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,42.0,31.0,11.0,11.0,51.0,38.0,13.0,13.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,3.0,4.0,4.0,81.0,65.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,74.19,25.81,25.81,85.71,14.29,14.29,100.0,100.0,100.0,0.0,0.0,0.0,0.0,52.17,47.83,47.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.59,7.41,7.41,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,73.81,26.19,26.19,74.51,25.49,25.49,175.74,62.36,62.36,80.25,19.75,19.75,0.0,100.0,100.0,42.86,57.14,57.14,50.0,50.0,50.0
28,HUERFANO,876.0,607.0,268.0,286.0,97.0,75.0,22.0,27.0,6.0,2.0,4.0,4.0,612.0,415.0,196.0,210.0,4.0,3.0,1.0,1.0,478.0,354.0,124.0,133.0,0.0,0.0,0.0,0.0,22.0,18.0,4.0,5.0,436.0,302.0,133.0,142.0,440.0,305.0,135.0,144.0,4.0,2.0,2.0,2.0,7.0,1.0,6.0,6.0,476.0,361.0,114.0,121.0,361.0,226.0,135.0,146.0,7.0,6.0,7.0,1.0,0.0,0.0,42.0,33.0,36.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,7.0,7.0,7.0,69.29,30.59,32.65,77.32,22.68,27.84,85.71,100.0,33.33,66.67,66.67,0.0,0.0,67.81,32.03,34.31,78.57,85.71,75.0,25.0,25.0,0.0,0.0,74.06,25.94,27.82,75.0,75.0,0.0,0.0,0.0,0.0,0.0,81.82,18.18,22.73,100.0,100.0,69.27,30.5,32.57,69.32,30.68,32.73,15.89,7.0,7.47,62.6,37.4,40.44,14.29,85.71,85.71,75.84,23.95,25.42,50.0,50.0,50.0
29,JACKSON,205.0,151.0,54.0,60.0,26.0,19.0,7.0,9.0,23.0,19.0,4.0,4.0,117.0,81.0,36.0,41.0,0.0,0.0,0.0,0.0,103.0,67.0,36.0,41.0,2.0,0.0,2.0,2.0,7.0,6.0,1.0,1.0,105.0,78.0,27.0,30.0,100.0,73.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,36.0,7.0,8.0,156.0,114.0,42.0,47.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,6.0,6.0,0.0,0.0,0.0,13.0,12.0,12.0,0.0,0.0,0.0,2.0,2.0,2.0,73.66,26.34,29.27,73.08,26.92,34.62,50.0,50.0,82.61,17.39,17.39,100.0,100.0,69.23,30.77,35.04,75.0,75.0,0.0,0.0,0.0,0.0,0.0,65.05,34.95,39.81,92.31,92.31,0.0,100.0,100.0,0.0,0.0,85.71,14.29,14.29,100.0,100.0,74.29,25.71,28.57,73.0,27.0,30.0,70.75,24.49,27.21,73.08,26.92,30.13,0.0,0.0,0.0,83.72,16.28,18.6,0.0,0.0,0.0
30,JEFFERSON,90678.0,74398.0,16049.0,17618.0,7762.0,6429.0,1306.0,1496.0,6700.0,4710.0,1978.0,2157.0,29789.0,23622.0,6017.0,6950.0,67.0,54.0,13.0,13.0,10839.0,7752.0,3011.0,3420.0,2900.0,1730.0,1133.0,1305.0,10053.0,9466.0,578.0,649.0,44122.0,36303.0,7721.0,8426.0,46556.0,38095.0,8328.0,9192.0,2797.0,2324.0,472.0,515.0,1146.0,753.0,387.0,421.0,22211.0,16654.0,5472.0,6065.0,60676.0,51569.0,8980.0,9802.0,602.0,378.0,392.0,398.0,205.0,209.0,2090.0,1351.0,1423.0,12.0,3.0,3.0,295.0,157.0,165.0,247.0,144.0,151.0,933.0,891.0,900.0,82.05,17.7,19.43,82.83,16.83,19.27,62.79,65.12,70.3,29.52,32.19,51.51,52.51,79.3,20.2,23.33,64.64,68.09,80.6,19.4,19.4,25.0,25.0,71.52,27.78,31.55,53.22,55.93,59.66,39.07,45.0,58.3,61.13,94.16,5.75,6.46,95.5,96.46,82.28,17.5,19.1,81.83,17.89,19.74,0.19,0.04,0.04,84.99,14.8,16.15,65.71,33.77,36.74,74.98,24.64,27.31,83.09,16.88,18.41
31,KIOWA,290.0,195.0,95.0,96.0,38.0,23.0,15.0,16.0,4.0,3.0,1.0,1.0,141.0,89.0,52.0,53.0,3.0,0.0,3.0,3.0,45.0,31.0,14.0,15.0,0.0,0.0,0.0,0.0,15.0,12.0,3.0,3.0,134.0,84.0,50.0,51.0,156.0,111.0,45.0,45.0,2.0,0.0,2.0,2.0,5.0,1.0,4.0,4.0,37.0,23.0,14.0,14.0,240.0,166.0,74.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,67.24,32.76,33.1,60.53,39.47,42.11,0.0,0.0,75.0,25.0,25.0,0.0,0.0,63.12,36.88,37.59,80.0,100.0,0.0,100.0,100.0,0.0,0.0,68.89,31.11,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,20.0,100.0,100.0,62.69,37.31,38.06,71.15,28.85,28.85,46.78,27.84,28.4,69.17,30.83,31.25,20.0,80.0,80.0,62.16,37.84,37.84,0.0,100.0,100.0
32,KIT CARSON,1479.0,1092.0,387.0,395.0,158.0,108.0,50.0,52.0,255.0,202.0,53.0,57.0,847.0,590.0,257.0,263.0,43.0,38.0,5.0,5.0,234.0,186.0,48.0,48.0,32.0,6.0,26.0,26.0,62.0,53.0,9.0,9.0,710.0,516.0,194.0,198.0,769.0,576.0,193.0,197.0,6.0,3.0,3.0,3.0,13.0,13.0,0.0,0.0,429.0,324.0,105.0,111.0,1013.0,741.0,272.0,274.0,15.0,9.0,10.0,17.0,13.0,13.0,56.0,46.0,47.0,9.0,6.0,6.0,1.0,1.0,1.0,5.0,3.0,3.0,11.0,11.0,11.0,73.83,26.17,26.71,68.35,31.65,32.91,60.0,66.67,79.22,20.78,22.35,76.47,76.47,69.66,30.34,31.05,82.14,83.93,88.37,11.63,11.63,66.67,66.67,79.49,20.51,20.51,100.0,100.0,18.75,81.25,81.25,60.0,60.0,85.48,14.52,14.52,100.0,100.0,72.68,27.32,27.89,74.9,25.1,25.62,10.24,3.85,3.93,73.15,26.85,27.05,100.0,0.0,0.0,75.52,24.48,25.87,50.0,50.0,50.0
33,LA PLATA,7534.0,5582.0,1946.0,2074.0,654.0,504.0,155.0,171.0,230.0,159.0,71.0,79.0,2679.0,1954.0,719.0,778.0,2.0,2.0,0.0,0.0,1889.0,1495.0,388.0,430.0,66.0,28.0,34.0,38.0,581.0,503.0,78.0,80.0,3670.0,2755.0,914.0,983.0,3864.0,2827.0,1032.0,1091.0,63.0,45.0,18.0,18.0,43.0,25.0,18.0,18.0,1378.0,964.0,409.0,450.0,5281.0,4051.0,1230.0,1290.0,46.0,29.0,30.0,8.0,5.0,5.0,162.0,101.0,115.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,64.0,62.0,63.0,74.09,25.83,27.53,77.06,23.7,26.15,63.04,65.22,69.13,30.87,34.35,62.5,62.5,72.94,26.84,29.04,62.35,70.99,100.0,0.0,0.0,0.0,0.0,79.14,20.54,22.76,100.0,100.0,42.42,51.52,57.58,0.0,50.0,86.57,13.43,13.77,96.88,98.44,75.07,24.9,26.78,73.16,26.71,28.23,2.05,0.68,0.73,76.71,23.29,24.43,58.14,41.86,41.86,69.96,29.68,32.66,71.43,28.57,28.57
34,LAKE,1246.0,930.0,316.0,336.0,128.0,100.0,28.0,31.0,467.0,357.0,110.0,119.0,862.0,665.0,197.0,213.0,3.0,3.0,0.0,0.0,139.0,108.0,31.0,33.0,8.0,1.0,7.0,7.0,60.0,50.0,10.0,10.0,616.0,460.0,156.0,168.0,630.0,470.0,160.0,168.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,843.0,656.0,187.0,202.0,352.0,253.0,99.0,103.0,10.0,3.0,4.0,24.0,13.0,13.0,43.0,29.0,29.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,74.64,25.36,26.97,78.12,21.88,24.22,30.0,40.0,76.45,23.55,25.48,54.17,54.17,77.15,22.85,24.71,67.44,67.44,100.0,0.0,0.0,33.33,33.33,77.7,22.3,23.74,0.0,0.0,12.5,87.5,87.5,0.0,0.0,83.33,16.67,16.67,100.0,100.0,74.68,25.32,27.27,74.6,25.4,26.67,12.12,4.11,4.43,71.88,28.12,29.26,33.33,66.67,66.67,77.82,22.18,23.96,0.0,100.0,100.0
35,LARIMER,30303.0,25131.0,5103.0,5784.0,2351.0,1937.0,411.0,499.0,2457.0,1959.0,500.0,618.0,8581.0,7332.0,1208.0,1571.0,45.0,34.0,11.0,11.0,2131.0,1661.0,459.0,525.0,732.0,501.0,224.0,275.0,2764.0,2603.0,159.0,183.0,14842.0,12333.0,2475.0,2806.0,15461.0,12798.0,2628.0,2978.0,998.0,777.0,221.0,258.0,419.0,310.0,107.0,128.0,5265.0,4187.0,1063.0,1268.0,22446.0,18923.0,3474.0,3853.0,198.0,114.0,118.0,127.0,91.0,91.0,643.0,466.0,487.0,5.0,3.0,3.0,6.0,1.0,1.0,118.0,80.0,84.0,295.0,289.0,291.0,82.93,16.84,19.09,82.39,17.48,21.23,57.58,59.6,79.73,20.35,25.15,71.65,71.65,85.44,14.08,18.31,72.47,75.74,75.56,24.44,24.44,60.0,60.0,77.94,21.54,24.64,16.67,16.67,68.44,30.6,37.57,67.8,71.19,94.18,5.75,6.62,97.97,98.64,83.1,16.68,18.91,82.78,17.0,19.26,0.56,0.11,0.13,84.3,15.48,17.17,73.99,25.54,30.55,79.53,20.19,24.08,77.86,22.14,25.85
36,LAS ANIMAS,2993.0,1871.0,1120.0,1161.0,283.0,206.0,77.0,81.0,86.0,64.0,22.0,22.0,1525.0,1049.0,475.0,499.0,8.0,5.0,3.0,3.0,988.0,681.0,306.0,327.0,13.0,1.0,12.0,13.0,69.0,57.0,12.0,13.0,1524.0,951.0,572.0,587.0,1469.0,920.0,548.0,574.0,30.0,23.0,7.0,7.0,48.0,16.0,32.0,32.0,1513.0,1034.0,477.0,503.0,1323.0,758.0,565.0,578.0,18.0,10.0,11.0,2.0,2.0,2.0,126.0,93.0,98.0,0.0,0.0,0.0,17.0,9.0,10.0,3.0,1.0,1.0,8.0,8.0,8.0,62.51,37.42,38.79,72.79,27.21,28.62,55.56,61.11,74.42,25.58,25.58,100.0,100.0,68.79,31.15,32.72,73.81,77.78,62.5,37.5,37.5,0.0,0.0,68.93,30.97,33.1,52.94,58.82,7.69,92.31,100.0,33.33,33.33,82.61,17.39,18.84,100.0,100.0,62.4,37.53,38.52,62.63,37.3,39.07,4.09,2.46,2.53,57.29,42.71,43.69,33.33,66.67,66.67,68.34,31.53,33.25,76.67,23.33,23.33
37,LINCOLN,997.0,596.0,401.0,411.0,113.0,75.0,38.0,38.0,22.0,12.0,10.0,10.0,429.0,275.0,154.0,159.0,0.0,0.0,0.0,0.0,234.0,155.0,79.0,80.0,17.0,1.0,16.0,16.0,34.0,31.0,3.0,3.0,484.0,297.0,187.0,190.0,513.0,299.0,214.0,221.0,10.0,6.0,4.0,4.0,24.0,14.0,10.0,11.0,81.0,42.0,39.0,39.0,862.0,520.0,342.0,351.0,12.0,7.0,7.0,2.0,1.0,1.0,52.0,33.0,35.0,0.0,0.0,0.0,7.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,59.78,40.22,41.22,66.37,33.63,33.63,58.33,58.33,54.55,45.45,45.45,50.0,50.0,64.1,35.9,37.06,63.46,67.31,0.0,0.0,0.0,0.0,0.0,66.24,33.76,34.19,42.86,57.14,5.88,94.12,94.12,75.0,75.0,91.18,8.82,8.82,100.0,100.0,61.36,38.64,39.26,58.28,41.72,43.08,12.68,7.98,8.11,60.32,39.68,40.72,58.33,41.67,45.83,51.85,48.15,48.15,60.0,40.0,40.0
38,LOGAN,3228.0,2499.0,727.0,776.0,372.0,291.0,80.0,89.0,173.0,135.0,38.0,39.0,1524.0,1156.0,366.0,395.0,9.0,5.0,4.0,4.0,1244.0,953.0,291.0,310.0,20.0,7.0,13.0,16.0,199.0,185.0,14.0,15.0,1536.0,1184.0,351.0,378.0,1692.0,1315.0,376.0,398.0,23.0,13.0,10.0,10.0,31.0,20.0,11.0,12.0,698.0,533.0,164.0,177.0,2370.0,1856.0,513.0,546.0,26.0,16.0,18.0,3.0,2.0,2.0,104.0,73.0,78.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,31.0,29.0,29.0,77.42,22.52,24.04,78.23,21.51,23.92,61.54,69.23,78.03,21.97,22.54,66.67,66.67,75.85,24.02,25.92,70.19,75.0,55.56,44.44,44.44,66.67,66.67,76.61,23.39,24.92,75.0,75.0,35.0,65.0,80.0,50.0,75.0,92.96,7.04,7.54,93.55,93.55,77.08,22.85,24.61,77.72,22.22,23.52,5.02,1.49,1.6,78.31,21.65,23.04,64.52,35.48,38.71,76.36,23.5,25.36,56.52,43.48,43.48
39,MESA,24785.0,19241.0,5399.0,6186.0,2452.0,2001.0,434.0,517.0,1585.0,1248.0,331.0,396.0,726.0,411.0,308.0,365.0,110.0,72.0,37.0,46.0,4687.0,3622.0,1006.0,1207.0,388.0,209.0,173.0,216.0,1272.0,1181.0,88.0,103.0,11995.0,9339.0,2582.0,2951.0,12790.0,9902.0,2817.0,3235.0,191.0,145.0,46.0,49.0,207.0,139.0,65.0,72.0,5359.0,4202.0,1121.0,1338.0,17855.0,13920.0,3834.0,4342.0,215.0,116.0,119.0,105.0,64.0,66.0,609.0,385.0,411.0,16.0,10.0,10.0,27.0,11.0,14.0,68.0,34.0,38.0,137.0,132.0,133.0,77.63,21.78,24.96,81.61,17.7,21.08,53.95,55.35,78.74,20.88,24.98,60.95,62.86,56.61,42.42,50.28,63.22,67.49,65.45,33.64,41.82,62.5,62.5,77.28,21.46,25.75,40.74,51.85,53.87,44.59,55.67,50.0,55.88,92.85,6.92,8.1,96.35,97.08,77.86,21.53,24.6,77.42,22.03,25.29,0.65,0.18,0.21,77.96,21.47,24.32,67.15,31.4,34.78,78.41,20.92,24.97,75.92,24.08,25.65
40,MINERAL,104.0,64.0,40.0,40.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,48.0,32.0,16.0,16.0,0.0,0.0,0.0,0.0,104.0,64.0,40.0,40.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,48.0,30.0,18.0,18.0,56.0,34.0,22.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,9.0,9.0,9.0,81.0,54.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,61.54,38.46,38.46,66.67,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,33.33,33.33,50.0,50.0,0.0,0.0,0.0,0.0,0.0,61.54,38.46,38.46,88.89,88.89,0.0,0.0,0.0,0.0,0.0,75.0,25.0,25.0,0.0,0.0,62.5,37.5,37.5,60.71,39.29,39.29,130.21,78.12,78.12,66.67,33.33,33.33,0.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,100.0
41,MOFFAT,2448.0,1875.0,573.0,638.0,213.0,164.0,50.0,56.0,254.0,194.0,59.0,75.0,1113.0,864.0,249.0,300.0,0.0,0.0,0.0,0.0,126.0,111.0,15.0,19.0,32.0,7.0,24.0,31.0,94.0,81.0,13.0,15.0,1163.0,889.0,275.0,312.0,1285.0,986.0,298.0,326.0,8.0,6.0,3.0,4.0,10.0,8.0,2.0,2.0,507.0,384.0,122.0,141.0,1850.0,1421.0,429.0,472.0,10.0,8.0,8.0,4.0,3.0,3.0,68.0,44.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,2.0,2.0,2.0,76.59,23.41,26.06,77.0,23.47,26.29,80.0,80.0,76.38,23.23,29.53,75.0,75.0,77.63,22.37,26.95,64.71,67.65,0.0,0.0,0.0,0.0,0.0,88.1,11.9,15.08,0.0,0.0,21.88,75.0,96.88,25.0,25.0,86.17,13.83,15.96,100.0,100.0,76.44,23.65,26.83,76.73,23.19,25.37,6.57,2.03,2.31,76.81,23.19,25.51,80.0,20.0,20.0,75.74,24.06,27.81,75.0,37.5,50.0
