county,school_dist,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate
ARAPAHOE,ENGLEWOOD 1,3496,2117,1364,1512,398,260,138,152,365,261,104,115,2056,1271,777,865,1,0,1,1,1577,1021,553,592,257,111,145,165,302,251,51,51,1673,1016,649,714,1823,1101,715,798,37,25,12,13,148,61,86,93,1282,755,522,576,1889,1202,678,755,52,21,21,8,4,4,191,76,85,0,0,0,50,13,15,30,9,12,22,11,12,60.55,39.02,43.25,65.33,34.67,38.19,40.38,40.38,71.51,28.49,31.51,50.0,50.0,61.82,37.79,42.07,39.79,44.5,0.0,100.0,100.0,0.0,0.0,64.74,35.07,37.54,26.0,30.0,43.19,56.42,64.2,30.0,40.0,83.11,16.89,16.89,50.0,54.55,60.73,38.79,42.68,60.39,39.22,43.77,3.63,2.32,2.55,63.63,35.89,39.97,41.22,58.11,62.84,58.89,40.72,44.93,67.57,32.43,35.14
ARAPAHOE,SHERIDAN 2,1848,1169,680,702,185,129,56,58,827,610,218,226,1448,1000,449,465,44,31,13,13,1226,783,444,459,117,64,53,57,54,44,10,10,902,563,339,349,946,606,341,353,40,31,9,9,86,40,46,49,1338,869,470,484,332,200,132,137,18,6,6,51,11,11,131,41,43,2,0,0,140,46,48,29,9,10,14,6,7,63.26,36.8,37.99,69.73,30.27,31.35,33.33,33.33,73.76,26.36,27.33,21.57,21.57,69.06,31.01,32.11,31.3,32.82,70.45,29.55,29.55,0.0,0.0,63.87,36.22,37.44,32.86,34.29,54.7,45.3,48.72,31.03,34.48,81.48,18.52,18.52,42.86,50.0,62.42,37.58,38.69,64.06,36.05,37.32,6.92,4.17,4.29,60.24,39.76,41.27,46.51,53.49,56.98,64.95,35.13,36.17,77.5,22.5,22.5
ARAPAHOE,CHERRY CREEK 5,56418,45451,10922,11301,5707,4845,860,901,5643,4657,979,1050,14337,11293,3023,3187,8,8,0,0,6058,4205,1831,1924,57,34,23,26,4231,4121,106,120,27427,22268,5132,5300,28991,23183,5790,6001,4486,3725,759,800,7179,5230,1942,2011,10364,7829,2525,2610,31361,26252,5090,5249,412,264,270,219,176,177,1100,894,915,1,1,1,67,53,56,16,12,12,343,328,330,80.56,19.36,20.03,84.9,15.07,15.79,64.08,65.53,82.53,17.35,18.61,80.37,80.82,78.77,21.09,22.23,81.27,83.18,100.0,0.0,0.0,100.0,100.0,69.41,30.22,31.76,79.1,83.58,59.65,40.35,45.61,75.0,75.0,97.4,2.51,2.84,95.63,96.21,81.19,18.71,19.32,79.97,19.97,20.7,0.3,0.07,0.07,83.71,16.23,16.74,72.85,27.05,28.01,75.54,24.36,25.18,83.04,16.92,17.83
ARAPAHOE,LITTLETON 6,16504,13418,3075,3203,1419,1148,268,292,1022,788,232,252,3696,2766,922,984,5,5,0,0,1365,1032,328,355,204,133,68,73,2618,2472,145,152,8082,6625,1452,1505,8422,6793,1623,1698,536,418,118,123,229,153,75,78,2699,2057,640,674,12296,10229,2062,2140,116,76,77,56,35,36,247,181,190,2,2,2,18,13,14,19,10,12,320,316,317,81.3,18.63,19.41,80.9,18.89,20.58,65.52,66.38,77.1,22.7,24.66,62.5,64.29,74.84,24.95,26.62,73.28,76.92,100.0,0.0,0.0,100.0,100.0,75.6,24.03,26.01,72.22,77.78,65.2,33.33,35.78,52.63,63.16,94.42,5.54,5.81,98.75,99.06,81.97,17.97,18.62,80.66,19.27,20.16,1.01,0.22,0.23,83.19,16.77,17.4,66.81,32.75,34.06,76.21,23.71,24.97,77.99,22.01,22.95
ARAPAHOE,DEER TRAIL 26J,185,130,55,61,24,13,11,11,5,1,4,4,94,58,36,41,0,0,0,0,20,17,3,3,0,0,0,0,3,3,0,0,86,59,27,31,99,71,28,30,2,2,0,0,1,1,0,0,18,10,8,9,162,117,45,50,4,3,3,0,0,0,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,70.27,29.73,32.97,54.17,45.83,45.83,75.0,75.0,20.0,80.0,80.0,0.0,0.0,61.7,38.3,43.62,90.91,90.91,0.0,0.0,0.0,0.0,0.0,85.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,68.6,31.4,36.05,71.72,28.28,30.3,79.77,36.51,41.92,72.22,27.78,30.86,100.0,0.0,0.0,55.56,44.44,50.0,100.0,0.0,0.0
ARAPAHOE,ADAMS-ARAPAHOE 28J,45673,31436,13911,15360,4043,3019,1002,1135,17490,12679,4685,5271,29784,21866,7656,8781,25,2,23,23,16745,11682,4877,5498,2297,1150,1073,1297,2435,2110,317,347,22044,15145,6747,7431,23629,16291,7164,7929,2009,1386,617,660,8242,5233,2938,3260,23087,16700,6211,6975,10070,6736,3275,3523,269,75,75,1039,303,306,2004,901,931,15,5,6,212,76,79,148,55,55,209,158,161,68.83,30.46,33.63,74.67,24.78,28.07,27.88,27.88,72.49,26.79,30.14,29.16,29.45,73.42,25.71,29.48,44.96,46.46,8.0,92.0,92.0,33.33,40.0,69.76,29.13,32.83,35.85,37.26,50.07,46.71,56.46,37.16,37.16,86.65,13.02,14.25,75.6,77.03,68.7,30.61,33.71,68.94,30.32,33.56,0.31,0.14,0.15,66.89,32.52,34.99,63.49,35.65,39.55,72.34,26.9,30.21,68.99,30.71,32.85
ARAPAHOE,BYERS 32J,515,388,127,130,66,47,19,19,18,16,2,2,243,170,73,76,1,0,1,1,23,17,6,6,1,1,0,0,11,10,1,1,257,198,59,61,258,190,68,69,3,3,0,0,5,3,2,2,56,43,13,13,436,330,106,109,3,3,3,0,0,0,10,10,10,0,0,0,1,1,1,1,1,1,1,1,1,75.34,24.66,25.24,71.21,28.79,28.79,100.0,100.0,88.89,11.11,11.11,0.0,0.0,69.96,30.04,31.28,100.0,100.0,0.0,100.0,100.0,0.0,0.0,73.91,26.09,26.09,100.0,100.0,100.0,0.0,0.0,100.0,100.0,90.91,9.09,9.09,100.0,100.0,77.04,22.96,23.74,73.64,26.36,26.74,29.98,8.93,9.24,75.69,24.31,25.0,60.0,40.0,40.0,76.79,23.21,23.21,100.0,0.0,0.0
ARCHULETA,ARCHULETA COUNTY 50 JT,1641,1218,422,452,125,100,25,28,120,94,26,28,885,630,254,275,7,7,0,0,1073,830,243,257,14,3,11,12,99,83,16,17,786,596,190,204,855,622,232,248,15,11,4,4,21,14,7,7,405,311,94,100,1150,858,292,313,11,5,5,0,0,0,59,38,40,0,0,0,0,0,0,5,1,1,12,10,11,74.22,25.72,27.54,80.0,20.0,22.4,45.45,45.45,78.33,21.67,23.33,0.0,0.0,71.19,28.7,31.07,64.41,67.8,100.0,0.0,0.0,0.0,0.0,77.35,22.65,23.95,0.0,0.0,21.43,78.57,85.71,20.0,20.0,83.84,16.16,17.17,83.33,91.67,75.83,24.17,25.95,72.75,27.13,29.01,9.65,3.08,3.3,74.61,25.39,27.22,66.67,33.33,33.33,76.79,23.21,24.69,73.33,26.67,26.67
BACA,WALSH RE-1,150,118,32,34,11,6,5,5,17,10,7,9,69,50,19,20,0,0,0,0,23,18,5,6,0,0,0,0,11,11,0,0,72,50,22,23,78,68,10,11,0,0,0,0,0,0,0,0,28,15,13,15,120,101,19,19,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,1,1,1,78.67,21.33,22.67,54.55,45.45,45.45,0.0,0.0,58.82,41.18,52.94,0.0,0.0,72.46,27.54,28.99,100.0,100.0,0.0,0.0,0.0,0.0,0.0,78.26,21.74,26.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,69.44,30.56,31.94,87.18,12.82,14.1,96.44,42.44,44.36,84.17,15.83,15.83,0.0,0.0,0.0,53.57,46.43,53.57,0.0,0.0,0.0
BACA,PRITCHETT RE-3,74,43,31,31,4,2,2,2,0,0,0,0,45,23,22,22,0,0,0,0,74,43,31,31,0,0,0,0,8,7,1,1,33,20,13,13,41,23,18,18,0,0,0,0,0,0,0,0,11,5,6,6,62,37,25,25,0,0,0,0,0,0,4,3,4,0,0,0,6,5,6,0,0,0,2,2,2,58.11,41.89,41.89,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.11,48.89,48.89,75.0,100.0,0.0,0.0,0.0,0.0,0.0,58.11,41.89,41.89,83.33,100.0,0.0,0.0,0.0,0.0,0.0,87.5,12.5,12.5,100.0,100.0,60.61,39.39,39.39,56.1,43.9,43.9,183.67,119.36,119.36,59.68,40.32,40.32,0.0,0.0,0.0,45.45,54.55,54.55,0.0,0.0,0.0
BACA,SPRINGFIELD RE-4,292,218,74,79,28,21,7,7,3,1,2,2,183,136,47,49,0,0,0,0,292,218,74,79,0,0,0,0,9,8,1,1,143,110,33,37,149,108,41,42,0,0,0,0,2,2,0,0,45,26,19,20,235,182,53,57,1,1,1,1,1,1,15,13,14,0,0,0,22,20,21,0,0,0,1,1,1,74.66,25.34,27.05,75.0,25.0,25.0,100.0,100.0,33.33,66.67,66.67,100.0,100.0,74.32,25.68,26.78,86.67,93.33,0.0,0.0,0.0,0.0,0.0,74.66,25.34,27.05,90.91,95.45,0.0,0.0,0.0,0.0,0.0,88.89,11.11,11.11,100.0,100.0,76.92,23.08,25.87,72.48,27.52,28.19,53.79,16.14,18.09,77.45,22.55,24.26,100.0,0.0,0.0,57.78,42.22,44.44,0.0,0.0,0.0
BACA,VILAS RE-5,418,160,258,261,21,10,11,11,0,0,0,0,117,54,63,65,2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,211,72,139,141,207,88,119,120,1,0,1,1,12,8,4,4,106,30,76,77,284,120,164,166,7,3,3,1,1,1,53,10,18,1,0,0,9,2,3,0,0,0,1,1,1,38.28,61.72,62.44,47.62,52.38,52.38,42.86,42.86,0.0,0.0,0.0,100.0,100.0,46.15,53.85,55.56,18.87,33.96,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,22.22,33.33,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,34.12,65.88,66.82,42.51,57.49,57.97,16.17,31.22,31.67,42.25,57.75,58.45,66.67,33.33,33.33,28.3,71.7,72.64,0.0,100.0,100.0
BACA,CAMPO RE-6,54,38,16,16,6,6,0,0,0,0,0,0,38,30,8,8,0,0,0,0,14,12,2,2,0,0,0,0,1,1,0,0,33,22,11,11,21,16,5,5,0,0,0,0,0,0,0,0,7,4,3,3,47,34,13,13,1,1,1,0,0,0,3,3,3,0,0,0,1,1,1,0,0,0,1,1,1,70.37,29.63,29.63,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,78.95,21.05,21.05,100.0,100.0,0.0,0.0,0.0,0.0,0.0,85.71,14.29,14.29,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,66.67,33.33,33.33,76.19,23.81,23.81,202.03,101.0,101.0,72.34,27.66,27.66,0.0,0.0,0.0,57.14,42.86,42.86,0.0,0.0,0.0
BENT,LAS ANIMAS RE-1,569,429,140,147,66,45,21,23,3,3,0,0,458,355,103,109,1,1,0,0,431,339,92,98,0,0,0,0,20,18,2,2,291,218,73,79,278,211,67,68,7,3,4,4,12,10,2,2,237,189,48,51,309,223,86,90,10,5,5,0,0,0,25,18,18,0,0,0,15,11,11,0,0,0,3,3,3,75.4,24.6,25.83,68.18,31.82,34.85,50.0,50.0,100.0,0.0,0.0,0.0,0.0,77.51,22.49,23.8,72.0,72.0,100.0,0.0,0.0,0.0,0.0,78.65,21.35,22.74,73.33,73.33,0.0,0.0,0.0,0.0,0.0,90.0,10.0,10.0,100.0,100.0,74.91,25.09,27.15,75.9,24.1,24.46,25.74,8.62,9.33,72.17,27.83,29.13,83.33,16.67,16.67,79.75,20.25,21.52,42.86,57.14,57.14
BENT,MC CLAVE RE-2,296,246,50,51,17,15,2,2,31,25,6,6,181,143,38,39,9,5,4,4,145,125,20,21,0,0,0,0,19,19,0,0,144,120,24,24,152,126,26,27,0,0,0,0,1,1,0,0,96,80,16,16,196,164,32,33,1,1,1,2,2,2,14,13,13,1,1,1,2,2,2,0,0,0,3,3,3,83.11,16.89,17.23,88.24,11.76,11.76,100.0,100.0,80.65,19.35,19.35,100.0,100.0,79.01,20.99,21.55,92.86,92.86,55.56,44.44,44.44,100.0,100.0,86.21,13.79,14.48,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,83.33,16.67,16.67,82.89,17.11,17.76,57.87,11.58,11.58,83.67,16.33,16.84,100.0,0.0,0.0,83.33,16.67,16.67,0.0,0.0,0.0
BOULDER,ST VRAIN VALLEY RE 1J,29351,24282,5015,5364,2453,2096,354,382,5323,4566,750,830,10467,8650,1783,1993,60,50,10,12,333,304,29,34,936,490,431,508,2109,1975,134,138,14416,11946,2438,2614,14935,12336,2577,2750,1008,846,162,167,329,248,81,89,8436,6945,1475,1612,19003,15789,3183,3369,118,61,63,171,110,112,587,403,412,10,7,7,5,1,1,87,54,56,171,170,170,82.73,17.09,18.28,85.45,14.43,15.57,51.69,53.39,85.78,14.09,15.59,64.33,65.5,82.64,17.03,19.04,68.65,70.19,83.33,16.67,20.0,70.0,70.0,91.29,8.71,10.21,20.0,20.0,52.35,46.05,54.27,62.07,64.37,93.65,6.35,6.54,99.42,99.42,82.87,16.91,18.13,82.6,17.25,18.41,0.57,0.12,0.13,83.09,16.75,17.73,75.38,24.62,27.05,82.33,17.48,19.11,83.93,16.07,16.57
BOULDER,BOULDER VALLEY RE 2,31329,26465,4832,5099,2857,2469,388,414,3006,2461,541,577,6921,5387,1519,1651,2,0,2,2,2077,1728,344,371,800,511,286,324,4696,4348,348,374,15385,13032,2338,2473,15944,13433,2494,2626,1870,1533,334,352,281,185,96,100,5382,4393,982,1050,22114,18964,3129,3287,230,160,163,140,99,101,508,374,387,5,4,4,10,5,6,133,85,86,362,343,352,84.47,15.42,16.28,86.42,13.58,14.49,69.57,70.87,81.87,18.0,19.19,70.71,72.14,77.84,21.95,23.85,73.62,76.18,0.0,100.0,100.0,80.0,80.0,83.2,16.56,17.86,50.0,60.0,63.88,35.75,40.5,63.91,64.66,92.59,7.41,7.96,94.75,97.24,84.71,15.2,16.07,84.25,15.64,16.47,0.55,0.1,0.1,85.76,14.15,14.86,65.84,34.16,35.59,81.62,18.25,19.51,81.98,17.86,18.82
CHAFFEE,BUENA VISTA R-31,1077,803,273,295,93,79,14,17,3,2,1,1,451,333,118,125,0,0,0,0,68,56,12,12,1,0,1,1,22,20,2,2,536,398,137,146,541,405,136,149,7,6,1,1,9,7,2,2,102,73,29,30,922,693,228,246,8,6,7,0,0,0,34,26,27,0,0,0,4,3,3,1,0,0,6,6,6,74.56,25.35,27.39,84.95,15.05,18.28,75.0,87.5,66.67,33.33,33.33,0.0,0.0,73.84,26.16,27.72,76.47,79.41,0.0,0.0,0.0,0.0,0.0,82.35,17.65,17.65,75.0,75.0,0.0,100.0,100.0,0.0,0.0,90.91,9.09,9.09,100.0,100.0,74.25,25.56,27.24,74.86,25.14,27.54,13.85,4.77,5.08,75.16,24.73,26.68,77.78,22.22,22.22,71.57,28.43,29.41,85.71,14.29,14.29
CHAFFEE,SALIDA R-32,1201,904,295,314,98,76,22,23,35,24,11,11,496,397,98,111,0,0,0,0,870,624,245,260,8,4,4,5,62,59,3,4,576,448,127,134,625,456,168,180,12,10,2,2,0,0,0,0,174,126,48,54,973,737,234,246,9,6,6,5,5,5,25,19,19,0,0,0,69,61,62,2,1,1,11,11,11,75.27,24.56,26.14,77.55,22.45,23.47,66.67,66.67,68.57,31.43,31.43,100.0,100.0,80.04,19.76,22.38,76.0,76.0,0.0,0.0,0.0,0.0,0.0,71.72,28.16,29.89,88.41,89.86,50.0,50.0,62.5,50.0,50.0,95.16,4.84,6.45,100.0,100.0,77.78,22.05,23.26,72.96,26.88,28.8,13.5,3.83,4.04,75.75,24.05,25.28,0.0,0.0,0.0,72.41,27.59,31.03,83.33,16.67,16.67
CHEYENNE,KIT CARSON R-1,131,102,29,29,10,6,4,4,2,0,2,2,61,45,16,16,2,0,2,2,0,0,0,0,0,0,0,0,9,9,0,0,71,59,12,12,60,43,17,17,1,1,0,0,0,0,0,0,19,14,5,5,111,87,24,24,1,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,1,1,1,77.86,22.14,22.14,60.0,40.0,40.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,73.77,26.23,26.23,66.67,66.67,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,83.1,16.9,16.9,71.67,28.33,28.33,117.04,23.8,23.8,78.38,21.62,21.62,0.0,0.0,0.0,73.68,26.32,26.32,100.0,0.0,0.0
CHEYENNE,CHEYENNE COUNTY RE-5,208,145,63,65,30,23,7,8,28,12,16,16,89,56,33,35,4,1,3,3,20,15,5,5,0,0,0,0,4,3,1,1,89,60,29,29,119,85,34,36,0,0,0,0,2,0,2,2,47,22,25,25,158,123,35,36,1,0,0,1,1,1,7,5,6,2,2,2,0,0,0,0,0,0,0,0,0,69.71,30.29,31.25,76.67,23.33,26.67,0.0,0.0,42.86,57.14,57.14,100.0,100.0,62.92,37.08,39.33,71.43,85.71,25.0,75.0,75.0,100.0,100.0,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,25.0,25.0,0.0,0.0,67.42,32.58,32.58,71.43,28.57,30.25,75.75,36.61,36.61,77.85,22.15,22.78,0.0,100.0,100.0,46.81,53.19,53.19,0.0,0.0,0.0
CLEAR CREEK,CLEAR CREEK RE-1,1080,761,319,338,97,69,28,30,13,11,2,2,285,209,76,85,0,0,0,0,268,196,72,74,0,0,0,0,82,70,12,12,548,370,178,190,532,391,141,148,13,7,6,8,14,6,8,8,120,70,50,55,884,639,245,254,7,6,6,2,2,2,22,18,18,0,0,0,0,0,0,0,0,0,16,16,16,70.46,29.54,31.3,71.13,28.87,30.93,85.71,85.71,84.62,15.38,15.38,100.0,100.0,73.33,26.67,29.82,81.82,81.82,0.0,0.0,0.0,0.0,0.0,73.13,26.87,27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.37,14.63,14.63,100.0,100.0,67.52,32.48,34.67,73.5,26.5,27.82,12.32,5.93,6.33,72.29,27.71,28.73,42.86,57.14,57.14,58.33,41.67,45.83,53.85,46.15,61.54
CONEJOS,NORTH CONEJOS RE-1J,1110,838,266,284,59,42,17,18,0,0,0,0,733,608,122,133,2,2,0,0,1036,814,216,231,1,0,1,1,29,26,3,3,557,416,139,149,553,422,127,135,7,0,7,7,6,5,1,1,658,498,154,169,416,316,100,102,11,11,11,1,1,1,64,57,57,0,0,0,69,63,63,0,0,0,0,0,0,75.5,23.96,25.59,71.19,28.81,30.51,100.0,100.0,0.0,0.0,0.0,100.0,100.0,82.95,16.64,18.14,89.06,89.06,100.0,0.0,0.0,0.0,0.0,78.57,20.85,22.3,91.3,91.3,0.0,100.0,100.0,0.0,0.0,89.66,10.34,10.34,0.0,0.0,74.69,24.96,26.75,76.31,22.97,24.41,13.41,4.48,4.8,75.96,24.04,24.52,83.33,16.67,16.67,75.68,23.4,25.68,0.0,100.0,100.0
CONEJOS,SANFORD 6J,369,287,82,82,27,19,8,8,2,2,0,0,245,188,57,57,0,0,0,0,210,163,47,47,2,0,2,2,48,43,5,5,203,153,50,50,166,134,32,32,3,0,3,3,0,0,0,0,107,77,30,30,252,205,47,47,3,1,2,0,0,0,10,7,8,0,0,0,1,1,1,1,0,0,5,5,5,77.78,22.22,22.22,70.37,29.63,29.63,33.33,66.67,100.0,0.0,0.0,0.0,0.0,76.73,23.27,23.27,70.0,80.0,0.0,0.0,0.0,0.0,0.0,77.62,22.38,22.38,100.0,100.0,0.0,100.0,100.0,0.0,0.0,89.58,10.42,10.42,100.0,100.0,75.37,24.63,24.63,80.72,19.28,19.28,37.13,12.13,12.13,81.35,18.65,18.65,0.0,0.0,0.0,71.96,28.04,28.04,0.0,100.0,100.0
CONEJOS,SOUTH CONEJOS RE-10,276,193,83,84,15,11,4,4,26,23,3,3,198,147,51,52,0,0,0,0,275,193,82,83,0,0,0,0,3,2,1,1,146,106,40,41,130,87,43,43,1,0,1,1,1,0,1,1,241,177,64,65,28,14,14,14,1,1,1,2,1,1,18,14,14,1,0,0,22,18,18,0,0,0,1,1,1,69.93,30.07,30.43,73.33,26.67,26.67,100.0,100.0,88.46,11.54,11.54,50.0,50.0,74.24,25.76,26.26,77.78,77.78,0.0,0.0,0.0,0.0,0.0,70.18,29.82,30.18,81.82,81.82,0.0,0.0,0.0,0.0,0.0,66.67,33.33,33.33,100.0,100.0,72.6,27.4,28.08,66.92,33.08,33.08,49.73,18.77,19.23,50.0,50.0,50.0,0.0,100.0,100.0,73.44,26.56,26.97,0.0,100.0,100.0
COSTILLA,CENTENNIAL R-1,269,179,90,102,20,17,3,4,38,34,4,4,238,161,77,87,1,1,0,0,269,179,90,102,47,19,28,33,0,0,0,0,131,88,43,49,138,91,47,53,0,0,0,0,0,0,0,0,237,172,65,72,29,6,23,28,1,1,1,10,10,10,14,13,13,0,0,0,17,15,15,4,4,4,0,0,0,66.54,33.46,37.92,85.0,15.0,20.0,100.0,100.0,89.47,10.53,10.53,100.0,100.0,67.65,32.35,36.55,92.86,92.86,100.0,0.0,0.0,0.0,0.0,66.54,33.46,37.92,88.24,88.24,40.43,59.57,70.21,100.0,100.0,0.0,0.0,0.0,0.0,0.0,67.18,32.82,37.4,65.94,34.06,38.41,51.28,25.05,28.55,20.69,79.31,96.55,0.0,0.0,0.0,72.57,27.43,30.38,0.0,0.0,0.0
COSTILLA,SIERRA GRANDE R-30,317,204,113,120,26,17,9,9,54,40,14,15,268,165,103,110,20,13,7,7,134,74,60,61,30,11,19,19,5,5,0,0,143,95,48,54,174,109,65,66,4,4,0,0,2,1,1,1,229,161,68,70,67,31,36,37,0,0,0,7,7,7,16,14,14,1,1,1,1,0,0,1,0,0,3,3,3,64.35,35.65,37.85,65.38,34.62,34.62,0.0,0.0,74.07,25.93,27.78,100.0,100.0,61.57,38.43,41.04,87.5,87.5,65.0,35.0,35.0,100.0,100.0,55.22,44.78,45.52,0.0,0.0,36.67,63.33,63.33,0.0,0.0,100.0,0.0,0.0,100.0,100.0,66.43,33.57,37.76,62.64,37.36,37.93,46.45,23.48,26.41,46.27,53.73,55.22,50.0,50.0,50.0,70.31,29.69,30.57,100.0,0.0,0.0
CROWLEY,CROWLEY COUNTY RE-1-J,578,382,196,203,60,35,25,26,5,2,3,3,419,262,157,163,2,2,0,0,578,382,196,203,0,0,0,0,11,9,2,2,271,175,96,101,307,207,100,102,0,0,0,0,4,2,2,2,139,86,53,57,385,257,128,131,4,3,3,0,0,0,31,28,30,0,0,0,38,36,37,1,1,1,0,0,0,66.09,33.91,35.12,58.33,41.67,43.33,75.0,75.0,40.0,60.0,60.0,0.0,0.0,62.53,37.47,38.9,90.32,96.77,100.0,0.0,0.0,0.0,0.0,66.09,33.91,35.12,94.74,97.37,0.0,0.0,0.0,100.0,100.0,81.82,18.18,18.18,0.0,0.0,64.58,35.42,37.27,67.43,32.57,33.22,23.83,13.07,13.75,66.75,33.25,34.03,50.0,50.0,50.0,61.87,38.13,41.01,0.0,0.0,0.0
CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,480,361,119,121,50,44,6,6,0,0,0,0,212,142,70,70,0,0,0,0,178,128,50,51,0,0,0,0,38,35,3,3,238,182,56,57,242,179,63,64,7,7,0,0,5,4,1,1,20,6,14,14,436,336,100,102,5,5,5,0,0,0,20,18,18,0,0,0,0,0,0,0,0,0,7,6,6,75.21,24.79,25.21,88.0,12.0,12.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,66.98,33.02,33.02,90.0,90.0,0.0,0.0,0.0,0.0,0.0,71.91,28.09,28.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.11,7.89,7.89,85.71,85.71,76.47,23.53,23.95,73.97,26.03,26.45,32.13,9.89,10.06,77.06,22.94,23.39,80.0,20.0,20.0,30.0,70.0,70.0,100.0,0.0,0.0
DELTA,DELTA COUNTY 50(J),5630,4387,1222,1344,524,428,92,107,422,311,110,120,2821,2114,692,781,53,28,25,25,2272,1785,475,525,61,15,45,52,333,316,17,17,2735,2142,585,638,2895,2245,637,706,75,36,39,39,29,16,13,13,1154,936,214,242,4204,3285,905,985,44,30,30,30,22,22,238,188,193,5,5,5,2,0,0,10,4,5,40,39,39,77.92,21.71,23.87,81.68,17.56,20.42,68.18,68.18,73.7,26.07,28.44,73.33,73.33,74.94,24.53,27.69,78.99,81.09,52.83,47.17,47.17,100.0,100.0,78.57,20.91,23.11,0.0,0.0,24.59,73.77,85.25,40.0,50.0,94.89,5.11,5.11,97.5,97.5,78.32,21.39,23.33,77.55,22.0,24.39,2.86,0.78,0.85,78.14,21.53,23.43,55.17,44.83,44.83,81.11,18.54,20.97,48.0,52.0,52.0
