,year,county,pop,age_over18_prop,age_undr19_prop,gend_m_prop,gend_f_prop,age_undr19_gend_m_prop,age_undr19_gend_f_prop,age_over18_gend_m_prop,age_over18_gend_f_prop,gend_m_age_undr19_prop,gend_m_age_over18_prop,gend_f_age_undr19_prop,gend_f_age_over18_prop,race_hispanic_prop,race_white_prop,race_black_prop,race_asian_prop,race_other_prop,race_prop_stdev,hsgrad_graduated_prop,civ_lf_prop,civ_lf_employed_prop,ps_total_prop,ps_undr18_total_prop,ps_undr18_prop,stud_enrolled_prop,stud_hs_prop,stud_undergrad_prop,citz_birth_prop,citz_co_prop,hu_occ_prop,hu_blt_2000_plus_prop,hu_oo_prop,hu_oo_lt_50_prop,hu_oo_50_150_prop,hu_oo_150_250_prop,hu_oo_250_400_prop,hu_oo_400_750_prop,hu_oo_750_plus_prop,hu_blt_lt_1950_prop,hu_blt_1950_1959_prop,hu_blt_1960_1969_prop,hu_blt_1970_1979_prop,hu_blt_1980_1989_prop,hu_blt_1990_1999_prop,inc_per_cap,citz_per_cap,hu_per_cap,age_median,inc_hh_median,hh_size_avg,hu_oo_freq_val_ord,hu_oo_freq_val,hu_blt_freq_yr_ord,hu_blt_freq_yr
0,2012.0,ADAMS,460468.0,0.7052759366557503,0.2947240633442498,0.5029035676746267,0.4971072908432291,0.5118376550169109,0.4881623449830891,0.4991701487573786,0.5008452473695717,0.29995983953085664,0.7000401604691434,0.2894208001677574,0.7105791998322426,0.3638819635675009,0.5125024974591068,0.0281669953178071,0.03323575145286969,0.024268787407594014,0.20612885027173525,0.6049131438025165,0.5127609301840736,0.905484731692855,0.14151552704309506,0.20324020100502513,0.40765707650625727,0.2792568614588978,0.30523649495912125,0.16424820636771376,0.9502286885494179,0.56517623658411,0.9251983215412417,0.2369567214922356,0.6628176437093635,0.08568745754585048,0.19816598074079994,0.4753166580093499,0.17759819395053342,0.05421145163223719,0.009020258121229073,0.03772244172869001,0.12477564397071886,0.12015681950442586,0.1849061226990107,0.12476951820882723,0.16905877668535024,24357,0.8603681471893813,0.35451974947227605,32.4,56633,2.91,3,v150k_250k,7,b2000_2009
1,2012.0,ALAMOSA,15606.0,0.7283737024221453,0.27162629757785467,0.501281558374984,0.4992951428937588,0.5192262326020288,0.48218919556499173,0.49458960147796255,0.5056743204011612,0.2813498657803912,0.7186501342196089,0.26232032854209447,0.7376796714579056,0.460399846212995,0.49769319492502884,0.0070485710624118925,0.0037805972062027425,0.04030501089324619,0.22700091955811452,0.6309422750424448,0.4595027553505062,0.8993166922326036,0.21823279989057584,0.19858527639507467,0.23754308994045753,0.35979333020197274,0.36670786979810466,0.42614696008951886,0.9832032799894194,0.6310011903187409,0.890596469872185,0.09890444309190505,0.6324961558175295,0.11750405186385737,0.4319286871961102,0.2909238249594814,0.10723933009184225,0.04781199351701783,0.004592112371690978,0.23371880706025563,0.08992696287279367,0.09951308581862446,0.21378575776019476,0.13116250760803408,0.1317711503347535,19657,0.9689862873253877,0.421120082019736,32.2,38045,2.49,2,v50k_150k,1,b1949_e
2,2012.0,ARAPAHOE,596226.0,0.7370778865732122,0.26292211342678784,0.4906662909702026,0.5093253229480097,0.5125062993984473,0.4874873214638845,0.4828757694014313,0.5171151286223021,0.27462501880033363,0.7253749811996664,0.25164897768323163,0.7483510223167683,0.17639955318956235,0.6117915018801595,0.09330186875446558,0.047074431507515606,0.034753600144911495,0.2153774570488038,0.5258743584869796,0.5334235675733698,0.9184004578026104,0.1176539853321359,0.15945938468348828,0.34437224587347826,0.27988670204347454,0.34096705090278484,0.19101225837482289,0.9377543562718775,0.429728430203485,0.939481860933826,0.1654979845482029,0.639820869106625,0.029387110744771513,0.15489179787367804,0.3907221391748977,0.2669288478464354,0.11413263666717892,0.04393746769303846,0.030084816929795095,0.06936093382599932,0.09345817937520995,0.26139150151158885,0.23518223043332215,0.14271498152502518,32845,0.8720518729475065,0.3994458477154636,35.7,60400,2.55,3,v150k_250k,4,b1970_1979
3,2012.0,ARCHULETA,11989.0,0.795646008841438,0.204353991158562,0.5032112770039202,0.4971223621653182,0.5293877551020408,0.46938775510204084,0.4964881014781424,0.5042457280637384,0.21498425327366152,0.7850157467263384,0.1929530201342282,0.8070469798657718,0.1799149220118442,0.7918091583951956,0.0007506881307865543,0.009758945700225206,0.02777546083910251,0.3020512183427518,0.5638064441621434,0.5108015681040954,0.8889614630960156,0.08766369171740762,0.15046102263202013,0.34157944814462415,0.21810214056969493,0.38847858197932056,0.08809891808346214,0.9836464273733646,0.28606172425360615,0.5188743994509266,0.25211622054449784,0.7786596119929453,0.04303510758776897,0.14524348810872026,0.22112117780294452,0.32644394110985275,0.17327293318233294,0.09088335220838052,0.04747197437657286,0.014184397163120567,0.03729123770304278,0.15831617478837795,0.23495767558911004,0.2500571951498513,29771,0.9945783634998749,0.7291684043706731,47.5,54007,2.64,4,v250k_400k,7,b2000_2009
4,2012.0,BACA,3702.0,0.775796866558617,0.22420313344138304,0.4959481361426256,0.5048622366288493,0.5084337349397591,0.4927710843373494,0.4923398328690808,0.5083565459610028,0.2298474945533769,0.7701525054466231,0.21883360085607276,0.7811663991439273,0.0937331172339276,0.8943814154511075,0.004321988114532685,0.008103727714748784,0.021339816315505133,0.34652445164401086,0.6894185626579993,0.5067531064289573,0.9738805970149254,0.14524527267744589,0.16868932038834952,0.2622641509433962,0.20447720447720447,0.38256227758007116,0.06942590120160214,0.9830508474576272,0.5369921980091472,0.7434531735463826,0.020417221482467822,0.7379104477611941,0.32281553398058255,0.48624595469255666,0.11650485436893204,0.03964401294498382,0.0186084142394822,0.016181229773462782,0.35641367066134044,0.13581890812250333,0.12605415002219264,0.20861074123391035,0.07634265423879272,0.07634265423879272,22436,1.0040518638573743,0.6085899513776337,47.8,39497,2.18,2,v50k_150k,1,b1949_e
5,2012.0,BENT,5865.0,0.8260869565217391,0.17391304347826086,0.649616368286445,0.34970161977834613,0.5127450980392156,0.4872549019607843,0.6784313725490196,0.32074303405572757,0.13727034120734907,0.862729658792651,0.24232081911262798,0.757679180887372,0.32531969309462916,0.587382779198636,0.08951406649616368,0.014492753623188406,0.03904518329070759,0.21802534887817235,0.6910172011042685,0.33384484228474,0.8416751787538305,0.20946256316031236,0.20353982300884957,0.22697368421052633,0.1695140155913087,0.3803191489361702,0.1379647749510763,0.9901370779003678,0.587094617184888,0.8567627494456763,0.03237250554323725,0.6288819875776398,0.34156378600823045,0.4510288065843621,0.11604938271604938,0.060082304526748974,0.031275720164609055,0.0,0.46031042128603106,0.07671840354767184,0.04611973392461197,0.1583148558758315,0.1188470066518847,0.1024390243902439,15259,1.0199488491048594,0.38448422847399827,40.6,36297,2.25,2,v50k_150k,1,b1949_e
6,2012.0,BOULDER,305880.0,0.7733882568327448,0.22661174316725513,0.5021740551850399,0.4978095985353734,0.5089156904610768,0.4910843095389232,0.5001986777362574,0.4997801863343535,0.22965398261775333,0.7703460173822466,0.22355027254219478,0.7764497274578052,0.12905387733751797,0.7704851575781352,0.007290440695697659,0.038825683274486725,0.026026546358048908,0.29110382318530736,0.3602079668093375,0.5559990846083431,0.9314278322327997,0.1325201556852933,0.12545363634897336,0.20396496564745373,0.322871668078841,0.32977325008215574,0.36020348899739724,0.9578414108066866,0.343777458768907,0.944581251721018,0.13122221785138272,0.6329449196658365,0.04414938414569955,0.04334666807032319,0.20685072112853983,0.2917938730392673,0.3053874092009685,0.1084719444152016,0.08876126037528027,0.05752724125722827,0.12607686558357264,0.22464891231658865,0.16348688092521932,0.2047913142677314,38283,0.9041159931999477,0.4155387733751798,35.6,67403,2.39,5,v400k_750k,4,b1970_1979
7,2012.0,BROOMFIELD,59275.0,0.7350822437789962,0.2649177562210038,0.4966680725432307,0.5032644453816955,0.5067821435394511,0.49289944596573904,0.49302304232075644,0.5069999081979253,0.2703125,0.7296875,0.25946163387080556,0.7405383661291944,0.10763390974272459,0.7459805989034163,0.00696752425137073,0.04804723745255167,0.034652045550400676,0.2805972316197239,0.48214285714285715,0.5375453395191903,0.9429746100492734,0.06125928850917184,0.06472854640980735,0.2707295634339291,0.3011465157832043,0.32650929601002715,0.20284301606922125,0.9598784421201783,0.4190763838395138,0.9478095069173466,0.3223660872649876,0.7018479532163743,0.043060925209972005,0.022463671510465272,0.35528596187175043,0.3500199973336888,0.21130515931209173,0.01786428476203173,0.006030507272082299,0.052811280595956016,0.05210180915218163,0.20357396239801348,0.10934728627172756,0.24516672578928697,37964,0.9048840151834668,0.3804639392661324,36.5,80483,2.61,3,v150k_250k,7,b2000_2009
8,2012.0,CHAFFEE,17968.0,0.8275823686553874,0.17241763134461263,0.5299421193232413,0.47000222617987536,0.5071013557133635,0.4922530664945126,0.5347007397444519,0.4653665097511769,0.16498634740600715,0.8350136525939929,0.18058022498519835,0.8194197750148017,0.09583704363312556,0.8592497773820125,0.02782724844167409,0.0033392698130008903,0.008793410507569011,0.33176321151144605,0.5792183307954463,0.49137355298308105,0.9237739268320309,0.09388764858504797,0.16096368715083798,0.2962724935732648,0.17082014388489208,0.35070628348757915,0.12601078167115903,0.9864941873717803,0.39810804650102577,0.7650926479378363,0.18589360430364615,0.7596354166666667,0.058107644840589646,0.12461432979088104,0.3011655810764484,0.30802194034967434,0.17260884470346247,0.03548165923894412,0.17752540346682605,0.041741382745566845,0.09653317393903169,0.19764893405060768,0.08477784419207013,0.21119744969117354,27961,0.9766251113089938,0.558659839715049,47.3,45713,2.17,4,v250k_400k,6,b1990_1999
9,2012.0,CHEYENNE,1825.0,0.7463013698630137,0.2536986301369863,0.49917808219178084,0.5046575342465753,0.5053995680345572,0.49892008639308855,0.49706314243759175,0.5066079295154186,0.25686059275521406,0.743139407244786,0.250814332247557,0.749185667752443,0.16876712328767124,0.9649315068493151,0.0027397260273972603,0.006027397260273973,0.005479452054794521,0.3731201886437915,0.6734417344173442,0.6071232876712329,0.9756317689530686,0.07775061124694377,0.08571428571428572,0.2641509433962264,0.2337011033099298,0.35714285714285715,0.12446351931330472,0.9830855971296771,0.6027678113787801,0.7857142857142857,0.06135531135531135,0.7645687645687645,0.28810975609756095,0.5167682926829268,0.10213414634146341,0.06859756097560976,0.01524390243902439,0.009146341463414634,0.3717948717948718,0.10256410256410256,0.08699633699633699,0.14743589743589744,0.15018315018315018,0.07967032967032966,24502,1.0690410958904109,0.5983561643835617,41.0,50357,2.38,2,v50k_150k,1,b1949_e
