county,school_dist,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed
ARAPAHOE,CHERRY CREEK 5,56418,45451,10922,11301,5707,4845,860,901,5643,4657,979,1050,14337,11293,3023,3187,8,8,0,0,6058,4205,1831,1924,57,34,23,26,4231,4121,106,120,27427,22268,5132,5300,28991,23183,5790,6001,4486,3725,759,800,7179,5230,1942,2011,10364,7829,2525,2610,31361,26252,5090,5249,412,264,270,219,176,177,1100,894,915,1,1,1,67,53,56,16,12,12,343,328,330
ARAPAHOE,LITTLETON 6,16504,13418,3075,3203,1419,1148,268,292,1022,788,232,252,3696,2766,922,984,5,5,0,0,1365,1032,328,355,204,133,68,73,2618,2472,145,152,8082,6625,1452,1505,8422,6793,1623,1698,536,418,118,123,229,153,75,78,2699,2057,640,674,12296,10229,2062,2140,116,76,77,56,35,36,247,181,190,2,2,2,18,13,14,19,10,12,320,316,317
ARAPAHOE,DEER TRAIL 26J,185,130,55,61,24,13,11,11,5,1,4,4,94,58,36,41,0,0,0,0,20,17,3,3,0,0,0,0,3,3,0,0,86,59,27,31,99,71,28,30,2,2,0,0,1,1,0,0,18,10,8,9,162,117,45,50,4,3,3,0,0,0,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0
ARAPAHOE,ADAMS-ARAPAHOE 28J,45673,31436,13911,15360,4043,3019,1002,1135,17490,12679,4685,5271,29784,21866,7656,8781,25,2,23,23,16745,11682,4877,5498,2297,1150,1073,1297,2435,2110,317,347,22044,15145,6747,7431,23629,16291,7164,7929,2009,1386,617,660,8242,5233,2938,3260,23087,16700,6211,6975,10070,6736,3275,3523,269,75,75,1039,303,306,2004,901,931,15,5,6,212,76,79,148,55,55,209,158,161
ARAPAHOE,BYERS 32J,515,388,127,130,66,47,19,19,18,16,2,2,243,170,73,76,1,0,1,1,23,17,6,6,1,1,0,0,11,10,1,1,257,198,59,61,258,190,68,69,3,3,0,0,5,3,2,2,56,43,13,13,436,330,106,109,3,3,3,0,0,0,10,10,10,0,0,0,1,1,1,1,1,1,1,1,1
ARCHULETA,ARCHULETA COUNTY 50 JT,1641,1218,422,452,125,100,25,28,120,94,26,28,885,630,254,275,7,7,0,0,1073,830,243,257,14,3,11,12,99,83,16,17,786,596,190,204,855,622,232,248,15,11,4,4,21,14,7,7,405,311,94,100,1150,858,292,313,11,5,5,0,0,0,59,38,40,0,0,0,0,0,0,5,1,1,12,10,11
BACA,WALSH RE-1,150,118,32,34,11,6,5,5,17,10,7,9,69,50,19,20,0,0,0,0,23,18,5,6,0,0,0,0,11,11,0,0,72,50,22,23,78,68,10,11,0,0,0,0,0,0,0,0,28,15,13,15,120,101,19,19,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,1,1,1
BACA,PRITCHETT RE-3,74,43,31,31,4,2,2,2,0,0,0,0,45,23,22,22,0,0,0,0,74,43,31,31,0,0,0,0,8,7,1,1,33,20,13,13,41,23,18,18,0,0,0,0,0,0,0,0,11,5,6,6,62,37,25,25,0,0,0,0,0,0,4,3,4,0,0,0,6,5,6,0,0,0,2,2,2
BACA,SPRINGFIELD RE-4,292,218,74,79,28,21,7,7,3,1,2,2,183,136,47,49,0,0,0,0,292,218,74,79,0,0,0,0,9,8,1,1,143,110,33,37,149,108,41,42,0,0,0,0,2,2,0,0,45,26,19,20,235,182,53,57,1,1,1,1,1,1,15,13,14,0,0,0,22,20,21,0,0,0,1,1,1
BACA,VILAS RE-5,418,160,258,261,21,10,11,11,0,0,0,0,117,54,63,65,2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,211,72,139,141,207,88,119,120,1,0,1,1,12,8,4,4,106,30,76,77,284,120,164,166,7,3,3,1,1,1,53,10,18,1,0,0,9,2,3,0,0,0,1,1,1
BACA,CAMPO RE-6,54,38,16,16,6,6,0,0,0,0,0,0,38,30,8,8,0,0,0,0,14,12,2,2,0,0,0,0,1,1,0,0,33,22,11,11,21,16,5,5,0,0,0,0,0,0,0,0,7,4,3,3,47,34,13,13,1,1,1,0,0,0,3,3,3,0,0,0,1,1,1,0,0,0,1,1,1
BENT,LAS ANIMAS RE-1,569,429,140,147,66,45,21,23,3,3,0,0,458,355,103,109,1,1,0,0,431,339,92,98,0,0,0,0,20,18,2,2,291,218,73,79,278,211,67,68,7,3,4,4,12,10,2,2,237,189,48,51,309,223,86,90,10,5,5,0,0,0,25,18,18,0,0,0,15,11,11,0,0,0,3,3,3
BENT,MC CLAVE RE-2,296,246,50,51,17,15,2,2,31,25,6,6,181,143,38,39,9,5,4,4,145,125,20,21,0,0,0,0,19,19,0,0,144,120,24,24,152,126,26,27,0,0,0,0,1,1,0,0,96,80,16,16,196,164,32,33,1,1,1,2,2,2,14,13,13,1,1,1,2,2,2,0,0,0,3,3,3
BOULDER,ST VRAIN VALLEY RE 1J,29351,24282,5015,5364,2453,2096,354,382,5323,4566,750,830,10467,8650,1783,1993,60,50,10,12,333,304,29,34,936,490,431,508,2109,1975,134,138,14416,11946,2438,2614,14935,12336,2577,2750,1008,846,162,167,329,248,81,89,8436,6945,1475,1612,19003,15789,3183,3369,118,61,63,171,110,112,587,403,412,10,7,7,5,1,1,87,54,56,171,170,170
BOULDER,BOULDER VALLEY RE 2,31329,26465,4832,5099,2857,2469,388,414,3006,2461,541,577,6921,5387,1519,1651,2,0,2,2,2077,1728,344,371,800,511,286,324,4696,4348,348,374,15385,13032,2338,2473,15944,13433,2494,2626,1870,1533,334,352,281,185,96,100,5382,4393,982,1050,22114,18964,3129,3287,230,160,163,140,99,101,508,374,387,5,4,4,10,5,6,133,85,86,362,343,352
CHAFFEE,BUENA VISTA R-31,1077,803,273,295,93,79,14,17,3,2,1,1,451,333,118,125,0,0,0,0,68,56,12,12,1,0,1,1,22,20,2,2,536,398,137,146,541,405,136,149,7,6,1,1,9,7,2,2,102,73,29,30,922,693,228,246,8,6,7,0,0,0,34,26,27,0,0,0,4,3,3,1,0,0,6,6,6
CHAFFEE,SALIDA R-32,1201,904,295,314,98,76,22,23,35,24,11,11,496,397,98,111,0,0,0,0,870,624,245,260,8,4,4,5,62,59,3,4,576,448,127,134,625,456,168,180,12,10,2,2,0,0,0,0,174,126,48,54,973,737,234,246,9,6,6,5,5,5,25,19,19,0,0,0,69,61,62,2,1,1,11,11,11
CHEYENNE,KIT CARSON R-1,131,102,29,29,10,6,4,4,2,0,2,2,61,45,16,16,2,0,2,2,0,0,0,0,0,0,0,0,9,9,0,0,71,59,12,12,60,43,17,17,1,1,0,0,0,0,0,0,19,14,5,5,111,87,24,24,1,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,1,1,1
