county,school_dist,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed
EL PASO,FALCON 49,17388,12379,5031,5301,1590,1207,379,413,618,449,168,179,3593,2666,914,993,0,0,0,0,2759,1810,931,983,24,13,11,14,584,522,68,70,8375,5938,2461,2577,9013,6441,2570,2724,552,448,105,108,1272,834,441,469,3122,2143,986,1037,11226,8160,3081,3233,78,50,50,23,18,18,258,213,213,0,0,0,2,1,1,7,6,6,86,83,83
EL PASO,EDISON 54 JT,214,141,73,74,20,10,10,10,0,0,0,0,61,49,12,12,0,0,0,0,18,15,3,3,0,0,0,0,8,8,0,0,109,74,35,35,105,67,38,39,0,0,0,0,0,0,0,0,14,9,5,5,200,132,68,69,2,2,2,0,0,0,8,6,6,0,0,0,3,3,3,0,0,0,5,3,3
EL PASO,MIAMI/YODER 60 JT,357,193,164,169,32,18,14,15,7,4,3,3,203,115,88,89,0,0,0,0,239,134,105,108,0,0,0,0,5,4,1,1,175,95,80,81,182,98,84,88,0,0,0,0,3,0,3,3,51,28,23,23,279,151,128,133,2,1,1,0,0,0,10,9,9,0,0,0,1,1,1,0,0,0,0,0,0
FREMONT,CANON CITY RE-1,4271,3211,1037,1129,535,419,115,126,33,29,4,4,16,1,15,15,0,0,0,0,1803,1349,438,480,10,0,10,10,299,273,25,27,2114,1609,493,536,2157,1602,544,593,26,21,5,5,29,22,7,7,532,370,159,171,3536,2694,822,898,42,22,22,0,0,0,171,94,108,0,0,0,11,4,8,5,0,2,26,24,24
FREMONT,FREMONT RE-2,1866,1314,551,595,220,161,59,63,28,22,6,6,929,693,236,260,0,0,0,0,1302,920,382,406,0,0,0,0,59,56,3,4,915,647,268,287,951,667,283,308,8,7,1,1,8,8,0,0,257,190,67,70,1505,1057,447,488,9,7,7,1,1,1,60,47,51,0,0,0,28,24,26,1,1,1,9,8,9
FREMONT,COTOPAXI RE-3,235,167,68,69,27,15,12,12,0,0,0,0,130,84,46,47,0,0,0,0,235,167,68,69,0,0,0,0,11,10,1,1,109,82,27,27,126,85,41,42,1,1,0,0,0,0,0,0,19,12,7,7,206,149,57,58,2,1,1,0,0,0,10,8,9,0,0,0,14,11,12,0,0,0,2,2,2
GARFIELD,ROARING FORK RE-1,5742,4569,1160,1281,408,351,56,61,2288,1977,307,366,1930,1664,265,300,14,10,4,4,2469,1987,473,517,0,0,0,0,332,306,26,27,2765,2205,554,606,2977,2364,606,675,51,44,7,7,12,4,8,8,2922,2362,551,632,2617,2054,559,596,34,27,28,69,40,40,101,73,73,1,1,1,0,0,0,0,0,0,39,39,39
GARFIELD,GARFIELD RE-2,5185,3942,1235,1322,367,273,94,100,1033,824,207,226,2643,2061,578,636,28,20,8,8,1495,1046,445,474,129,89,39,44,295,260,35,38,2494,1919,571,613,2691,2023,664,709,25,13,12,12,22,10,12,12,2187,1721,463,504,2833,2114,715,760,21,16,16,44,28,32,149,90,111,0,0,0,7,0,2,6,5,6,18,16,18
GARFIELD,GARFIELD 16,1275,854,423,454,112,65,47,50,237,163,74,77,637,433,204,229,4,0,4,4,504,327,177,189,5,0,5,8,28,23,5,5,597,406,192,210,678,448,231,244,2,1,1,1,4,0,4,4,416,294,123,132,777,499,279,299,4,3,3,7,6,6,48,36,37,1,1,1,0,0,0,1,1,1,1,1,1
GILPIN,GILPIN COUNTY RE-1,416,288,128,135,47,31,16,19,2,2,0,0,124,73,51,54,0,0,0,0,22,14,8,9,2,1,1,1,32,27,5,5,200,144,56,60,216,144,72,75,7,6,1,1,5,1,4,6,48,30,18,19,337,242,95,98,5,2,2,1,1,1,8,5,5,0,0,0,0,0,0,1,1,1,2,2,2
GRAND,WEST GRAND 1-JT.,476,380,96,101,47,37,10,10,45,38,7,7,162,138,24,25,0,0,0,0,229,177,52,54,3,0,3,3,25,24,1,1,229,173,56,61,247,207,40,40,0,0,0,0,0,0,0,0,95,79,16,16,368,290,78,83,1,1,1,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,1,1,1
GRAND,EAST GRAND 2,1398,1080,315,335,139,109,30,31,139,104,35,38,382,308,73,85,0,0,0,0,123,104,19,19,2,2,0,0,94,78,16,16,678,531,145,154,720,549,170,181,7,5,2,2,11,5,5,7,149,105,43,49,1204,948,255,267,4,1,2,9,4,4,27,11,17,1,1,1,1,1,1,1,0,0,6,5,5
GUNNISON,GUNNISON WATERSHED RE1J,1936,1552,384,424,123,104,19,21,161,139,22,27,529,383,146,159,3,2,1,1,90,71,19,23,2,0,2,2,232,207,25,27,955,755,200,219,981,797,184,205,8,7,1,1,2,1,1,1,290,235,55,60,1580,1273,307,340,9,6,7,10,5,5,26,20,20,2,1,1,0,0,0,0,0,0,11,11,11
HINSDALE,HINSDALE COUNTY RE 1,93,69,24,24,7,6,1,1,1,1,0,0,23,12,11,11,0,0,0,0,27,25,2,2,0,0,0,0,4,4,0,0,42,31,11,11,51,38,13,13,2,1,1,1,1,0,1,1,7,3,4,4,81,65,16,16,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
HUERFANO,HUERFANO RE-1,614,438,176,190,72,57,15,20,2,2,0,0,473,329,144,157,4,3,1,1,451,331,120,129,0,0,0,0,8,6,2,3,301,212,89,95,313,226,87,95,4,2,2,2,7,1,6,6,394,311,83,89,184,108,76,84,5,4,5,0,0,0,33,25,28,0,0,0,4,3,3,0,0,0,5,5,5
HUERFANO,LA VETA RE-2,262,169,92,96,25,18,7,7,4,0,4,4,139,86,52,53,0,0,0,0,27,23,4,4,0,0,0,0,14,12,2,2,135,90,44,47,127,79,48,49,0,0,0,0,0,0,0,0,82,50,31,32,177,118,59,62,2,2,2,1,0,0,9,8,8,0,0,0,0,0,0,0,0,0,2,2,2
JACKSON,NORTH PARK R-1 ,205,151,54,60,26,19,7,9,23,19,4,4,117,81,36,41,0,0,0,0,103,67,36,41,2,0,2,2,7,6,1,1,105,78,27,30,100,73,27,30,0,0,0,0,0,0,0,0,43,36,7,8,156,114,42,47,2,1,1,1,1,1,8,6,6,0,0,0,13,12,12,0,0,0,2,2,2
JEFFERSON,JEFFERSON COUNTY R-1,90678,74398,16049,17618,7762,6429,1306,1496,6700,4710,1978,2157,29789,23622,6017,6950,67,54,13,13,10839,7752,3011,3420,2900,1730,1133,1305,10053,9466,578,649,44122,36303,7721,8426,46556,38095,8328,9192,2797,2324,472,515,1146,753,387,421,22211,16654,5472,6065,60676,51569,8980,9802,602,378,392,398,205,209,2090,1351,1423,12,3,3,295,157,165,247,144,151,933,891,900
KIOWA,EADS RE-1,192,139,53,53,21,14,7,7,4,3,1,1,77,52,25,25,2,0,2,2,20,14,6,6,0,0,0,0,11,9,2,2,87,57,30,30,105,82,23,23,2,0,2,2,4,1,3,3,23,17,6,6,158,117,41,41,0,0,0,0,0,0,9,8,9,0,0,0,0,0,0,0,0,0,3,3,3
KIOWA,PLAINVIEW RE-2,98,56,42,43,17,9,8,9,0,0,0,0,64,37,27,28,1,0,1,1,25,17,8,9,0,0,0,0,4,3,1,1,47,27,20,21,51,29,22,22,0,0,0,0,1,0,1,1,14,6,8,8,82,49,33,34,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
KIT CARSON,ARRIBA-FLAGLER C-20,164,129,35,37,17,13,4,4,0,0,0,0,81,54,27,29,0,0,0,0,16,12,4,4,9,0,9,9,2,2,0,0,71,56,15,17,93,73,20,20,1,0,1,1,1,1,0,0,8,3,5,7,151,123,28,28,1,1,1,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,1,1,1
KIT CARSON,HI-PLAINS R-23,125,93,32,32,11,6,5,5,6,5,1,1,73,55,18,18,0,0,0,0,12,7,5,5,0,0,0,0,7,7,0,0,62,47,15,15,63,46,17,17,0,0,0,0,3,3,0,0,18,14,4,4,102,74,28,28,2,1,1,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
KIT CARSON,STRATTON R-4,189,128,61,61,38,26,12,12,18,12,6,6,113,74,39,39,3,3,0,0,15,10,5,5,0,0,0,0,20,16,4,4,88,57,31,31,101,71,30,30,0,0,0,0,0,0,0,0,35,23,12,12,154,105,49,49,4,3,4,1,1,1,10,9,10,1,1,1,0,0,0,0,0,0,6,6,6
KIT CARSON,BETHUNE R-5,156,99,57,57,9,2,7,7,33,23,10,10,109,64,45,45,1,1,0,0,20,18,2,2,0,0,0,0,8,5,3,3,71,39,32,32,85,60,25,25,2,1,1,1,0,0,0,0,54,37,17,17,100,61,39,39,0,0,0,1,1,1,7,7,7,1,1,1,0,0,0,0,0,0,2,2,2
KIT CARSON,BURLINGTON RE-6J,845,643,202,208,83,61,22,24,198,162,36,40,471,343,128,132,39,34,5,5,171,139,32,32,23,6,17,17,25,23,2,2,418,317,101,103,427,326,101,105,3,2,1,1,9,9,0,0,314,247,67,71,506,378,128,130,8,4,4,15,11,11,31,24,24,7,4,4,1,1,1,5,3,3,2,2,2
LAKE,LAKE COUNTY R-1,1246,930,316,336,128,100,28,31,467,357,110,119,862,665,197,213,3,3,0,0,139,108,31,33,8,1,7,7,60,50,10,10,616,460,156,168,630,470,160,168,1,0,1,1,3,1,2,2,843,656,187,202,352,253,99,103,10,3,4,24,13,13,43,29,29,3,1,1,0,0,0,0,0,0,8,8,8
LA PLATA,DURANGO 9-R,5088,3806,1273,1348,429,331,99,107,161,112,49,55,1738,1253,479,522,0,0,0,0,1354,1105,244,270,54,23,27,31,407,344,63,64,2489,1896,590,631,2599,1910,683,717,55,40,15,15,35,19,16,16,883,622,256,282,3735,2869,864,900,34,22,23,5,2,2,116,67,80,0,0,0,0,0,0,3,0,2,49,47,48
LA PLATA,BAYFIELD 10 JT-R,1569,1161,412,438,127,93,38,43,26,19,7,9,512,334,178,189,2,2,0,0,54,43,11,11,10,4,6,6,114,106,8,9,771,573,200,212,798,588,212,226,5,4,1,1,3,1,2,2,221,141,80,88,1246,960,289,305,4,4,4,1,1,1,15,12,13,0,0,0,0,0,0,0,0,0,9,9,9
LA PLATA,IGNACIO 11 JT,877,615,261,288,98,80,18,21,43,28,15,15,429,367,62,67,0,0,0,0,481,347,133,149,2,1,1,1,60,53,7,7,410,286,124,140,467,329,137,148,3,1,2,2,5,5,0,0,274,201,73,80,300,222,77,85,8,3,3,2,2,2,31,22,22,0,0,0,1,1,1,1,0,0,6,6,6
LARIMER,POUDRE R-1,29031,24159,4808,5476,2253,1859,391,479,2280,1818,464,581,8132,7000,1094,1450,44,33,11,11,2010,1571,428,494,721,497,217,268,2627,2479,146,169,14257,11876,2348,2675,14774,12283,2460,2801,979,762,217,254,406,297,107,128,4995,3984,996,1199,21515,18202,3269,3637,190,110,114,121,88,88,617,448,469,4,3,3,5,1,1,113,77,81,274,268,270
BOULDER,THOMPSON R2-J,16906,13276,3565,3885,1756,1456,295,326,620,476,144,162,5735,4436,1262,1429,14,3,11,11,2439,1831,588,679,355,162,189,212,1651,1541,109,122,8189,6457,1704,1845,8717,6819,1861,2040,250,196,54,57,168,113,55,60,3104,2335,757,829,12918,10278,2587,2812,118,61,64,23,10,10,407,249,276,2,1,1,4,2,2,33,15,18,128,121,124
LARIMER,PARK (ESTES PARK) R-3,1272,972,295,308,98,78,20,20,177,141,36,37,449,332,114,121,1,1,0,0,121,90,31,31,11,4,7,7,137,124,13,14,585,457,127,131,687,515,168,177,19,15,4,4,13,13,0,0,270,203,67,69,931,721,205,216,8,4,4,6,3,3,26,18,18,1,0,0,1,0,0,5,3,3,21,21,21
LAS ANIMAS,TRINIDAD 1,1594,1163,430,463,189,150,39,43,69,53,16,16,1081,788,292,315,0,0,0,0,793,576,217,235,12,0,12,13,19,18,1,1,809,595,213,225,785,568,217,238,23,19,4,4,17,9,8,8,1039,788,250,274,479,325,154,163,12,9,10,1,1,1,79,66,70,0,0,0,2,1,1,0,0,0,3,3,3
LAS ANIMAS,PRIMERO REORGANIZED 2,239,115,124,124,20,8,12,12,4,3,1,1,92,43,49,49,2,1,1,1,36,18,18,18,0,0,0,0,5,4,1,1,111,57,54,54,128,58,70,70,1,1,0,0,3,0,3,3,92,50,42,42,141,64,77,77,0,0,0,1,1,1,5,3,3,0,0,0,0,0,0,0,0,0,2,2,2
LAS ANIMAS,HOEHNE REORGANIZED 3,376,270,106,106,36,26,10,10,5,4,1,1,139,87,52,52,4,4,0,0,29,24,5,5,1,1,0,0,6,5,1,1,181,127,54,54,195,143,52,52,2,2,0,0,0,0,0,0,160,114,46,46,207,151,56,56,1,1,1,0,0,0,8,8,8,0,0,0,0,0,0,1,1,1,1,1,1
LAS ANIMAS,AGUILAR REORGANIZED 6,123,56,66,69,16,12,4,4,5,4,1,1,85,45,40,41,0,0,0,0,123,56,66,69,0,0,0,0,1,1,0,0,55,27,28,28,68,29,38,41,0,0,0,0,0,0,0,0,64,31,32,34,58,25,33,34,3,0,0,0,0,0,12,6,6,0,0,0,13,7,7,1,0,0,0,0,0
LAS ANIMAS,BRANSON REORGANIZED 82,600,220,380,385,21,9,12,12,3,0,3,3,91,58,33,33,0,0,0,0,0,0,0,0,0,0,0,0,36,28,8,9,339,122,217,220,261,98,163,165,4,1,3,3,28,7,21,21,147,46,101,101,388,151,237,240,2,0,0,0,0,0,19,7,8,0,0,0,2,1,2,1,0,0,1,1,1
LAS ANIMAS,KIM REORGANIZED 88,61,47,14,14,1,1,0,0,0,0,0,0,37,28,9,9,2,0,2,2,7,7,0,0,0,0,0,0,2,1,1,1,29,23,6,6,32,24,8,8,0,0,0,0,0,0,0,0,11,5,6,6,50,42,8,8,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,1,1,1
LINCOLN,GENOA-HUGO C113,190,134,56,58,25,17,8,8,0,0,0,0,107,72,35,37,0,0,0,0,25,21,4,4,0,0,0,0,0,0,0,0,89,65,24,25,101,69,32,33,0,0,0,0,4,2,2,3,8,3,5,5,178,129,49,50,2,0,0,0,0,0,10,4,4,0,0,0,1,0,0,0,0,0,0,0,0
LINCOLN,LIMON RE-4J,542,369,173,177,61,49,12,12,22,12,10,10,251,172,79,81,0,0,0,0,206,131,75,76,15,1,14,14,32,29,3,3,268,184,84,84,274,185,89,93,5,3,2,2,14,10,4,4,51,34,17,17,455,309,146,150,8,6,6,1,1,1,22,18,18,0,0,0,3,2,2,1,1,1,1,1,1
LINCOLN,KARVAL RE-23,265,93,172,176,27,9,18,18,0,0,0,0,71,31,40,41,0,0,0,0,3,3,0,0,2,0,2,2,2,2,0,0,127,48,79,81,138,45,93,95,5,3,2,2,6,2,4,4,22,5,17,17,229,82,147,151,2,1,1,1,0,0,20,11,13,0,0,0,3,1,2,3,2,2,1,1,1
LOGAN,VALLEY RE-1,2501,1916,583,630,301,239,61,70,165,131,34,35,1233,936,295,323,9,5,4,4,1150,883,267,286,20,7,13,16,176,162,14,15,1195,911,283,309,1306,1005,300,321,17,10,7,7,20,10,10,11,638,490,147,160,1732,1341,390,421,22,12,14,3,2,2,87,56,61,3,2,2,2,1,1,4,2,3,27,25,25
LOGAN,FRENCHMAN RE-3,196,153,43,44,21,14,7,7,1,1,0,0,95,68,27,27,0,0,0,0,29,19,10,10,0,0,0,0,6,6,0,0,102,79,23,24,94,74,20,20,2,1,1,1,1,0,1,1,24,19,5,5,167,131,36,37,2,2,2,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3
LOGAN,BUFFALO RE-4J,339,279,60,60,33,23,10,10,6,2,4,4,119,88,31,31,0,0,0,0,51,38,13,13,0,0,0,0,8,8,0,0,162,136,26,26,177,143,34,34,4,2,2,2,10,10,0,0,30,22,8,8,288,238,50,50,2,2,2,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
LOGAN,PLATEAU RE-5,192,151,41,42,17,15,2,2,1,1,0,0,77,64,13,14,0,0,0,0,14,13,1,1,0,0,0,0,9,9,0,0,77,58,19,19,115,93,22,23,0,0,0,0,0,0,0,0,6,2,4,4,183,146,37,38,0,0,0,0,0,0,4,4,4,0,0,0,2,2,2,0,0,0,1,1,1
MESA,DE BEQUE 49JT,149,73,76,81,12,4,8,8,2,2,0,0,72,32,40,44,0,0,0,0,40,27,13,14,0,0,0,0,3,3,0,0,59,29,30,32,90,44,46,49,0,0,0,0,0,0,0,0,17,6,11,11,126,65,61,66,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,2,2,2
MESA,PLATEAU VALLEY 50,653,359,294,299,64,28,36,36,17,8,9,9,160,99,61,62,0,0,0,0,72,59,13,13,0,0,0,0,2,1,1,1,276,159,117,119,377,200,177,180,4,3,1,1,35,13,22,23,137,60,77,77,459,276,183,186,23,5,5,5,0,0,67,17,29,0,0,0,18,7,9,3,0,0,2,1,2
MESA,MESA COUNTY VALLEY 51,23983,18809,5029,5806,2376,1969,390,473,1566,1238,322,387,494,280,207,259,110,72,37,46,4575,3536,980,1180,388,209,173,216,1267,1177,87,102,11660,9151,2435,2800,12323,9658,2594,3006,187,142,45,48,172,126,43,49,5205,4136,1033,1250,17270,13579,3590,4090,192,111,114,100,64,66,538,365,379,16,10,10,9,4,5,65,34,38,133,129,129
MINERAL,CREEDE SCHOOL DISTRICT,104,64,40,40,3,2,1,1,0,0,0,0,48,32,16,16,0,0,0,0,104,64,40,40,0,0,0,0,4,3,1,1,48,30,18,18,56,34,22,22,1,0,1,1,0,0,0,0,18,9,9,9,81,54,27,27,0,0,0,0,0,0,2,1,1,0,0,0,9,8,8,0,0,0,0,0,0
MOFFAT,MOFFAT COUNTY RE:NO 1,2448,1875,573,638,213,164,50,56,254,194,59,75,1113,864,249,300,0,0,0,0,126,111,15,19,32,7,24,31,94,81,13,15,1163,889,275,312,1285,986,298,326,8,6,3,4,10,8,2,2,507,384,122,141,1850,1421,429,472,10,8,8,4,3,3,68,44,46,0,0,0,0,0,0,8,2,2,2,2,2
MONTEZUMA,MONTEZUMA-CORTEZ RE-1,3250,2246,986,1119,316,245,69,80,276,183,92,102,1950,1382,556,653,7,7,0,0,1515,1108,389,449,0,0,0,0,165,144,21,22,1574,1084,481,538,1676,1162,505,581,15,11,4,4,15,14,1,2,577,416,157,175,1677,1176,488,543,27,11,11,41,14,14,132,55,59,0,0,0,0,0,0,1,0,0,13,12,12
MONTEZUMA,DOLORES RE-4A,780,552,228,230,65,43,22,22,9,8,1,1,337,232,105,107,0,0,0,0,415,287,128,128,0,0,0,0,36,31,5,5,374,265,109,110,406,287,119,120,5,3,2,2,6,4,2,2,63,45,18,18,666,477,189,191,1,0,0,2,1,2,21,17,18,0,0,0,0,0,0,0,0,0,4,4,4
MONTEZUMA,MANCOS RE-6,449,304,146,151,26,22,5,6,33,20,13,13,287,188,100,104,2,2,0,0,29,18,11,11,11,3,8,8,35,27,8,8,211,132,79,83,238,172,67,68,0,0,0,0,3,0,3,3,75,41,34,35,334,241,94,98,2,2,2,1,1,1,13,12,13,0,0,0,0,0,0,2,2,2,3,3,3
MONTROSE,MONTROSE COUNTY RE-1J,6747,5229,1484,1693,567,451,113,128,1080,879,196,234,3766,2954,789,958,92,54,34,43,3080,2362,703,811,254,103,145,183,471,431,40,41,3267,2562,688,782,3480,2667,796,911,31,23,8,8,31,22,9,9,2414,1919,483,560,4042,3105,916,1037,31,13,13,54,33,33,266,187,190,9,1,2,6,1,1,19,11,11,49,47,49
MONTROSE,WEST END RE-2,351,254,97,103,43,32,11,13,10,3,7,7,179,125,54,59,0,0,0,0,47,32,15,16,1,1,0,0,3,3,0,0,185,134,51,56,166,120,46,47,1,1,0,0,5,4,1,1,34,12,22,22,302,231,71,77,1,1,1,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,1,1,1
MORGAN,BRUSH RE-2(J),1603,1244,359,396,140,101,39,40,272,236,36,46,893,688,205,236,31,16,15,18,107,92,15,20,35,5,30,38,142,132,10,11,806,623,183,203,797,621,176,193,4,4,0,0,17,11,6,6,789,623,166,188,755,577,178,193,10,6,7,10,8,8,61,44,50,4,3,3,2,2,2,6,2,4,7,7,7
MORGAN,FORT MORGAN RE-3,3403,2629,770,843,326,255,70,83,1181,931,249,269,2316,1809,504,568,192,98,93,100,1285,987,296,327,123,37,86,95,172,161,11,11,1654,1282,369,408,1749,1347,401,435,15,9,6,6,139,67,72,75,2017,1599,417,463,1177,914,260,283,16,7,8,74,34,40,159,99,116,22,8,9,9,4,6,13,3,3,19,19,19
MORGAN,WELDON VALLEY RE-20(J),225,166,59,59,19,14,5,5,2,2,0,0,4,1,3,3,0,0,0,0,34,30,4,4,0,0,0,0,18,15,3,3,119,88,31,31,106,78,28,28,1,0,1,1,0,0,0,0,33,21,12,12,191,145,46,46,1,1,1,0,0,0,6,6,6,0,0,0,2,2,2,0,0,0,1,1,1
MORGAN,WIGGINS RE-50(J),561,412,149,152,37,23,14,15,116,93,23,24,266,219,47,49,19,11,8,8,559,412,147,150,21,8,13,14,30,28,2,2,266,201,65,66,295,211,84,86,3,3,0,0,3,2,1,1,161,100,61,62,368,292,76,78,1,1,1,5,1,1,28,19,19,3,1,1,43,34,34,6,4,4,3,3,3
OTERO,EAST OTERO R-1,1494,1056,438,471,174,118,56,59,37,28,9,9,1030,755,275,298,6,5,1,1,866,619,247,264,2,0,2,2,13,12,1,1,729,518,211,226,765,538,227,245,6,5,1,1,6,5,1,1,945,684,261,281,498,340,158,171,13,7,7,3,2,2,78,65,69,0,0,0,22,11,14,0,0,0,2,2,2
OTERO,ROCKY FORD R-2,965,700,265,279,97,68,29,31,93,64,29,31,752,548,204,217,24,12,12,14,657,492,165,175,1,0,1,1,24,22,2,3,438,310,128,133,527,390,137,146,7,5,2,2,11,6,5,5,669,500,169,181,274,185,89,91,5,3,3,2,1,2,41,28,34,1,1,1,3,2,3,2,0,1,2,2,2
OTERO,MANZANOLA 3J,201,120,81,85,14,12,2,2,59,23,36,36,162,99,63,66,45,17,28,28,100,60,40,41,0,0,0,0,3,3,0,0,94,56,38,39,107,64,43,46,0,0,0,0,1,1,0,0,138,79,59,62,62,40,22,23,1,1,1,3,3,3,11,10,10,0,0,0,0,0,0,0,0,0,1,1,1
OTERO,FOWLER R-4J,463,345,118,124,32,27,5,5,9,5,4,4,269,185,84,90,4,0,4,4,52,36,16,16,0,0,0,0,22,22,0,0,244,190,54,56,219,155,64,68,0,0,0,0,0,0,0,0,94,68,26,28,358,273,85,87,2,2,2,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,2,2,2
OTERO,CHERAW 31,224,178,46,48,26,16,10,10,0,0,0,0,130,99,31,33,3,3,0,0,69,54,15,15,1,1,0,0,13,11,2,2,114,97,17,18,110,81,29,30,0,0,0,0,3,0,3,3,46,33,13,14,172,143,29,30,1,0,0,0,0,0,10,8,8,0,0,0,2,1,1,1,1,1,5,5,5
OTERO,SWINK 33,417,315,102,103,21,17,4,4,8,7,1,1,190,134,56,57,1,0,1,1,36,30,6,6,2,0,2,2,0,0,0,0,205,150,55,56,212,165,47,47,27,21,6,6,6,3,3,3,105,75,30,30,269,208,61,62,2,2,2,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0
OURAY,OURAY R-1,219,146,73,75,25,17,8,8,9,6,3,3,70,47,23,23,0,0,0,0,20,11,9,9,0,0,0,0,29,25,4,4,117,76,41,42,102,70,32,33,4,3,1,1,1,1,0,0,30,17,13,14,182,123,59,60,5,4,4,3,1,1,11,8,8,0,0,0,1,0,0,0,0,0,0,0,0
OURAY,RIDGWAY R-2,386,273,113,117,18,12,6,7,18,3,15,15,139,93,46,48,3,2,1,1,24,13,11,12,1,0,1,1,29,28,1,1,191,128,63,65,195,145,50,52,4,3,1,1,1,1,0,0,38,16,22,24,324,238,86,88,3,1,2,0,0,0,6,4,5,0,0,0,0,0,0,0,0,0,2,2,2
PARK,PLATTE CANYON 1,1247,857,390,404,133,96,37,39,0,0,0,0,467,301,166,171,0,0,0,0,125,79,46,47,5,0,5,5,116,100,16,17,588,405,183,191,659,452,207,213,15,11,4,4,9,5,4,5,104,72,32,33,1060,736,324,334,12,8,8,0,0,0,30,20,21,0,0,0,1,0,0,1,0,0,9,7,7
PARK,PARK COUNTY RE-2,624,403,220,226,66,48,18,20,5,2,3,3,315,162,153,157,0,0,0,0,97,82,15,16,0,0,0,0,44,40,4,4,304,188,116,119,320,215,104,107,2,0,2,2,9,2,7,7,75,43,32,35,525,347,177,180,3,1,1,1,0,0,13,7,8,0,0,0,0,0,0,0,0,0,2,2,2
PHILLIPS,HOLYOKE RE-1J,641,505,136,144,69,54,15,17,137,110,27,30,330,245,85,92,11,5,6,6,29,23,6,6,0,0,0,0,36,35,1,1,302,234,68,72,339,271,68,72,1,0,1,1,3,1,2,2,260,202,58,62,371,296,75,79,3,2,2,6,3,3,23,17,17,2,1,1,3,3,3,0,0,0,3,3,3
PHILLIPS,HAXTUN RE-2J,319,258,61,63,30,23,7,7,0,0,0,0,125,95,30,30,0,0,0,0,18,15,3,3,0,0,0,0,17,17,0,0,158,125,33,35,161,133,28,28,2,2,0,0,1,0,1,1,27,22,5,5,284,229,55,57,3,2,3,0,0,0,8,7,8,0,0,0,0,0,0,0,0,0,3,3,3
PITKIN,ASPEN 1,1819,1529,290,312,120,109,11,12,202,157,45,49,117,92,25,26,0,0,0,0,0,0,0,0,0,0,0,0,98,91,7,7,876,742,134,147,943,787,156,165,34,27,7,7,13,12,1,1,203,163,40,42,1554,1321,233,253,8,6,8,10,6,6,16,13,14,0,0,0,0,0,0,0,0,0,4,4,4
PROWERS,GRANADA RE-1,271,178,93,93,14,9,5,5,25,16,9,9,179,111,68,68,18,1,17,17,61,42,19,19,2,2,0,0,14,12,2,2,114,74,40,40,157,104,53,53,0,0,0,0,0,0,0,0,197,124,73,73,74,54,20,20,1,1,1,2,2,2,9,9,9,0,0,0,0,0,0,1,1,1,3,3,3
PROWERS,LAMAR RE-2,1782,1368,414,441,154,111,43,46,114,91,23,26,1242,920,322,347,48,39,9,10,894,708,186,196,25,10,15,15,127,112,15,16,846,642,204,215,936,726,210,226,7,6,1,1,10,8,2,2,927,741,186,199,790,577,213,227,7,6,6,4,2,2,82,47,51,6,3,3,66,37,39,0,0,0,11,11,11
PROWERS,HOLLY RE-3,291,240,51,55,29,27,2,2,71,57,14,15,205,164,41,44,21,20,1,1,168,133,35,39,0,0,0,0,32,28,4,4,126,95,31,33,165,145,20,22,1,0,1,1,0,0,0,0,141,119,22,23,143,115,28,31,2,2,2,3,3,3,13,13,13,1,1,1,2,2,2,0,0,0,4,4,4
