county,school_dist,total_pupil_count_all_students,total_stable_pupil_count_all_students,total_stability_rate_all_students,total_mobile_student_count_all_students,total_student_mobility_rate_all_students,total_instances_of_mobility_all_students,total_mobility_incidence_rate_all_students,students_with_disabilities_pupil_count,students_with_disabilities_stable_student_count,students_with_disabilities_stability_rate,students_with_disabilities_mobile_student_count,students_with_disabilities_student_mobility_rate,students_with_disabilities_instances_of_mobility,students_with_disabilities_mobility_incidence_rate,english_language_learners_pupil_count,english_language_learners_stable_student_count,english_language_learners_stability_rate,english_language_learners_mobile_student_count,english_language_learners_student_mobility_rate,english_language_learners_instances_of_mobility,english_language_learners_mobility_incidence_rate,economically_disadvantaged_pupil_count,economically_disadvantaged_stable_student_count,economically_disadvantaged_stability_rate,economically_disadvantaged_mobile_student_count,economically_disadvantaged_student_mobility_rate,economically_disadvantaged_instances_of_mobility,economically_disadvantaged_mobility_incidence_rate,migrant_pupil_count,migrant_stable_student_count,migrant_stability_rate,migrant_mobile_student_count,migrant_student_mobility_rate,migrant_instances_of_mobility,migrant_mobility_incidence_rate,title_1_pupil_count,title_1_stable_student_count,title_1_pupil_stability_rate,title_1_mobile_student_count,title_1_student_mobility_rate,title_1_instances_of_mobility,title_1_mobility_incidence_rate,homeless_pupil_count,homeless_stable_student_count,homeless_stability_rate,homeless_mobile_student_count,homeless_student_mobility_rate,homeless_instances_of_mobility,homeless_mobility_incidence_rate,gifted_talented_pupil_count,gifted_talented_stable_student_count,gifted_talented_stability_rate,gifted_talented_mobile_student_count,gifted_talented_student_mobility_rate,gifted_talented_instances_of_mobility,gifted_talented_mobility_incidence_rate,total_female_pupil_count,total_female_stable_student_count,total_female_stability_rate,total_female_mobile_student_count,total_female_student_mobility_rate,total_female_instances_of_mobility,total_female_mobility_incidence_rate,total_male_pupil_count,total_male_stable_student_count,total_male_stability_rate,total_male_mobile_student_count,total_male_student_mobility_rate,total_male_instances_of_mobility,total_male_mobility_incidence_rate,total_american_indian_or_alaska_native_pupil_count,total_american_indian_or_alaska_native_stable_student_count,total_american_indian_or_alaska_native_stability_rate,total_american_indian_or_alaska_native_mobile_student_count,total_american_indian_or_alaska_native_student_mobility_rate,total_american_indian_or_alaska_native_instances_of_mobility,total_american_indian_or_alaska_native_mobility_incidence_rate,total_asian_pupil_count,total_asian_stable_student_count,total_asian_stability_rate,total_asian_mobile_student_count,total_asian_student_mobility_rate,total_asian_instances_of_mobility,total_asian_mobility_incidence_rate,total_black_or_african_american_pupil_count,total_black_or_african_american_stable_student_count,total_black_or_african_american_stability_rate,total_black_or_african_american_mobile_student_count,total_black_or_african_american_student_mobility_rate,total_black_or_african_american_instances_of_mobility,total_black_or_african_american_mobility_incidence_rate,total_hispanic_or_latino_pupil_count,total_hispanic_or_latino_stable_student_count,total_hispanic_or_latino_stability_rate,total_hispanic_or_latino_mobile_student_count,total_hispanic_or_latino_student_mobility_rate,total_hispanic_or_latino_instances_of_mobility,total_hispanic_or_latino_mobility_incidence_rate,total_white_pupil_count,total_white_stable_student_count,total_white_stability_rate,total_white_mobile_student_count,total_white_student_mobility_rate,total_white_instances_of_mobility,total_white_mobility_incidence_rate,total_native_hawaiian_or_other_pacific_islander_pupil_count,total_native_hawaiian_or_other_pacific_islander_stable_student_count,total_native_hawaiian_or_other_pacific_islander_stability_rate,total_native_hawaiian_or_other_pacific_islander_mobile_student_count,total_native_hawaiian_or_other_pacific_islander_student_mobility_rate,total_native_hawaiian_or_other_pacific_islander_instances_of_mobility,total_native_hawaiian_or_other_pacific_islander_mobility_incidence_rate,total_two_or_more_races_pupil_count,total_two_or_more_races_stable_student_count,total_two_or_more_races_stability_rate,total_two_or_more_races_mobile_student_count,total_two_or_more_races_student_mobility_rate,total_two_or_more_races_instances_of_mobility,total_two_or_more_races_mobility_incidence_rate,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
ARAPAHOE,ENGLEWOOD 1,3496,2117,60.6,1364,39.0,1512,43.2,398,260,65.3,138,34.7,152,38.2,365,261,71.5,104,28.5,115,31.5,2056,1271,61.8,777,37.8,865,42.1,1,0,0.0,1,100.0,1,100.0,1577,1021,64.7,553,35.1,592,37.5,257,111,43.2,145,56.4,165,64.2,302,251,83.1,51,16.9,51,16.9,1673,1016,60.7,649,38.8,714,42.7,1823,1101,60.4,715,39.2,798,43.8,43,26,60.5,17,39.5,21,48.8,37,25,67.6,12,32.4,13,35.1,148,61,41.2,86,58.1,93,62.8,1282,755,58.9,522,40.7,576,44.9,1889,1202,63.6,678,35.9,755,40.0,11,6,54.5,5,45.5,5,45.5,86,42,48.8,44,51.2,49,57.0,52,21,40.4,21,40.4,8,4,50.0,4,50.0,191,76,39.8,85,44.5,0,0,0.0,0,0.0,50,13,26.0,15,30.0,30,9,30.0,12,40.0,22,11,50.0,12,54.5
ARAPAHOE,SHERIDAN 2,1848,1169,63.3,680,36.8,702,38.0,185,129,69.7,56,30.3,58,31.4,827,610,73.8,218,26.4,226,27.3,1448,1000,69.1,449,31.0,465,32.1,44,31,70.5,13,29.5,13,29.5,1226,783,63.9,444,36.2,459,37.4,117,64,54.7,53,45.3,57,48.7,54,44,81.5,10,18.5,10,18.5,902,563,62.4,339,37.6,349,38.7,946,606,64.1,341,36.0,353,37.3,21,14,66.7,7,33.3,7,33.3,40,31,77.5,9,22.5,9,22.5,86,40,46.5,46,53.5,49,57.0,1338,869,64.9,470,35.1,484,36.2,332,200,60.2,132,39.8,137,41.3,2,1,50.0,1,50.0,1,50.0,29,14,48.3,15,51.7,15,51.7,18,6,33.3,6,33.3,51,11,21.6,11,21.6,131,41,31.3,43,32.8,2,0,0.0,0,0.0,140,46,32.9,48,34.3,29,9,31.0,10,34.5,14,6,42.9,7,50.0
ARAPAHOE,CHERRY CREEK 5,56418,45451,80.6,10922,19.4,11301,20.0,5707,4845,84.9,860,15.1,901,15.8,5643,4657,82.5,979,17.3,1050,18.6,14337,11293,78.8,3023,21.1,3187,22.2,8,8,100.0,0,0.0,0,0.0,6058,4205,69.4,1831,30.2,1924,31.8,57,34,59.6,23,40.4,26,45.6,4231,4121,97.4,106,2.5,120,2.8,27427,22268,81.2,5132,18.7,5300,19.3,28991,23183,80.0,5790,20.0,6001,20.7,302,235,77.8,67,22.2,72,23.8,4486,3725,83.0,759,16.9,800,17.8,7179,5230,72.9,1942,27.1,2011,28.0,10364,7829,75.5,2525,24.4,2610,25.2,31361,26252,83.7,5090,16.2,5249,16.7,149,114,76.5,35,23.5,35,23.5,2577,2066,80.2,504,19.6,524,20.3,412,264,64.1,270,65.5,219,176,80.4,177,80.8,1100,894,81.3,915,83.2,1,1,100.0,1,100.0,67,53,79.1,56,83.6,16,12,75.0,12,75.0,343,328,95.6,330,96.2
ARAPAHOE,LITTLETON 6,16504,13418,81.3,3075,18.6,3203,19.4,1419,1148,80.9,268,18.9,292,20.6,1022,788,77.1,232,22.7,252,24.7,3696,2766,74.8,922,24.9,984,26.6,5,5,100.0,0,0.0,0,0.0,1365,1032,75.6,328,24.0,355,26.0,204,133,65.2,68,33.3,73,35.8,2618,2472,94.4,145,5.5,152,5.8,8082,6625,82.0,1452,18.0,1505,18.6,8422,6793,80.7,1623,19.3,1698,20.2,101,72,71.3,28,27.7,30,29.7,536,418,78.0,118,22.0,123,22.9,229,153,66.8,75,32.8,78,34.1,2699,2057,76.2,640,23.7,674,25.0,12296,10229,83.2,2062,16.8,2140,17.4,19,13,68.4,6,31.6,6,31.6,624,476,76.3,146,23.4,152,24.4,116,76,65.5,77,66.4,56,35,62.5,36,64.3,247,181,73.3,190,76.9,2,2,100.0,2,100.0,18,13,72.2,14,77.8,19,10,52.6,12,63.2,320,316,98.8,317,99.1
ARAPAHOE,DEER TRAIL 26J,185,130,70.3,55,29.7,61,33.0,24,13,54.2,11,45.8,11,45.8,5,1,20.0,4,80.0,4,80.0,94,58,61.7,36,38.3,41,43.6,0,0,0.0,0,0.0,0,0.0,20,17,85.0,3,15.0,3,15.0,0,0,0.0,0,0.0,0,0.0,3,3,100.0,0,0.0,0,0.0,86,59,68.6,27,31.4,31,36.0,99,71,71.7,28,28.3,30,30.3,1,0,0.0,1,100.0,1,100.0,2,2,100.0,0,0.0,0,0.0,1,1,100.0,0,0.0,0,0.0,18,10,55.6,8,44.4,9,50.0,162,117,72.2,45,27.8,50,30.9,0,0,0.0,0,0.0,0,0.0,1,0,0.0,1,100.0,1,100.0,4,3,75.0,3,75.0,0,0,0.0,0,0.0,11,10,90.9,10,90.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
ARAPAHOE,ADAMS-ARAPAHOE 28J,45673,31436,68.8,13911,30.5,15360,33.6,4043,3019,74.7,1002,24.8,1135,28.1,17490,12679,72.5,4685,26.8,5271,30.1,29784,21866,73.4,7656,25.7,8781,29.5,25,2,8.0,23,92.0,23,92.0,16745,11682,69.8,4877,29.1,5498,32.8,2297,1150,50.1,1073,46.7,1297,56.5,2435,2110,86.7,317,13.0,347,14.3,22044,15145,68.7,6747,30.6,7431,33.7,23629,16291,68.9,7164,30.3,7929,33.6,343,221,64.4,120,35.0,132,38.5,2009,1386,69.0,617,30.7,660,32.9,8242,5233,63.5,2938,35.6,3260,39.6,23087,16700,72.3,6211,26.9,6975,30.2,10070,6736,66.9,3275,32.5,3523,35.0,215,137,63.7,78,36.3,81,37.7,1707,1023,59.9,672,39.4,729,42.7,269,75,27.9,75,27.9,1039,303,29.2,306,29.5,2004,901,45.0,931,46.5,15,5,33.3,6,40.0,212,76,35.8,79,37.3,148,55,37.2,55,37.2,209,158,75.6,161,77.0
ARAPAHOE,BYERS 32J,515,388,75.3,127,24.7,130,25.2,66,47,71.2,19,28.8,19,28.8,18,16,88.9,2,11.1,2,11.1,243,170,70.0,73,30.0,76,31.3,1,0,0.0,1,100.0,1,100.0,23,17,73.9,6,26.1,6,26.1,1,1,100.0,0,0.0,0,0.0,11,10,90.9,1,9.1,1,9.1,257,198,77.0,59,23.0,61,23.7,258,190,73.6,68,26.4,69,26.7,0,0,0.0,0,0.0,0,0.0,3,3,100.0,0,0.0,0,0.0,5,3,60.0,2,40.0,2,40.0,56,43,76.8,13,23.2,13,23.2,436,330,75.7,106,24.3,109,25.0,2,1,50.0,1,50.0,1,50.0,13,8,61.5,5,38.5,5,38.5,3,3,100.0,3,100.0,0,0,0.0,0,0.0,10,10,100.0,10,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0
ARCHULETA,ARCHULETA COUNTY 50 JT,1641,1218,74.2,422,25.7,452,27.5,125,100,80.0,25,20.0,28,22.4,120,94,78.3,26,21.7,28,23.3,885,630,71.2,254,28.7,275,31.1,7,7,100.0,0,0.0,0,0.0,1073,830,77.4,243,22.6,257,24.0,14,3,21.4,11,78.6,12,85.7,99,83,83.8,16,16.2,17,17.2,786,596,75.8,190,24.2,204,26.0,855,622,72.7,232,27.1,248,29.0,35,15,42.9,19,54.3,22,62.9,15,11,73.3,4,26.7,4,26.7,21,14,66.7,7,33.3,7,33.3,405,311,76.8,94,23.2,100,24.7,1150,858,74.6,292,25.4,313,27.2,1,0,0.0,1,100.0,1,100.0,14,9,64.3,5,35.7,5,35.7,11,5,45.5,5,45.5,0,0,0.0,0,0.0,59,38,64.4,40,67.8,0,0,0.0,0,0.0,0,0,0.0,0,0.0,5,1,20.0,1,20.0,12,10,83.3,11,91.7
BACA,WALSH RE-1,150,118,78.7,32,21.3,34,22.7,11,6,54.5,5,45.5,5,45.5,17,10,58.8,7,41.2,9,52.9,69,50,72.5,19,27.5,20,29.0,0,0,0.0,0,0.0,0,0.0,23,18,78.3,5,21.7,6,26.1,0,0,0.0,0,0.0,0,0.0,11,11,100.0,0,0.0,0,0.0,72,50,69.4,22,30.6,23,31.9,78,68,87.2,10,12.8,11,14.1,1,1,100.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,28,15,53.6,13,46.4,15,53.6,120,101,84.2,19,15.8,19,15.8,0,0,0.0,0,0.0,0,0.0,1,1,100.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,7,7,100.0,7,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
BACA,PRITCHETT RE-3,74,43,58.1,31,41.9,31,41.9,4,2,50.0,2,50.0,2,50.0,0,0,0.0,0,0.0,0,0.0,45,23,51.1,22,48.9,22,48.9,0,0,0.0,0,0.0,0,0.0,74,43,58.1,31,41.9,31,41.9,0,0,0.0,0,0.0,0,0.0,8,7,87.5,1,12.5,1,12.5,33,20,60.6,13,39.4,13,39.4,41,23,56.1,18,43.9,18,43.9,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,11,5,45.5,6,54.5,6,54.5,62,37,59.7,25,40.3,25,40.3,0,0,0.0,0,0.0,0,0.0,1,1,100.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4,3,75.0,4,100.0,0,0,0.0,0,0.0,6,5,83.3,6,100.0,0,0,0.0,0,0.0,2,2,100.0,2,100.0
BACA,SPRINGFIELD RE-4,292,218,74.7,74,25.3,79,27.1,28,21,75.0,7,25.0,7,25.0,3,1,33.3,2,66.7,2,66.7,183,136,74.3,47,25.7,49,26.8,0,0,0.0,0,0.0,0,0.0,292,218,74.7,74,25.3,79,27.1,0,0,0.0,0,0.0,0,0.0,9,8,88.9,1,11.1,1,11.1,143,110,76.9,33,23.1,37,25.9,149,108,72.5,41,27.5,42,28.2,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,2,2,100.0,0,0.0,0,0.0,45,26,57.8,19,42.2,20,44.4,235,182,77.4,53,22.6,57,24.3,0,0,0.0,0,0.0,0,0.0,10,8,80.0,2,20.0,2,20.0,1,1,100.0,1,100.0,1,1,100.0,1,100.0,15,13,86.7,14,93.3,0,0,0.0,0,0.0,22,20,90.9,21,95.5,0,0,0.0,0,0.0,1,1,100.0,1,100.0
BACA,VILAS RE-5,418,160,38.3,258,61.7,261,62.4,21,10,47.6,11,52.4,11,52.4,0,0,0.0,0,0.0,0,0.0,117,54,46.2,63,53.8,65,55.6,2,0,0.0,2,100.0,2,100.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,2,2,100.0,0,0.0,0,0.0,211,72,34.1,139,65.9,141,66.8,207,88,42.5,119,57.5,120,58.0,10,2,20.0,8,80.0,8,80.0,1,0,0.0,1,100.0,1,100.0,12,8,66.7,4,33.3,4,33.3,106,30,28.3,76,71.7,77,72.6,284,120,42.3,164,57.7,166,58.5,1,0,0.0,1,100.0,1,100.0,4,0,0.0,4,100.0,4,100.0,7,3,42.9,3,42.9,1,1,100.0,1,100.0,53,10,18.9,18,34.0,1,0,0.0,0,0.0,9,2,22.2,3,33.3,0,0,0.0,0,0.0,1,1,100.0,1,100.0
BACA,CAMPO RE-6,54,38,70.4,16,29.6,16,29.6,6,6,100.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,38,30,78.9,8,21.1,8,21.1,0,0,0.0,0,0.0,0,0.0,14,12,85.7,2,14.3,2,14.3,0,0,0.0,0,0.0,0,0.0,1,1,100.0,0,0.0,0,0.0,33,22,66.7,11,33.3,11,33.3,21,16,76.2,5,23.8,5,23.8,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,7,4,57.1,3,42.9,3,42.9,47,34,72.3,13,27.7,13,27.7,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
BENT,LAS ANIMAS RE-1,569,429,75.4,140,24.6,147,25.8,66,45,68.2,21,31.8,23,34.8,3,3,100.0,0,0.0,0,0.0,458,355,77.5,103,22.5,109,23.8,1,1,100.0,0,0.0,0,0.0,431,339,78.7,92,21.3,98,22.7,0,0,0.0,0,0.0,0,0.0,20,18,90.0,2,10.0,2,10.0,291,218,74.9,73,25.1,79,27.1,278,211,75.9,67,24.1,68,24.5,1,1,100.0,0,0.0,0,0.0,7,3,42.9,4,57.1,4,57.1,12,10,83.3,2,16.7,2,16.7,237,189,79.7,48,20.3,51,21.5,309,223,72.2,86,27.8,90,29.1,0,0,0.0,0,0.0,0,0.0,3,3,100.0,0,0.0,0,0.0,10,5,50.0,5,50.0,0,0,0.0,0,0.0,25,18,72.0,18,72.0,0,0,0.0,0,0.0,15,11,73.3,11,73.3,0,0,0.0,0,0.0,3,3,100.0,3,100.0
BENT,MC CLAVE RE-2,296,246,83.1,50,16.9,51,17.2,17,15,88.2,2,11.8,2,11.8,31,25,80.6,6,19.4,6,19.4,181,143,79.0,38,21.0,39,21.5,9,5,55.6,4,44.4,4,44.4,145,125,86.2,20,13.8,21,14.5,0,0,0.0,0,0.0,0,0.0,19,19,100.0,0,0.0,0,0.0,144,120,83.3,24,16.7,24,16.7,152,126,82.9,26,17.1,27,17.8,3,1,33.3,2,66.7,2,66.7,0,0,0.0,0,0.0,0,0.0,1,1,100.0,0,0.0,0,0.0,96,80,83.3,16,16.7,16,16.7,196,164,83.7,32,16.3,33,16.8,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,1,100.0,1,100.0,2,2,100.0,2,100.0,14,13,92.9,13,92.9,1,1,100.0,1,100.0,2,2,100.0,2,100.0,0,0,0.0,0,0.0,3,3,100.0,3,100.0
BOULDER,ST VRAIN VALLEY RE 1J,29351,24282,82.7,5015,17.1,5364,18.3,2453,2096,85.4,354,14.4,382,15.6,5323,4566,85.8,750,14.1,830,15.6,10467,8650,82.6,1783,17.0,1993,19.0,60,50,83.3,10,16.7,12,20.0,333,304,91.3,29,8.7,34,10.2,936,490,52.4,431,46.0,508,54.3,2109,1975,93.6,134,6.4,138,6.5,14416,11946,82.9,2438,16.9,2614,18.1,14935,12336,82.6,2577,17.3,2750,18.4,190,147,77.4,36,18.9,46,24.2,1008,846,83.9,162,16.1,167,16.6,329,248,75.4,81,24.6,89,27.1,8436,6945,82.3,1475,17.5,1612,19.1,19003,15789,83.1,3183,16.7,3369,17.7,66,47,71.2,19,28.8,20,30.3,319,260,81.5,59,18.5,61,19.1,118,61,51.7,63,53.4,171,110,64.3,112,65.5,587,403,68.7,412,70.2,10,7,70.0,7,70.0,5,1,20.0,1,20.0,87,54,62.1,56,64.4,171,170,99.4,170,99.4
BOULDER,BOULDER VALLEY RE 2,31329,26465,84.5,4832,15.4,5099,16.3,2857,2469,86.4,388,13.6,414,14.5,3006,2461,81.9,541,18.0,577,19.2,6921,5387,77.8,1519,21.9,1651,23.9,2,0,0.0,2,100.0,2,100.0,2077,1728,83.2,344,16.6,371,17.9,800,511,63.9,286,35.8,324,40.5,4696,4348,92.6,348,7.4,374,8.0,15385,13032,84.7,2338,15.2,2473,16.1,15944,13433,84.3,2494,15.6,2626,16.5,159,115,72.3,44,27.7,49,30.8,1870,1533,82.0,334,17.9,352,18.8,281,185,65.8,96,34.2,100,35.6,5382,4393,81.6,982,18.2,1050,19.5,22114,18964,85.8,3129,14.1,3287,14.9,29,19,65.5,9,31.0,10,34.5,1494,1256,84.1,238,15.9,251,16.8,230,160,69.6,163,70.9,140,99,70.7,101,72.1,508,374,73.6,387,76.2,5,4,80.0,4,80.0,10,5,50.0,6,60.0,133,85,63.9,86,64.7,362,343,94.8,352,97.2
CHAFFEE,BUENA VISTA R-31,1077,803,74.6,273,25.3,295,27.4,93,79,84.9,14,15.1,17,18.3,3,2,66.7,1,33.3,1,33.3,451,333,73.8,118,26.2,125,27.7,0,0,0.0,0,0.0,0,0.0,68,56,82.4,12,17.6,12,17.6,1,0,0.0,1,100.0,1,100.0,22,20,90.9,2,9.1,2,9.1,536,398,74.3,137,25.6,146,27.2,541,405,74.9,136,25.1,149,27.5,12,7,58.3,5,41.7,7,58.3,7,6,85.7,1,14.3,1,14.3,9,7,77.8,2,22.2,2,22.2,102,73,71.6,29,28.4,30,29.4,922,693,75.2,228,24.7,246,26.7,1,0,0.0,1,100.0,2,200.0,24,17,70.8,7,29.2,7,29.2,8,6,75.0,7,87.5,0,0,0.0,0,0.0,34,26,76.5,27,79.4,0,0,0.0,0,0.0,4,3,75.0,3,75.0,1,0,0.0,0,0.0,6,6,100.0,6,100.0
CHAFFEE,SALIDA R-32,1201,904,75.3,295,24.6,314,26.1,98,76,77.6,22,22.4,23,23.5,35,24,68.6,11,31.4,11,31.4,496,397,80.0,98,19.8,111,22.4,0,0,0.0,0,0.0,0,0.0,870,624,71.7,245,28.2,260,29.9,8,4,50.0,4,50.0,5,62.5,62,59,95.2,3,4.8,4,6.5,576,448,77.8,127,22.0,134,23.3,625,456,73.0,168,26.9,180,28.8,11,5,45.5,6,54.5,7,63.6,12,10,83.3,2,16.7,2,16.7,0,0,0.0,0,0.0,0,0.0,174,126,72.4,48,27.6,54,31.0,973,737,75.7,234,24.0,246,25.3,2,1,50.0,1,50.0,1,50.0,29,25,86.2,4,13.8,4,13.8,9,6,66.7,6,66.7,5,5,100.0,5,100.0,25,19,76.0,19,76.0,0,0,0.0,0,0.0,69,61,88.4,62,89.9,2,1,50.0,1,50.0,11,11,100.0,11,100.0
CHEYENNE,KIT CARSON R-1,131,102,77.9,29,22.1,29,22.1,10,6,60.0,4,40.0,4,40.0,2,0,0.0,2,100.0,2,100.0,61,45,73.8,16,26.2,16,26.2,2,0,0.0,2,100.0,2,100.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,9,9,100.0,0,0.0,0,0.0,71,59,83.1,12,16.9,12,16.9,60,43,71.7,17,28.3,17,28.3,0,0,0.0,0,0.0,0,0.0,1,1,100.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,19,14,73.7,5,26.3,5,26.3,111,87,78.4,24,21.6,24,21.6,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,3,2,66.7,2,66.7,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0
CHEYENNE,CHEYENNE COUNTY RE-5,208,145,69.7,63,30.3,65,31.3,30,23,76.7,7,23.3,8,26.7,28,12,42.9,16,57.1,16,57.1,89,56,62.9,33,37.1,35,39.3,4,1,25.0,3,75.0,3,75.0,20,15,75.0,5,25.0,5,25.0,0,0,0.0,0,0.0,0,0.0,4,3,75.0,1,25.0,1,25.0,89,60,67.4,29,32.6,29,32.6,119,85,71.4,34,28.6,36,30.3,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,2,0,0.0,2,100.0,2,100.0,47,22,46.8,25,53.2,25,53.2,158,123,77.8,35,22.2,36,22.8,0,0,0.0,0,0.0,0,0.0,1,0,0.0,1,100.0,2,200.0,1,0,0.0,0,0.0,1,1,100.0,1,100.0,7,5,71.4,6,85.7,2,2,100.0,2,100.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
CLEAR CREEK,CLEAR CREEK RE-1,1080,761,70.5,319,29.5,338,31.3,97,69,71.1,28,28.9,30,30.9,13,11,84.6,2,15.4,2,15.4,285,209,73.3,76,26.7,85,29.8,0,0,0.0,0,0.0,0,0.0,268,196,73.1,72,26.9,74,27.6,0,0,0.0,0,0.0,0,0.0,82,70,85.4,12,14.6,12,14.6,548,370,67.5,178,32.5,190,34.7,532,391,73.5,141,26.5,148,27.8,17,15,88.2,2,11.8,2,11.8,13,7,53.8,6,46.2,8,61.5,14,6,42.9,8,57.1,8,57.1,120,70,58.3,50,41.7,55,45.8,884,639,72.3,245,27.7,254,28.7,2,2,100.0,0,0.0,0,0.0,30,22,73.3,8,26.7,11,36.7,7,6,85.7,6,85.7,2,2,100.0,2,100.0,22,18,81.8,18,81.8,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,16,16,100.0,16,100.0
CONEJOS,NORTH CONEJOS RE-1J,1110,838,75.5,266,24.0,284,25.6,59,42,71.2,17,28.8,18,30.5,0,0,0.0,0,0.0,0,0.0,733,608,82.9,122,16.6,133,18.1,2,2,100.0,0,0.0,0,0.0,1036,814,78.6,216,20.8,231,22.3,1,0,0.0,1,100.0,1,100.0,29,26,89.7,3,10.3,3,10.3,557,416,74.7,139,25.0,149,26.8,553,422,76.3,127,23.0,135,24.4,6,5,83.3,1,16.7,2,33.3,7,0,0.0,7,100.0,7,100.0,6,5,83.3,1,16.7,1,16.7,658,498,75.7,154,23.4,169,25.7,416,316,76.0,100,24.0,102,24.5,3,2,66.7,1,33.3,1,33.3,14,12,85.7,2,14.3,2,14.3,11,11,100.0,11,100.0,1,1,100.0,1,100.0,64,57,89.1,57,89.1,0,0,0.0,0,0.0,69,63,91.3,63,91.3,0,0,0.0,0,0.0,0,0,0.0,0,0.0
CONEJOS,SANFORD 6J,369,287,77.8,82,22.2,82,22.2,27,19,70.4,8,29.6,8,29.6,2,2,100.0,0,0.0,0,0.0,245,188,76.7,57,23.3,57,23.3,0,0,0.0,0,0.0,0,0.0,210,163,77.6,47,22.4,47,22.4,2,0,0.0,2,100.0,2,100.0,48,43,89.6,5,10.4,5,10.4,203,153,75.4,50,24.6,50,24.6,166,134,80.7,32,19.3,32,19.3,2,0,0.0,2,100.0,2,100.0,3,0,0.0,3,100.0,3,100.0,0,0,0.0,0,0.0,0,0.0,107,77,72.0,30,28.0,30,28.0,252,205,81.3,47,18.7,47,18.7,0,0,0.0,0,0.0,0,0.0,5,5,100.0,0,0.0,0,0.0,3,1,33.3,2,66.7,0,0,0.0,0,0.0,10,7,70.0,8,80.0,0,0,0.0,0,0.0,1,1,100.0,1,100.0,1,0,0.0,0,0.0,5,5,100.0,5,100.0
