county,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed
ELBERT,3839,2825,1013,1043,389,279,110,116,76,51,25,25,765,521,244,253,0,0,0,0,401,297,105,106,2,1,1,1,251,228,23,25,1868,1389,477,493,1971,1436,536,550,33,16,17,17,26,12,14,14,378,251,127,132,3260,2459,800,823,19,16,16,6,3,3,64,54,54,0,0,0,0,0,0,2,2,2,28,27,27
FREMONT,6372,4692,1656,1793,782,595,186,201,61,51,10,10,1075,778,297,322,0,0,0,0,3340,2436,888,955,10,0,10,10,369,339,29,32,3138,2338,788,850,3234,2354,868,943,35,29,6,6,37,30,7,7,808,572,233,248,5247,3900,1326,1444,53,30,30,1,1,1,241,149,168,0,0,0,53,39,46,6,1,3,37,34,35
GARFIELD,12202,9365,2818,3057,887,689,197,211,3558,2964,588,669,5210,4158,1047,1165,46,30,16,16,4468,3360,1095,1180,134,89,44,52,655,589,66,70,5856,4530,1317,1429,6346,4835,1501,1628,78,58,20,20,38,14,24,24,5525,4377,1137,1268,6227,4667,1553,1655,59,46,47,120,74,78,298,199,221,2,2,2,7,0,2,7,6,7,58,56,58
GILPIN,416,288,128,135,47,31,16,19,2,2,0,0,124,73,51,54,0,0,0,0,22,14,8,9,2,1,1,1,32,27,5,5,200,144,56,60,216,144,72,75,7,6,1,1,5,1,4,6,48,30,18,19,337,242,95,98,5,2,2,1,1,1,8,5,5,0,0,0,0,0,0,1,1,1,2,2,2
GRAND,1874,1460,411,436,186,146,40,41,184,142,42,45,544,446,97,110,0,0,0,0,352,281,71,73,5,2,3,3,119,102,17,17,907,704,201,215,967,756,210,221,7,5,2,2,11,5,5,7,244,184,59,65,1572,1238,333,350,5,2,3,9,4,4,32,16,22,1,1,1,1,1,1,1,0,0,7,6,6
GUNNISON,1936,1552,384,424,123,104,19,21,161,139,22,27,529,383,146,159,3,2,1,1,90,71,19,23,2,0,2,2,232,207,25,27,955,755,200,219,981,797,184,205,8,7,1,1,2,1,1,1,290,235,55,60,1580,1273,307,340,9,6,7,10,5,5,26,20,20,2,1,1,0,0,0,0,0,0,11,11,11
HINSDALE,93,69,24,24,7,6,1,1,1,1,0,0,23,12,11,11,0,0,0,0,27,25,2,2,0,0,0,0,4,4,0,0,42,31,11,11,51,38,13,13,2,1,1,1,1,0,1,1,7,3,4,4,81,65,16,16,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
HUERFANO,876,607,268,286,97,75,22,27,6,2,4,4,612,415,196,210,4,3,1,1,478,354,124,133,0,0,0,0,22,18,4,5,436,302,133,142,440,305,135,144,4,2,2,2,7,1,6,6,476,361,114,121,361,226,135,146,7,6,7,1,0,0,42,33,36,0,0,0,4,3,3,0,0,0,7,7,7
JACKSON,205,151,54,60,26,19,7,9,23,19,4,4,117,81,36,41,0,0,0,0,103,67,36,41,2,0,2,2,7,6,1,1,105,78,27,30,100,73,27,30,0,0,0,0,0,0,0,0,43,36,7,8,156,114,42,47,2,1,1,1,1,1,8,6,6,0,0,0,13,12,12,0,0,0,2,2,2
JEFFERSON,90678,74398,16049,17618,7762,6429,1306,1496,6700,4710,1978,2157,29789,23622,6017,6950,67,54,13,13,10839,7752,3011,3420,2900,1730,1133,1305,10053,9466,578,649,44122,36303,7721,8426,46556,38095,8328,9192,2797,2324,472,515,1146,753,387,421,22211,16654,5472,6065,60676,51569,8980,9802,602,378,392,398,205,209,2090,1351,1423,12,3,3,295,157,165,247,144,151,933,891,900
KIOWA,290,195,95,96,38,23,15,16,4,3,1,1,141,89,52,53,3,0,3,3,45,31,14,15,0,0,0,0,15,12,3,3,134,84,50,51,156,111,45,45,2,0,2,2,5,1,4,4,37,23,14,14,240,166,74,75,0,0,0,0,0,0,10,8,10,0,0,0,0,0,0,0,0,0,4,4,4
KIT CARSON,1479,1092,387,395,158,108,50,52,255,202,53,57,847,590,257,263,43,38,5,5,234,186,48,48,32,6,26,26,62,53,9,9,710,516,194,198,769,576,193,197,6,3,3,3,13,13,0,0,429,324,105,111,1013,741,272,274,15,9,10,17,13,13,56,46,47,9,6,6,1,1,1,5,3,3,11,11,11
LA PLATA,7618,5582,2030,2158,659,504,160,176,230,159,71,79,2679,1954,719,778,2,2,0,0,1889,1495,388,430,66,28,34,38,584,503,81,83,3706,2755,950,1019,3912,2827,1080,1139,63,45,18,18,43,25,18,18,1393,964,424,465,5339,4051,1288,1348,47,29,30,9,6,6,166,102,118,0,0,0,1,1,1,4,0,2,65,62,64
LAKE,1246,930,316,336,128,100,28,31,467,357,110,119,862,665,197,213,3,3,0,0,139,108,31,33,8,1,7,7,60,50,10,10,616,460,156,168,630,470,160,168,1,0,1,1,3,1,2,2,843,656,187,202,352,253,99,103,10,3,4,24,13,13,43,29,29,3,1,1,0,0,0,0,0,0,8,8,8
LARIMER,30303,25131,5103,5784,2351,1937,411,499,2457,1959,500,618,8581,7332,1208,1571,45,34,11,11,2131,1661,459,525,732,501,224,275,2764,2603,159,183,14842,12333,2475,2806,15461,12798,2628,2978,998,777,221,258,419,310,107,128,5265,4187,1063,1268,22446,18923,3474,3853,198,114,118,127,91,91,643,466,487,5,3,3,6,1,1,118,80,84,295,289,291
LAS ANIMAS,2993,1871,1120,1161,283,206,77,81,86,64,22,22,1525,1049,475,499,8,5,3,3,988,681,306,327,13,1,12,13,69,57,12,13,1524,951,572,587,1469,920,548,574,30,23,7,7,48,16,32,32,1513,1034,477,503,1323,758,565,578,18,10,11,2,2,2,126,93,98,0,0,0,17,9,10,3,1,1,8,8,8
LINCOLN,997,596,401,411,113,75,38,38,22,12,10,10,429,275,154,159,0,0,0,0,234,155,79,80,17,1,16,16,34,31,3,3,484,297,187,190,513,299,214,221,10,6,4,4,24,14,10,11,81,42,39,39,862,520,342,351,12,7,7,2,1,1,52,33,35,0,0,0,7,3,4,4,3,3,2,2,2
LOGAN,3228,2499,727,776,372,291,80,89,173,135,38,39,1524,1156,366,395,9,5,4,4,1244,953,291,310,20,7,13,16,199,185,14,15,1536,1184,351,378,1692,1315,376,398,23,13,10,10,31,20,11,12,698,533,164,177,2370,1856,513,546,26,16,18,3,2,2,104,73,78,3,2,2,4,3,3,4,2,3,31,29,29
MESA,24785,19241,5399,6186,2452,2001,434,517,1585,1248,331,396,726,411,308,365,110,72,37,46,4687,3622,1006,1207,388,209,173,216,1272,1181,88,103,11995,9339,2582,2951,12790,9902,2817,3235,191,145,46,49,207,139,65,72,5359,4202,1121,1338,17855,13920,3834,4342,215,116,119,105,64,66,609,385,411,16,10,10,27,11,14,68,34,38,137,132,133
MINERAL,104,64,40,40,3,2,1,1,0,0,0,0,48,32,16,16,0,0,0,0,104,64,40,40,0,0,0,0,4,3,1,1,48,30,18,18,56,34,22,22,1,0,1,1,0,0,0,0,18,9,9,9,81,54,27,27,0,0,0,0,0,0,2,1,1,0,0,0,9,8,8,0,0,0,0,0,0
MOFFAT,2448,1875,573,638,213,164,50,56,254,194,59,75,1113,864,249,300,0,0,0,0,126,111,15,19,32,7,24,31,94,81,13,15,1163,889,275,312,1285,986,298,326,8,6,3,4,10,8,2,2,507,384,122,141,1850,1421,429,472,10,8,8,4,3,3,68,44,46,0,0,0,0,0,0,8,2,2,2,2,2
MONTEZUMA,4479,3102,1360,1500,407,310,96,108,318,211,106,116,2574,1802,761,864,9,9,0,0,1959,1413,528,588,11,3,8,8,236,202,34,35,2159,1481,669,731,2320,1621,691,769,20,14,6,6,24,18,6,7,715,502,209,228,2677,1894,771,832,30,13,13,44,16,17,166,84,90,0,0,0,0,0,0,3,2,2,20,19,19
MONTROSE,7098,5483,1581,1796,610,483,124,141,1090,882,203,241,3945,3079,843,1017,92,54,34,43,3127,2394,718,827,255,104,145,183,474,434,40,41,3452,2696,739,838,3646,2787,842,958,32,24,8,8,36,26,10,10,2448,1931,505,582,4344,3336,987,1114,32,14,14,54,33,33,271,190,193,9,1,2,6,1,1,19,11,11,50,48,50
MORGAN,5792,4451,1337,1450,522,393,128,143,1571,1262,308,339,3479,2717,759,856,242,125,116,126,1985,1521,462,501,179,50,129,147,362,336,26,27,2845,2194,648,708,2947,2257,689,742,23,16,7,7,159,80,79,82,3000,2343,656,725,2491,1928,560,600,28,15,17,89,43,49,254,168,191,29,12,13,56,42,44,25,9,11,30,30,30
OTERO,3764,2714,1050,1110,364,258,106,111,206,127,79,81,2533,1820,713,761,83,37,46,48,1780,1291,489,517,6,1,5,5,75,70,5,6,1824,1321,503,528,1940,1393,547,582,40,31,9,9,27,15,12,12,1997,1439,558,596,1633,1189,444,464,24,15,15,8,6,7,167,138,148,1,1,1,27,14,18,3,1,2,12,12,12
OURAY,605,419,186,192,43,29,14,15,27,9,18,18,209,140,69,71,3,2,1,1,44,24,20,21,1,0,1,1,58,53,5,5,308,204,104,107,297,215,82,85,8,6,2,2,2,2,0,0,68,33,35,38,506,361,145,148,8,5,6,3,1,1,17,12,13,0,0,0,1,0,0,0,0,0,2,2,2
PARK,1871,1260,610,630,199,144,55,59,5,2,3,3,782,463,319,328,0,0,0,0,222,161,61,63,5,0,5,5,160,140,20,21,892,593,299,310,979,667,311,320,17,11,6,6,18,7,11,12,179,115,64,68,1585,1083,501,514,15,9,9,1,0,0,43,27,29,0,0,0,1,0,0,1,0,0,11,9,9
PHILLIPS,960,763,197,207,99,77,22,24,137,110,27,30,455,340,115,122,11,5,6,6,47,38,9,9,0,0,0,0,53,52,1,1,460,359,101,107,500,404,96,100,3,2,1,1,4,1,3,3,287,224,63,67,655,525,130,136,6,4,5,6,3,3,31,24,25,2,1,1,3,3,3,0,0,0,6,6,6
PITKIN,1819,1529,290,312,120,109,11,12,202,157,45,49,117,92,25,26,0,0,0,0,0,0,0,0,0,0,0,0,98,91,7,7,876,742,134,147,943,787,156,165,34,27,7,7,13,12,1,1,203,163,40,42,1554,1321,233,253,8,6,8,10,6,6,16,13,14,0,0,0,0,0,0,0,0,0,4,4,4
PROWERS,2600,1967,633,664,208,155,53,56,216,170,46,50,1769,1284,485,513,89,62,27,28,1216,962,254,268,27,12,15,15,180,159,21,22,1218,911,307,320,1382,1056,326,344,8,6,2,2,13,11,2,2,1339,1031,308,322,1180,876,304,321,10,9,9,9,7,7,115,76,80,7,4,4,69,39,41,1,1,1,18,18,18
PUEBLO,29136,22215,6853,7702,3179,2533,649,759,1681,1291,382,437,16200,13084,3004,3619,91,60,31,33,8868,6774,2064,2400,1453,1103,325,403,1925,1711,209,227,14170,10794,3341,3734,14966,11421,3512,3968,193,139,54,56,601,396,204,226,15853,12409,3407,3929,11869,8852,2992,3276,171,63,67,83,47,50,1163,708,776,8,6,6,75,9,22,128,64,72,223,203,210
RIO BLANCO,1266,935,331,342,117,95,22,22,73,57,16,16,373,248,125,127,1,1,0,0,114,83,31,31,1,1,0,0,42,39,3,3,626,451,175,180,640,484,156,162,4,3,1,1,7,5,2,2,171,124,47,48,1061,788,273,283,5,5,5,2,2,2,15,13,13,0,0,0,1,0,0,0,0,0,6,6,6
RIO GRANDE,2463,1794,665,696,152,97,55,56,274,207,67,73,1198,887,309,332,74,45,29,32,1240,990,251,260,26,10,16,16,30,27,3,3,1211,874,335,352,1252,920,330,344,12,4,8,9,13,6,7,7,1400,1051,346,370,993,699,293,298,11,7,7,9,6,6,115,79,92,7,3,4,2,2,2,3,1,2,8,7,8
ROUTT,3346,2613,734,771,358,288,70,70,235,160,75,80,759,539,220,227,5,5,0,0,245,215,30,34,1,1,0,0,220,212,8,8,1601,1266,335,353,1745,1347,399,418,50,34,16,16,14,9,5,5,323,236,87,90,2900,2283,618,651,33,21,21,9,5,5,44,34,34,0,0,0,0,0,0,0,0,0,30,29,30
SAGUACHE,1027,697,330,356,88,60,28,29,253,170,83,93,796,562,234,255,118,57,61,70,674,457,217,239,123,60,63,70,5,5,0,0,513,354,159,172,514,343,171,184,2,1,1,2,4,2,2,2,642,469,173,191,347,206,141,148,9,6,6,10,6,6,58,46,46,6,3,3,22,18,18,8,6,6,2,2,2
SAN JUAN,84,45,39,40,7,4,3,3,17,9,8,9,51,30,21,22,0,0,0,0,28,19,9,10,1,0,1,1,13,9,4,4,32,15,17,18,52,30,22,22,0,0,0,0,0,0,0,0,25,11,14,15,59,34,25,25,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,1,1,1,0,0,0
SAN MIGUEL,1065,855,210,217,73,59,14,15,128,98,30,30,312,256,56,60,1,1,0,0,101,79,22,22,1,0,1,1,61,57,4,4,550,436,114,117,515,419,96,100,14,9,5,5,3,3,0,0,162,113,49,49,874,720,154,161,5,2,4,5,3,3,10,8,8,0,0,0,0,0,0,0,0,0,5,5,5
SEDGWICK,1655,467,1184,1203,132,70,62,64,6,6,0,0,313,190,122,124,0,0,0,0,39,33,5,6,0,0,0,0,23,17,6,6,991,246,741,754,664,221,443,449,14,0,14,14,60,7,53,53,330,98,232,233,1202,350,848,865,44,3,6,14,1,4,222,36,65,2,0,0,39,1,6,18,3,4,16,8,9
STATE TOTAL,939283,705064,231706,253577,84121,65593,18348,20784,135712,101683,33730,37912,369904,273934,94138,107242,2732,1725,988,1108,223008,156814,64601,73472,21337,11326,9665,11558,73344,66620,6641,7366,458512,344767,112568,122761,480771,360297,119138,130816,28964,22363,6568,7074,48049,31117,16622,18690,301035,219543,80495,90374,521342,403611,116715,124994,5775,3099,3222,6171,3289,3364,25718,15791,16726,384,214,223,7398,3853,4129,2394,1175,1262,6604,6048,6156
SUMMIT,3361,2614,746,782,323,273,50,54,844,692,152,166,1214,946,267,290,0,0,0,0,149,140,9,12,12,5,7,7,245,212,33,34,1618,1269,349,368,1743,1345,397,414,39,26,13,14,17,9,8,9,964,789,174,189,2240,1714,526,544,27,17,17,45,27,28,74,50,53,2,2,2,2,0,0,2,0,0,33,33,33
TELLER,3571,2460,1110,1170,287,188,99,104,39,25,14,14,511,187,324,344,0,0,0,0,379,247,132,147,34,18,16,18,82,67,15,15,1647,1142,505,539,1924,1318,605,631,24,16,8,9,18,12,6,6,284,188,96,100,3088,2145,942,995,19,15,16,3,2,2,95,71,78,0,0,0,0,0,0,14,9,10,12,11,11
WASHINGTON,943,723,215,224,106,78,26,28,19,13,6,6,420,288,127,135,17,5,12,12,194,134,58,61,4,0,4,4,50,50,0,0,477,349,125,132,466,374,90,92,4,2,2,2,2,2,0,0,120,78,42,42,804,628,171,180,7,4,4,2,2,2,32,30,30,1,1,1,7,7,7,1,1,1,8,8,8
WELD,42473,32343,10026,10906,3550,2715,840,917,8115,6539,1554,1763,20210,16119,3995,4620,678,424,242,286,9011,6796,2150,2446,726,305,412,490,2206,1981,220,235,20676,15799,4812,5248,21797,16544,5214,5658,553,352,200,209,542,335,204,221,19279,14924,4293,4825,21233,16115,5084,5385,246,158,164,328,247,251,1284,949,1000,73,55,57,99,57,58,106,67,71,232,225,229
YUMA,1933,1458,475,522,197,142,55,59,501,381,120,150,1104,779,325,361,94,59,35,42,672,504,168,186,66,13,53,56,47,44,3,3,974,740,234,262,959,718,241,260,3,3,0,0,5,2,3,4,691,511,180,217,1194,922,272,280,9,7,7,19,15,15,60,52,53,2,1,1,11,8,8,4,1,1,11,11,11
