county,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate
CONEJOS,1755,1318,431,450,101,72,29,30,28,25,3,3,1176,943,230,242,2,2,0,0,1521,1170,345,361,3,0,3,3,80,71,9,9,906,675,229,240,849,643,202,210,11,0,11,11,7,5,2,2,1006,752,248,264,696,535,161,163,15,13,14,3,2,2,92,78,79,1,0,0,92,82,82,1,0,0,6,6,6,75.1,24.56,25.64,71.29,28.71,29.7,86.67,93.33,89.29,10.71,10.71,66.67,66.67,80.19,19.56,20.58,84.78,85.87,100.0,0.0,0.0,0.0,0.0,76.92,22.68,23.73,89.13,89.13,0.0,100.0,100.0,0.0,0.0,88.75,11.25,11.25,100.0,100.0,74.5,25.28,26.49,75.74,23.79,24.73,8.22,2.79,2.92,76.87,23.13,23.42,71.43,28.57,28.57,74.75,24.65,26.24,0.0,100.0,100.0
COSTILLA,586,383,203,222,46,34,12,13,92,74,18,19,506,326,180,197,21,14,7,7,403,253,150,163,77,30,47,52,5,5,0,0,274,183,91,103,312,200,112,119,4,4,0,0,2,1,1,1,466,333,133,142,96,37,59,65,1,1,1,17,17,17,30,27,27,1,1,1,18,15,15,5,4,4,3,3,3,65.36,34.64,37.88,73.91,26.09,28.26,100.0,100.0,80.43,19.57,20.65,100.0,100.0,64.43,35.57,38.93,90.0,90.0,66.67,33.33,33.33,100.0,100.0,62.78,37.22,40.45,83.33,83.33,38.96,61.04,67.53,80.0,80.0,100.0,0.0,0.0,100.0,100.0,66.79,33.21,37.59,64.1,35.9,38.14,24.38,12.12,13.72,38.54,61.46,67.71,50.0,50.0,50.0,71.46,28.54,30.47,100.0,0.0,0.0
CROWLEY,578,382,196,203,60,35,25,26,5,2,3,3,419,262,157,163,2,2,0,0,578,382,196,203,0,0,0,0,11,9,2,2,271,175,96,101,307,207,100,102,0,0,0,0,4,2,2,2,139,86,53,57,385,257,128,131,4,3,3,0,0,0,31,28,30,0,0,0,38,36,37,1,1,1,0,0,0,66.09,33.91,35.12,58.33,41.67,43.33,75.0,75.0,40.0,60.0,60.0,0.0,0.0,62.53,37.47,38.9,90.32,96.77,100.0,0.0,0.0,0.0,0.0,66.09,33.91,35.12,94.74,97.37,0.0,0.0,0.0,100.0,100.0,81.82,18.18,18.18,0.0,0.0,64.58,35.42,37.27,67.43,32.57,33.22,23.83,13.07,13.75,66.75,33.25,34.03,50.0,50.0,50.0,61.87,38.13,41.01,0.0,0.0,0.0
CUSTER,480,361,119,121,50,44,6,6,0,0,0,0,212,142,70,70,0,0,0,0,178,128,50,51,0,0,0,0,38,35,3,3,238,182,56,57,242,179,63,64,7,7,0,0,5,4,1,1,20,6,14,14,436,336,100,102,5,5,5,0,0,0,20,18,18,0,0,0,0,0,0,0,0,0,7,6,6,75.21,24.79,25.21,88.0,12.0,12.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,66.98,33.02,33.02,90.0,90.0,0.0,0.0,0.0,0.0,0.0,71.91,28.09,28.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.11,7.89,7.89,85.71,85.71,76.47,23.53,23.95,73.97,26.03,26.45,32.13,9.89,10.06,77.06,22.94,23.39,80.0,20.0,20.0,30.0,70.0,70.0,100.0,0.0,0.0
DELTA,5630,4387,1222,1344,524,428,92,107,422,311,110,120,2821,2114,692,781,53,28,25,25,2272,1785,475,525,61,15,45,52,333,316,17,17,2735,2142,585,638,2895,2245,637,706,75,36,39,39,29,16,13,13,1154,936,214,242,4204,3285,905,985,44,30,30,30,22,22,238,188,193,5,5,5,2,0,0,10,4,5,40,39,39,77.92,21.71,23.87,81.68,17.56,20.42,68.18,68.18,73.7,26.07,28.44,73.33,73.33,74.94,24.53,27.69,78.99,81.09,52.83,47.17,47.17,100.0,100.0,78.57,20.91,23.11,0.0,0.0,24.59,73.77,85.25,40.0,50.0,94.89,5.11,5.11,97.5,97.5,78.32,21.39,23.33,77.55,22.0,24.39,2.86,0.78,0.85,78.14,21.53,23.43,55.17,44.83,44.83,81.11,18.54,20.97,48.0,52.0,52.0
DENVER,101183,70528,29884,34586,9563,7114,2374,2930,33214,24947,8081,9302,65857,49535,15743,19048,35,31,4,4,68363,47071,20573,24585,2175,1065,1028,1368,11759,10200,1513,1780,50175,35012,14774,16865,51008,35516,15110,17721,3304,2398,900,989,13762,9204,4392,5390,56228,40501,15286,18058,23953,15795,8049,8688,727,253,273,1141,558,577,4508,2179,2341,52,24,26,4328,2069,2231,404,106,117,952,743,774,69.7,29.53,34.18,74.39,24.82,30.64,34.8,37.55,75.11,24.33,28.01,48.9,50.57,75.22,23.9,28.92,48.34,51.93,88.57,11.43,11.43,46.15,50.0,68.85,30.09,35.96,47.8,51.55,48.97,47.26,62.9,26.24,28.96,86.74,12.87,15.14,78.05,81.3,69.78,29.44,33.61,69.63,29.62,34.74,0.14,0.06,0.07,65.94,33.6,36.27,66.88,31.91,39.17,72.03,27.19,32.12,72.58,27.24,29.93
DOLORES,318,229,89,91,25,16,9,9,0,0,0,0,146,102,44,45,0,0,0,0,161,119,42,43,0,0,0,0,11,11,0,0,156,116,40,41,162,113,49,50,0,0,0,0,1,1,0,0,21,9,12,13,266,202,64,65,1,1,1,0,0,0,11,9,10,0,0,0,2,2,2,0,0,0,1,1,1,72.01,27.99,28.62,64.0,36.0,36.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,69.86,30.14,30.82,81.82,90.91,0.0,0.0,0.0,0.0,0.0,73.91,26.09,26.71,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,74.36,25.64,26.28,69.75,30.25,30.86,47.67,16.44,16.85,75.94,24.06,24.44,100.0,0.0,0.0,42.86,57.14,61.9,0.0,0.0,0.0
DOUGLAS,66965,55140,11722,12396,5677,4896,773,854,3254,2026,1225,1297,7219,5364,1852,1913,7,1,6,6,1644,935,709,763,678,399,276,335,4022,3733,286,303,32803,27070,5682,5992,34162,28070,6040,6404,2606,2157,445,486,1546,917,627,670,9325,6706,2605,2780,50557,43000,7481,7856,331,220,227,82,61,62,534,346,368,1,0,0,329,252,265,79,44,49,266,262,265,82.34,17.5,18.51,86.24,13.62,15.04,66.47,68.58,62.26,37.65,39.86,74.39,75.61,74.3,25.65,26.5,64.79,68.91,14.29,85.71,85.71,0.0,0.0,56.87,43.13,46.41,76.6,80.55,58.85,40.71,49.41,55.7,62.03,92.81,7.11,7.53,98.5,99.62,82.52,17.32,18.27,82.17,17.68,18.75,0.25,0.05,0.06,85.05,14.8,15.54,59.31,40.56,43.34,71.91,27.94,29.81,82.77,17.08,18.65
EAGLE,6749,5472,1261,1365,584,507,76,88,2428,1965,455,505,2834,2278,547,612,28,22,6,6,1970,1602,361,406,87,42,45,50,527,462,65,68,3205,2631,568,621,3544,2841,693,744,67,57,10,12,25,19,6,6,3327,2711,605,665,3198,2584,610,647,31,18,18,142,68,68,149,113,113,2,2,2,1,0,0,11,7,7,45,43,44,81.08,18.68,20.23,86.82,13.01,15.07,58.06,58.06,80.93,18.74,20.8,47.89,47.89,80.38,19.3,21.59,75.84,75.84,78.57,21.43,21.43,100.0,100.0,81.32,18.32,20.61,0.0,0.0,48.28,51.72,57.47,63.64,63.64,87.67,12.33,12.9,95.56,97.78,82.09,17.72,19.38,80.16,19.55,20.99,2.56,0.55,0.6,80.8,19.07,20.23,76.0,24.0,24.0,81.48,18.18,19.99,85.07,14.93,17.91
EL PASO,128825,88927,39653,43430,10653,7724,2908,3338,8281,5835,2406,2724,47941,31352,16355,18510,47,29,18,19,21351,13236,7970,8786,2141,999,1118,1389,9084,8030,1052,1154,62697,43295,19299,21093,66128,45632,20354,22337,3620,2507,1105,1185,9999,6068,3891,4319,28749,19167,9482,10632,77513,55165,22272,24094,616,324,334,276,173,176,2711,1829,1913,4,3,3,121,78,82,184,96,100,864,817,828,69.03,30.78,33.71,72.51,27.3,31.33,52.6,54.22,70.46,29.05,32.89,62.68,63.77,65.4,34.11,38.61,67.47,70.56,61.7,38.3,40.43,75.0,75.0,61.99,37.33,41.15,64.46,67.77,46.66,52.22,64.88,52.17,54.35,88.4,11.58,12.7,94.56,95.83,69.05,30.78,33.64,69.01,30.78,33.78,0.11,0.05,0.05,71.17,28.73,31.08,60.69,38.91,43.19,66.67,32.98,36.98,69.25,30.52,32.73
