county,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate
ELBERT,3839,2825,1013,1043,389,279,110,116,76,51,25,25,765,521,244,253,0,0,0,0,401,297,105,106,2,1,1,1,251,228,23,25,1868,1389,477,493,1971,1436,536,550,33,16,17,17,26,12,14,14,378,251,127,132,3260,2459,800,823,19,16,16,6,3,3,64,54,54,0,0,0,0,0,0,2,2,2,28,27,27,73.59,26.39,27.17,71.72,28.28,29.82,84.21,84.21,67.11,32.89,32.89,50.0,50.0,68.1,31.9,33.07,84.38,84.38,0.0,0.0,0.0,0.0,0.0,74.06,26.18,26.43,0.0,0.0,50.0,50.0,50.0,100.0,100.0,90.84,9.16,9.96,96.43,96.43,74.36,25.54,26.39,72.86,27.19,27.9,3.98,1.37,1.41,75.43,24.54,25.25,46.15,53.85,53.85,66.4,33.6,34.92,48.48,51.52,51.52
FREMONT,6372,4692,1656,1793,782,595,186,201,61,51,10,10,1075,778,297,322,0,0,0,0,3340,2436,888,955,10,0,10,10,369,339,29,32,3138,2338,788,850,3234,2354,868,943,35,29,6,6,37,30,7,7,808,572,233,248,5247,3900,1326,1444,53,30,30,1,1,1,241,149,168,0,0,0,53,39,46,6,1,3,37,34,35,73.63,25.99,28.14,76.09,23.79,25.7,56.6,56.6,83.61,16.39,16.39,100.0,100.0,72.37,27.63,29.95,61.83,69.71,0.0,0.0,0.0,0.0,0.0,72.93,26.59,28.59,73.58,86.79,0.0,100.0,100.0,16.67,50.0,91.87,7.86,8.67,91.89,94.59,74.51,25.11,27.09,72.79,26.84,29.16,2.37,0.8,0.86,74.33,25.27,27.52,81.08,18.92,18.92,70.79,28.84,30.69,82.86,17.14,17.14
GARFIELD,12202,9365,2818,3057,887,689,197,211,3558,2964,588,669,5210,4158,1047,1165,46,30,16,16,4468,3360,1095,1180,134,89,44,52,655,589,66,70,5856,4530,1317,1429,6346,4835,1501,1628,78,58,20,20,38,14,24,24,5525,4377,1137,1268,6227,4667,1553,1655,59,46,47,120,74,78,298,199,221,2,2,2,7,0,2,7,6,7,58,56,58,76.75,23.09,25.05,77.68,22.21,23.79,77.97,79.66,83.31,16.53,18.8,61.67,65.0,79.81,20.1,22.36,66.78,74.16,65.22,34.78,34.78,100.0,100.0,75.2,24.51,26.41,0.0,28.57,66.42,32.84,38.81,85.71,100.0,89.92,10.08,10.69,96.55,100.0,77.36,22.49,24.4,76.19,23.65,25.65,1.32,0.38,0.42,74.95,24.94,26.58,36.84,63.16,63.16,79.22,20.58,22.95,74.36,25.64,25.64
GILPIN,416,288,128,135,47,31,16,19,2,2,0,0,124,73,51,54,0,0,0,0,22,14,8,9,2,1,1,1,32,27,5,5,200,144,56,60,216,144,72,75,7,6,1,1,5,1,4,6,48,30,18,19,337,242,95,98,5,2,2,1,1,1,8,5,5,0,0,0,0,0,0,1,1,1,2,2,2,69.23,30.77,32.45,65.96,34.04,40.43,40.0,40.0,100.0,0.0,0.0,100.0,100.0,58.87,41.13,43.55,62.5,62.5,0.0,0.0,0.0,0.0,0.0,63.64,36.36,40.91,0.0,0.0,50.0,50.0,50.0,100.0,100.0,84.38,15.62,15.62,100.0,100.0,72.0,28.0,30.0,66.67,33.33,34.72,36.0,14.0,15.0,71.81,28.19,29.08,20.0,80.0,120.0,62.5,37.5,39.58,85.71,14.29,14.29
GRAND,1874,1460,411,436,186,146,40,41,184,142,42,45,544,446,97,110,0,0,0,0,352,281,71,73,5,2,3,3,119,102,17,17,907,704,201,215,967,756,210,221,7,5,2,2,11,5,5,7,244,184,59,65,1572,1238,333,350,5,2,3,9,4,4,32,16,22,1,1,1,1,1,1,1,0,0,7,6,6,77.91,21.93,23.27,78.49,21.51,22.04,40.0,60.0,77.17,22.83,24.46,44.44,44.44,81.99,17.83,20.22,50.0,68.75,0.0,0.0,0.0,100.0,100.0,79.83,20.17,20.74,100.0,100.0,40.0,60.0,60.0,0.0,0.0,85.71,14.29,14.29,85.71,85.71,77.62,22.16,23.7,78.18,21.72,22.85,8.56,2.44,2.61,78.75,21.18,22.26,45.45,45.45,63.64,75.41,24.18,26.64,71.43,28.57,28.57
GUNNISON,1936,1552,384,424,123,104,19,21,161,139,22,27,529,383,146,159,3,2,1,1,90,71,19,23,2,0,2,2,232,207,25,27,955,755,200,219,981,797,184,205,8,7,1,1,2,1,1,1,290,235,55,60,1580,1273,307,340,9,6,7,10,5,5,26,20,20,2,1,1,0,0,0,0,0,0,11,11,11,80.17,19.83,21.9,84.55,15.45,17.07,66.67,77.78,86.34,13.66,16.77,50.0,50.0,72.4,27.6,30.06,76.92,76.92,66.67,33.33,33.33,50.0,50.0,78.89,21.11,25.56,0.0,0.0,0.0,100.0,100.0,0.0,0.0,89.22,10.78,11.64,100.0,100.0,79.06,20.94,22.93,81.24,18.76,20.9,8.28,2.19,2.4,80.57,19.43,21.52,50.0,50.0,50.0,81.03,18.97,20.69,87.5,12.5,12.5
HINSDALE,93,69,24,24,7,6,1,1,1,1,0,0,23,12,11,11,0,0,0,0,27,25,2,2,0,0,0,0,4,4,0,0,42,31,11,11,51,38,13,13,2,1,1,1,1,0,1,1,7,3,4,4,81,65,16,16,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,74.19,25.81,25.81,85.71,14.29,14.29,100.0,100.0,100.0,0.0,0.0,0.0,0.0,52.17,47.83,47.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.59,7.41,7.41,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,73.81,26.19,26.19,74.51,25.49,25.49,175.74,62.36,62.36,80.25,19.75,19.75,0.0,100.0,100.0,42.86,57.14,57.14,50.0,50.0,50.0
HUERFANO,876,607,268,286,97,75,22,27,6,2,4,4,612,415,196,210,4,3,1,1,478,354,124,133,0,0,0,0,22,18,4,5,436,302,133,142,440,305,135,144,4,2,2,2,7,1,6,6,476,361,114,121,361,226,135,146,7,6,7,1,0,0,42,33,36,0,0,0,4,3,3,0,0,0,7,7,7,69.29,30.59,32.65,77.32,22.68,27.84,85.71,100.0,33.33,66.67,66.67,0.0,0.0,67.81,32.03,34.31,78.57,85.71,75.0,25.0,25.0,0.0,0.0,74.06,25.94,27.82,75.0,75.0,0.0,0.0,0.0,0.0,0.0,81.82,18.18,22.73,100.0,100.0,69.27,30.5,32.57,69.32,30.68,32.73,15.89,7.0,7.47,62.6,37.4,40.44,14.29,85.71,85.71,75.84,23.95,25.42,50.0,50.0,50.0
JACKSON,205,151,54,60,26,19,7,9,23,19,4,4,117,81,36,41,0,0,0,0,103,67,36,41,2,0,2,2,7,6,1,1,105,78,27,30,100,73,27,30,0,0,0,0,0,0,0,0,43,36,7,8,156,114,42,47,2,1,1,1,1,1,8,6,6,0,0,0,13,12,12,0,0,0,2,2,2,73.66,26.34,29.27,73.08,26.92,34.62,50.0,50.0,82.61,17.39,17.39,100.0,100.0,69.23,30.77,35.04,75.0,75.0,0.0,0.0,0.0,0.0,0.0,65.05,34.95,39.81,92.31,92.31,0.0,100.0,100.0,0.0,0.0,85.71,14.29,14.29,100.0,100.0,74.29,25.71,28.57,73.0,27.0,30.0,70.75,24.49,27.21,73.08,26.92,30.13,0.0,0.0,0.0,83.72,16.28,18.6,0.0,0.0,0.0
JEFFERSON,90678,74398,16049,17618,7762,6429,1306,1496,6700,4710,1978,2157,29789,23622,6017,6950,67,54,13,13,10839,7752,3011,3420,2900,1730,1133,1305,10053,9466,578,649,44122,36303,7721,8426,46556,38095,8328,9192,2797,2324,472,515,1146,753,387,421,22211,16654,5472,6065,60676,51569,8980,9802,602,378,392,398,205,209,2090,1351,1423,12,3,3,295,157,165,247,144,151,933,891,900,82.05,17.7,19.43,82.83,16.83,19.27,62.79,65.12,70.3,29.52,32.19,51.51,52.51,79.3,20.2,23.33,64.64,68.09,80.6,19.4,19.4,25.0,25.0,71.52,27.78,31.55,53.22,55.93,59.66,39.07,45.0,58.3,61.13,94.16,5.75,6.46,95.5,96.46,82.28,17.5,19.1,81.83,17.89,19.74,0.19,0.04,0.04,84.99,14.8,16.15,65.71,33.77,36.74,74.98,24.64,27.31,83.09,16.88,18.41
KIOWA,290,195,95,96,38,23,15,16,4,3,1,1,141,89,52,53,3,0,3,3,45,31,14,15,0,0,0,0,15,12,3,3,134,84,50,51,156,111,45,45,2,0,2,2,5,1,4,4,37,23,14,14,240,166,74,75,0,0,0,0,0,0,10,8,10,0,0,0,0,0,0,0,0,0,4,4,4,67.24,32.76,33.1,60.53,39.47,42.11,0.0,0.0,75.0,25.0,25.0,0.0,0.0,63.12,36.88,37.59,80.0,100.0,0.0,100.0,100.0,0.0,0.0,68.89,31.11,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,20.0,100.0,100.0,62.69,37.31,38.06,71.15,28.85,28.85,46.78,27.84,28.4,69.17,30.83,31.25,20.0,80.0,80.0,62.16,37.84,37.84,0.0,100.0,100.0
KIT CARSON,1479,1092,387,395,158,108,50,52,255,202,53,57,847,590,257,263,43,38,5,5,234,186,48,48,32,6,26,26,62,53,9,9,710,516,194,198,769,576,193,197,6,3,3,3,13,13,0,0,429,324,105,111,1013,741,272,274,15,9,10,17,13,13,56,46,47,9,6,6,1,1,1,5,3,3,11,11,11,73.83,26.17,26.71,68.35,31.65,32.91,60.0,66.67,79.22,20.78,22.35,76.47,76.47,69.66,30.34,31.05,82.14,83.93,88.37,11.63,11.63,66.67,66.67,79.49,20.51,20.51,100.0,100.0,18.75,81.25,81.25,60.0,60.0,85.48,14.52,14.52,100.0,100.0,72.68,27.32,27.89,74.9,25.1,25.62,10.24,3.85,3.93,73.15,26.85,27.05,100.0,0.0,0.0,75.52,24.48,25.87,50.0,50.0,50.0
LA PLATA,7618,5582,2030,2158,659,504,160,176,230,159,71,79,2679,1954,719,778,2,2,0,0,1889,1495,388,430,66,28,34,38,584,503,81,83,3706,2755,950,1019,3912,2827,1080,1139,63,45,18,18,43,25,18,18,1393,964,424,465,5339,4051,1288,1348,47,29,30,9,6,6,166,102,118,0,0,0,1,1,1,4,0,2,65,62,64,73.27,26.65,28.33,76.48,24.28,26.71,61.7,63.83,69.13,30.87,34.35,66.67,66.67,72.94,26.84,29.04,61.45,71.08,100.0,0.0,0.0,0.0,0.0,79.14,20.54,22.76,100.0,100.0,42.42,51.52,57.58,0.0,50.0,86.13,13.87,14.21,95.38,98.46,74.34,25.63,27.5,72.26,27.61,29.12,2.01,0.69,0.74,75.88,24.12,25.25,58.14,41.86,41.86,69.2,30.44,33.38,71.43,28.57,28.57
LAKE,1246,930,316,336,128,100,28,31,467,357,110,119,862,665,197,213,3,3,0,0,139,108,31,33,8,1,7,7,60,50,10,10,616,460,156,168,630,470,160,168,1,0,1,1,3,1,2,2,843,656,187,202,352,253,99,103,10,3,4,24,13,13,43,29,29,3,1,1,0,0,0,0,0,0,8,8,8,74.64,25.36,26.97,78.12,21.88,24.22,30.0,40.0,76.45,23.55,25.48,54.17,54.17,77.15,22.85,24.71,67.44,67.44,100.0,0.0,0.0,33.33,33.33,77.7,22.3,23.74,0.0,0.0,12.5,87.5,87.5,0.0,0.0,83.33,16.67,16.67,100.0,100.0,74.68,25.32,27.27,74.6,25.4,26.67,12.12,4.11,4.43,71.88,28.12,29.26,33.33,66.67,66.67,77.82,22.18,23.96,0.0,100.0,100.0
LARIMER,30303,25131,5103,5784,2351,1937,411,499,2457,1959,500,618,8581,7332,1208,1571,45,34,11,11,2131,1661,459,525,732,501,224,275,2764,2603,159,183,14842,12333,2475,2806,15461,12798,2628,2978,998,777,221,258,419,310,107,128,5265,4187,1063,1268,22446,18923,3474,3853,198,114,118,127,91,91,643,466,487,5,3,3,6,1,1,118,80,84,295,289,291,82.93,16.84,19.09,82.39,17.48,21.23,57.58,59.6,79.73,20.35,25.15,71.65,71.65,85.44,14.08,18.31,72.47,75.74,75.56,24.44,24.44,60.0,60.0,77.94,21.54,24.64,16.67,16.67,68.44,30.6,37.57,67.8,71.19,94.18,5.75,6.62,97.97,98.64,83.1,16.68,18.91,82.78,17.0,19.26,0.56,0.11,0.13,84.3,15.48,17.17,73.99,25.54,30.55,79.53,20.19,24.08,77.86,22.14,25.85
LAS ANIMAS,2993,1871,1120,1161,283,206,77,81,86,64,22,22,1525,1049,475,499,8,5,3,3,988,681,306,327,13,1,12,13,69,57,12,13,1524,951,572,587,1469,920,548,574,30,23,7,7,48,16,32,32,1513,1034,477,503,1323,758,565,578,18,10,11,2,2,2,126,93,98,0,0,0,17,9,10,3,1,1,8,8,8,62.51,37.42,38.79,72.79,27.21,28.62,55.56,61.11,74.42,25.58,25.58,100.0,100.0,68.79,31.15,32.72,73.81,77.78,62.5,37.5,37.5,0.0,0.0,68.93,30.97,33.1,52.94,58.82,7.69,92.31,100.0,33.33,33.33,82.61,17.39,18.84,100.0,100.0,62.4,37.53,38.52,62.63,37.3,39.07,4.09,2.46,2.53,57.29,42.71,43.69,33.33,66.67,66.67,68.34,31.53,33.25,76.67,23.33,23.33
LINCOLN,997,596,401,411,113,75,38,38,22,12,10,10,429,275,154,159,0,0,0,0,234,155,79,80,17,1,16,16,34,31,3,3,484,297,187,190,513,299,214,221,10,6,4,4,24,14,10,11,81,42,39,39,862,520,342,351,12,7,7,2,1,1,52,33,35,0,0,0,7,3,4,4,3,3,2,2,2,59.78,40.22,41.22,66.37,33.63,33.63,58.33,58.33,54.55,45.45,45.45,50.0,50.0,64.1,35.9,37.06,63.46,67.31,0.0,0.0,0.0,0.0,0.0,66.24,33.76,34.19,42.86,57.14,5.88,94.12,94.12,75.0,75.0,91.18,8.82,8.82,100.0,100.0,61.36,38.64,39.26,58.28,41.72,43.08,12.68,7.98,8.11,60.32,39.68,40.72,58.33,41.67,45.83,51.85,48.15,48.15,60.0,40.0,40.0
LOGAN,3228,2499,727,776,372,291,80,89,173,135,38,39,1524,1156,366,395,9,5,4,4,1244,953,291,310,20,7,13,16,199,185,14,15,1536,1184,351,378,1692,1315,376,398,23,13,10,10,31,20,11,12,698,533,164,177,2370,1856,513,546,26,16,18,3,2,2,104,73,78,3,2,2,4,3,3,4,2,3,31,29,29,77.42,22.52,24.04,78.23,21.51,23.92,61.54,69.23,78.03,21.97,22.54,66.67,66.67,75.85,24.02,25.92,70.19,75.0,55.56,44.44,44.44,66.67,66.67,76.61,23.39,24.92,75.0,75.0,35.0,65.0,80.0,50.0,75.0,92.96,7.04,7.54,93.55,93.55,77.08,22.85,24.61,77.72,22.22,23.52,5.02,1.49,1.6,78.31,21.65,23.04,64.52,35.48,38.71,76.36,23.5,25.36,56.52,43.48,43.48
MESA,24785,19241,5399,6186,2452,2001,434,517,1585,1248,331,396,726,411,308,365,110,72,37,46,4687,3622,1006,1207,388,209,173,216,1272,1181,88,103,11995,9339,2582,2951,12790,9902,2817,3235,191,145,46,49,207,139,65,72,5359,4202,1121,1338,17855,13920,3834,4342,215,116,119,105,64,66,609,385,411,16,10,10,27,11,14,68,34,38,137,132,133,77.63,21.78,24.96,81.61,17.7,21.08,53.95,55.35,78.74,20.88,24.98,60.95,62.86,56.61,42.42,50.28,63.22,67.49,65.45,33.64,41.82,62.5,62.5,77.28,21.46,25.75,40.74,51.85,53.87,44.59,55.67,50.0,55.88,92.85,6.92,8.1,96.35,97.08,77.86,21.53,24.6,77.42,22.03,25.29,0.65,0.18,0.21,77.96,21.47,24.32,67.15,31.4,34.78,78.41,20.92,24.97,75.92,24.08,25.65
MINERAL,104,64,40,40,3,2,1,1,0,0,0,0,48,32,16,16,0,0,0,0,104,64,40,40,0,0,0,0,4,3,1,1,48,30,18,18,56,34,22,22,1,0,1,1,0,0,0,0,18,9,9,9,81,54,27,27,0,0,0,0,0,0,2,1,1,0,0,0,9,8,8,0,0,0,0,0,0,61.54,38.46,38.46,66.67,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,33.33,33.33,50.0,50.0,0.0,0.0,0.0,0.0,0.0,61.54,38.46,38.46,88.89,88.89,0.0,0.0,0.0,0.0,0.0,75.0,25.0,25.0,0.0,0.0,62.5,37.5,37.5,60.71,39.29,39.29,130.21,78.12,78.12,66.67,33.33,33.33,0.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,100.0
MOFFAT,2448,1875,573,638,213,164,50,56,254,194,59,75,1113,864,249,300,0,0,0,0,126,111,15,19,32,7,24,31,94,81,13,15,1163,889,275,312,1285,986,298,326,8,6,3,4,10,8,2,2,507,384,122,141,1850,1421,429,472,10,8,8,4,3,3,68,44,46,0,0,0,0,0,0,8,2,2,2,2,2,76.59,23.41,26.06,77.0,23.47,26.29,80.0,80.0,76.38,23.23,29.53,75.0,75.0,77.63,22.37,26.95,64.71,67.65,0.0,0.0,0.0,0.0,0.0,88.1,11.9,15.08,0.0,0.0,21.88,75.0,96.88,25.0,25.0,86.17,13.83,15.96,100.0,100.0,76.44,23.65,26.83,76.73,23.19,25.37,6.57,2.03,2.31,76.81,23.19,25.51,80.0,20.0,20.0,75.74,24.06,27.81,75.0,37.5,50.0
MONTEZUMA,4479,3102,1360,1500,407,310,96,108,318,211,106,116,2574,1802,761,864,9,9,0,0,1959,1413,528,588,11,3,8,8,236,202,34,35,2159,1481,669,731,2320,1621,691,769,20,14,6,6,24,18,6,7,715,502,209,228,2677,1894,771,832,30,13,13,44,16,17,166,84,90,0,0,0,0,0,0,3,2,2,20,19,19,69.26,30.36,33.49,76.17,23.59,26.54,43.33,43.33,66.35,33.33,36.48,36.36,38.64,70.01,29.56,33.57,50.6,54.22,100.0,0.0,0.0,0.0,0.0,72.13,26.95,30.02,0.0,0.0,27.27,72.73,72.73,66.67,66.67,85.59,14.41,14.83,95.0,95.0,68.6,30.99,33.86,69.87,29.78,33.15,3.18,1.44,1.57,70.75,28.8,31.08,75.0,25.0,29.17,70.21,29.23,31.89,70.0,30.0,30.0
MONTROSE,7098,5483,1581,1796,610,483,124,141,1090,882,203,241,3945,3079,843,1017,92,54,34,43,3127,2394,718,827,255,104,145,183,474,434,40,41,3452,2696,739,838,3646,2787,842,958,32,24,8,8,36,26,10,10,2448,1931,505,582,4344,3336,987,1114,32,14,14,54,33,33,271,190,193,9,1,2,6,1,1,19,11,11,50,48,50,77.25,22.27,25.3,79.18,20.33,23.11,43.75,43.75,80.92,18.62,22.11,61.11,61.11,78.05,21.37,25.78,70.11,71.22,58.7,36.96,46.74,11.11,22.22,76.56,22.96,26.45,16.67,16.67,40.78,56.86,71.76,57.89,57.89,91.56,8.44,8.65,96.0,100.0,78.1,21.41,24.28,76.44,23.09,26.28,2.26,0.62,0.7,76.8,22.72,25.64,72.22,27.78,27.78,78.88,20.63,23.77,75.0,25.0,25.0
MORGAN,5792,4451,1337,1450,522,393,128,143,1571,1262,308,339,3479,2717,759,856,242,125,116,126,1985,1521,462,501,179,50,129,147,362,336,26,27,2845,2194,648,708,2947,2257,689,742,23,16,7,7,159,80,79,82,3000,2343,656,725,2491,1928,560,600,28,15,17,89,43,49,254,168,191,29,12,13,56,42,44,25,9,11,30,30,30,76.85,23.08,25.03,75.29,24.52,27.39,53.57,60.71,80.33,19.61,21.58,48.31,55.06,78.1,21.82,24.6,66.14,75.2,51.65,47.93,52.07,41.38,44.83,76.62,23.27,25.24,75.0,78.57,27.93,72.07,82.12,36.0,44.0,92.82,7.18,7.46,100.0,100.0,77.12,22.78,24.89,76.59,23.38,25.18,2.71,0.8,0.87,77.4,22.48,24.09,50.31,49.69,51.57,78.1,21.87,24.17,69.57,30.43,30.43
OTERO,3764,2714,1050,1110,364,258,106,111,206,127,79,81,2533,1820,713,761,83,37,46,48,1780,1291,489,517,6,1,5,5,75,70,5,6,1824,1321,503,528,1940,1393,547,582,40,31,9,9,27,15,12,12,1997,1439,558,596,1633,1189,444,464,24,15,15,8,6,7,167,138,148,1,1,1,27,14,18,3,1,2,12,12,12,72.1,27.9,29.49,70.88,29.12,30.49,62.5,62.5,61.65,38.35,39.32,75.0,87.5,71.85,28.15,30.04,82.63,88.62,44.58,55.42,57.83,100.0,100.0,72.53,27.47,29.04,51.85,66.67,16.67,83.33,83.33,33.33,66.67,93.33,6.67,8.0,100.0,100.0,72.42,27.58,28.95,71.8,28.2,30.0,3.97,1.51,1.59,72.81,27.19,28.41,55.56,44.44,44.44,72.06,27.94,29.84,77.5,22.5,22.5
OURAY,605,419,186,192,43,29,14,15,27,9,18,18,209,140,69,71,3,2,1,1,44,24,20,21,1,0,1,1,58,53,5,5,308,204,104,107,297,215,82,85,8,6,2,2,2,2,0,0,68,33,35,38,506,361,145,148,8,5,6,3,1,1,17,12,13,0,0,0,1,0,0,0,0,0,2,2,2,69.26,30.74,31.74,67.44,32.56,34.88,62.5,75.0,33.33,66.67,66.67,33.33,33.33,66.99,33.01,33.97,70.59,76.47,66.67,33.33,33.33,0.0,0.0,54.55,45.45,47.73,0.0,0.0,0.0,100.0,100.0,0.0,0.0,91.38,8.62,8.62,100.0,100.0,66.23,33.77,34.74,72.39,27.61,28.62,21.5,10.96,11.28,71.34,28.66,29.25,100.0,0.0,0.0,48.53,51.47,55.88,75.0,25.0,25.0
PARK,1871,1260,610,630,199,144,55,59,5,2,3,3,782,463,319,328,0,0,0,0,222,161,61,63,5,0,5,5,160,140,20,21,892,593,299,310,979,667,311,320,17,11,6,6,18,7,11,12,179,115,64,68,1585,1083,501,514,15,9,9,1,0,0,43,27,29,0,0,0,1,0,0,1,0,0,11,9,9,67.34,32.6,33.67,72.36,27.64,29.65,60.0,60.0,40.0,60.0,60.0,0.0,0.0,59.21,40.79,41.94,62.79,67.44,0.0,0.0,0.0,0.0,0.0,72.52,27.48,28.38,0.0,0.0,0.0,100.0,100.0,0.0,0.0,87.5,12.5,13.12,81.82,81.82,66.48,33.52,34.75,68.13,31.77,32.69,7.45,3.76,3.9,68.33,31.61,32.43,38.89,61.11,66.67,64.25,35.75,37.99,64.71,35.29,35.29
PHILLIPS,960,763,197,207,99,77,22,24,137,110,27,30,455,340,115,122,11,5,6,6,47,38,9,9,0,0,0,0,53,52,1,1,460,359,101,107,500,404,96,100,3,2,1,1,4,1,3,3,287,224,63,67,655,525,130,136,6,4,5,6,3,3,31,24,25,2,1,1,3,3,3,0,0,0,6,6,6,79.48,20.52,21.56,77.78,22.22,24.24,66.67,83.33,80.29,19.71,21.9,50.0,50.0,74.73,25.27,26.81,77.42,80.65,45.45,54.55,54.55,50.0,50.0,80.85,19.15,19.15,100.0,100.0,0.0,0.0,0.0,0.0,0.0,98.11,1.89,1.89,100.0,100.0,78.04,21.96,23.26,80.8,19.2,20.0,16.97,4.77,5.06,80.15,19.85,20.76,25.0,75.0,75.0,78.05,21.95,23.34,66.67,33.33,33.33
PITKIN,1819,1529,290,312,120,109,11,12,202,157,45,49,117,92,25,26,0,0,0,0,0,0,0,0,0,0,0,0,98,91,7,7,876,742,134,147,943,787,156,165,34,27,7,7,13,12,1,1,203,163,40,42,1554,1321,233,253,8,6,8,10,6,6,16,13,14,0,0,0,0,0,0,0,0,0,4,4,4,84.06,15.94,17.15,90.83,9.17,10.0,75.0,100.0,77.72,22.28,24.26,60.0,60.0,78.63,21.37,22.22,81.25,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.86,7.14,7.14,100.0,100.0,84.7,15.3,16.78,83.46,16.54,17.5,9.67,1.75,1.92,85.01,14.99,16.28,92.31,7.69,7.69,80.3,19.7,20.69,79.41,20.59,20.59
PROWERS,2600,1967,633,664,208,155,53,56,216,170,46,50,1769,1284,485,513,89,62,27,28,1216,962,254,268,27,12,15,15,180,159,21,22,1218,911,307,320,1382,1056,326,344,8,6,2,2,13,11,2,2,1339,1031,308,322,1180,876,304,321,10,9,9,9,7,7,115,76,80,7,4,4,69,39,41,1,1,1,18,18,18,75.65,24.35,25.54,74.52,25.48,26.92,90.0,90.0,78.7,21.3,23.15,77.78,77.78,72.58,27.42,29.0,66.09,69.57,69.66,30.34,31.46,57.14,57.14,79.11,20.89,22.04,56.52,59.42,44.44,55.56,55.56,100.0,100.0,88.33,11.67,12.22,100.0,100.0,74.79,25.21,26.27,76.41,23.59,24.89,6.14,2.07,2.16,74.24,25.76,27.2,84.62,15.38,15.38,77.0,23.0,24.05,75.0,25.0,25.0
PUEBLO,29136,22215,6853,7702,3179,2533,649,759,1681,1291,382,437,16200,13084,3004,3619,91,60,31,33,8868,6774,2064,2400,1453,1103,325,403,1925,1711,209,227,14170,10794,3341,3734,14966,11421,3512,3968,193,139,54,56,601,396,204,226,15853,12409,3407,3929,11869,8852,2992,3276,171,63,67,83,47,50,1163,708,776,8,6,6,75,9,22,128,64,72,223,203,210,76.25,23.52,26.43,79.68,20.42,23.88,36.84,39.18,76.8,22.72,26.0,56.63,60.24,80.77,18.54,22.34,60.88,66.72,65.93,34.07,36.26,75.0,75.0,76.39,23.27,27.06,12.0,29.33,75.91,22.37,27.74,50.0,56.25,88.88,10.86,11.79,91.03,94.17,76.18,23.58,26.35,76.31,23.47,26.51,0.54,0.17,0.19,74.58,25.21,27.6,65.89,33.94,37.6,78.28,21.49,24.78,72.02,27.98,29.02
