,county,stable_rate,mobile_rate,mobile_instances_rate,disabled_stable_rate,disabled_mobile_rate,disabled_mobile_instances_rate,disabled_graduated_rate,disabled_completed_rate,limited_eng_stable_rate,limited_eng_mobile_rate,limited_eng_mobile_instances_rate,limited_eng_graduated_rate,limited_eng_completed_rate,poor_stable_rate,poor_mobile_rate,poor_mobile_instances_rate,poor_graduated_rate,poor_completed_rate,migrant_stable_rate,migrant_mobile_rate,migrant_mobile_instances_rate,migrant_graduated_rate,migrant_completed_rate,title_1_stable_rate,title_1_mobile_rate,title_1_mobile_instances_rate,title_1_graduated_rate,title_1_completed_rate,homeless_stable_rate,homeless_mobile_rate,homeless_mobile_instances_rate,homeless_graduated_rate,homeless_completed_rate,gifted_stable_rate,gifted_mobile_rate,gifted_mobile_instances_rate,gifted_graduated_rate,gifted_completed_rate,female_stable_rate,female_mobile_rate,female_mobile_instances_rate,male_stable_rate,male_mobile_rate,male_mobile_instances_rate,female_stable_rate_rate,female_mobile_rate_rate,female_mobile_instances_rate_rate,white_stable_rate,white_mobile_rate,white_mobile_instances_rate,black_stable_rate,black_mobile_rate,black_mobile_instances_rate,hispanic_stable_rate,hispanic_mobile_rate,hispanic_mobile_instances_rate,asian_stable_rate,asian_mobile_rate,asian_mobile_instances_rate,pupil_total,disabled_pupil_total,limited_eng_pupil_total,poor_pupil_total,migrant_pupil_total,title_1_pupil_total,homeless_pupil_total,gifted_pupil_total,female_pupil_total,male_pupil_total,asian_pupil_total,black_pupil_total,hispanic_pupil_total,white_pupil_total,disabled_grad_base_total,limited_eng_grad_base_total,poor_grad_base_total,migrant_grad_base_total,title_1_grad_base_total,homeless_grad_base_total,gifted_grad_base_total
10,COLORADO BOCS,46.32,54.29,54.78,61.45,44.58,44.58,60.71,67.86,45.71,54.29,54.29,54.55,68.18,46.34,53.66,54.88,57.14,71.43,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,44.44,55.56,58.33,60.0,66.67,25.0,75.0,100.0,33.33,66.67,45.99,54.01,54.52,46.62,54.55,55.01,11.88,13.96,14.09,53.99,46.77,47.53,47.62,52.38,52.38,25.59,74.88,74.88,68.75,31.25,31.25,816.0,83.0,35.0,164.0,0.0,0.0,36.0,4.0,387.0,429.0,16.0,21.0,211.0,526.0,28.0,22.0,77.0,1.0,1.0,15.0,3.0
11,CONEJOS,75.1,24.56,25.64,71.29,28.71,29.7,86.67,93.33,89.29,10.71,10.71,66.67,66.67,80.19,19.56,20.58,84.78,85.87,100.0,0.0,0.0,0.0,0.0,76.92,22.68,23.73,89.13,89.13,0.0,100.0,100.0,0.0,0.0,88.75,11.25,11.25,100.0,100.0,74.5,25.28,26.49,75.74,23.79,24.73,8.22,2.79,2.92,76.87,23.13,23.42,71.43,28.57,28.57,74.75,24.65,26.24,0.0,100.0,100.0,1755.0,101.0,28.0,1176.0,2.0,1521.0,3.0,80.0,906.0,849.0,11.0,7.0,1006.0,696.0,15.0,3.0,92.0,1.0,92.0,1.0,6.0
12,COSTILLA,65.36,34.64,37.88,73.91,26.09,28.26,100.0,100.0,80.43,19.57,20.65,100.0,100.0,64.43,35.57,38.93,90.0,90.0,66.67,33.33,33.33,100.0,100.0,62.78,37.22,40.45,83.33,83.33,38.96,61.04,67.53,80.0,80.0,100.0,0.0,0.0,100.0,100.0,66.79,33.21,37.59,64.1,35.9,38.14,24.38,12.12,13.72,38.54,61.46,67.71,50.0,50.0,50.0,71.46,28.54,30.47,100.0,0.0,0.0,586.0,46.0,92.0,506.0,21.0,403.0,77.0,5.0,274.0,312.0,4.0,2.0,466.0,96.0,1.0,17.0,30.0,1.0,18.0,5.0,3.0
13,CROWLEY,66.09,33.91,35.12,58.33,41.67,43.33,75.0,75.0,40.0,60.0,60.0,0.0,0.0,62.53,37.47,38.9,90.32,96.77,100.0,0.0,0.0,0.0,0.0,66.09,33.91,35.12,94.74,97.37,0.0,0.0,0.0,100.0,100.0,81.82,18.18,18.18,0.0,0.0,64.58,35.42,37.27,67.43,32.57,33.22,23.83,13.07,13.75,66.75,33.25,34.03,50.0,50.0,50.0,61.87,38.13,41.01,0.0,0.0,0.0,578.0,60.0,5.0,419.0,2.0,578.0,0.0,11.0,271.0,307.0,0.0,4.0,139.0,385.0,4.0,0.0,31.0,0.0,38.0,1.0,0.0
14,CUSTER,75.21,24.79,25.21,88.0,12.0,12.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,66.98,33.02,33.02,90.0,90.0,0.0,0.0,0.0,0.0,0.0,71.91,28.09,28.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.11,7.89,7.89,85.71,85.71,76.47,23.53,23.95,73.97,26.03,26.45,32.13,9.89,10.06,77.06,22.94,23.39,80.0,20.0,20.0,30.0,70.0,70.0,100.0,0.0,0.0,480.0,50.0,0.0,212.0,0.0,178.0,0.0,38.0,238.0,242.0,7.0,5.0,20.0,436.0,5.0,0.0,20.0,0.0,0.0,0.0,7.0
15,DELTA,77.92,21.71,23.87,81.68,17.56,20.42,68.18,68.18,73.7,26.07,28.44,73.33,73.33,74.94,24.53,27.69,78.99,81.09,52.83,47.17,47.17,100.0,100.0,78.57,20.91,23.11,0.0,0.0,24.59,73.77,85.25,40.0,50.0,94.89,5.11,5.11,97.5,97.5,78.32,21.39,23.33,77.55,22.0,24.39,2.86,0.78,0.85,78.14,21.53,23.43,55.17,44.83,44.83,81.11,18.54,20.97,48.0,52.0,52.0,5630.0,524.0,422.0,2821.0,53.0,2272.0,61.0,333.0,2735.0,2895.0,75.0,29.0,1154.0,4204.0,44.0,30.0,238.0,5.0,2.0,10.0,40.0
16,DENVER,69.68,29.55,34.22,74.35,24.87,30.7,34.62,37.38,75.11,24.33,28.0,48.9,50.57,75.21,23.91,28.93,48.3,51.9,88.57,11.43,11.43,46.15,50.0,68.85,30.09,35.96,47.8,51.55,48.94,47.29,62.93,26.24,28.96,86.74,12.87,15.14,78.05,81.3,69.75,29.47,33.65,69.61,29.64,34.78,0.14,0.06,0.07,65.78,33.75,36.45,66.9,31.89,39.15,72.03,27.19,32.12,72.6,27.22,29.93,100781.0,9523.0,33198.0,65820.0,35.0,68363.0,2174.0,11759.0,49991.0,50790.0,3288.0,13744.0,56185.0,23656.0,725.0,1141.0,4505.0,52.0,4328.0,404.0,952.0
17,DOLORES,72.01,27.99,28.62,64.0,36.0,36.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,69.86,30.14,30.82,81.82,90.91,0.0,0.0,0.0,0.0,0.0,73.91,26.09,26.71,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,74.36,25.64,26.28,69.75,30.25,30.86,47.67,16.44,16.85,75.94,24.06,24.44,100.0,0.0,0.0,42.86,57.14,61.9,0.0,0.0,0.0,318.0,25.0,0.0,146.0,0.0,161.0,0.0,11.0,156.0,162.0,0.0,1.0,21.0,266.0,1.0,0.0,11.0,0.0,2.0,0.0,1.0
18,DOUGLAS,82.34,17.5,18.51,86.24,13.62,15.04,66.47,68.58,62.26,37.65,39.86,74.39,75.61,74.3,25.65,26.5,64.79,68.91,14.29,85.71,85.71,0.0,0.0,56.87,43.13,46.41,76.6,80.55,58.85,40.71,49.41,55.7,62.03,92.81,7.11,7.53,98.5,99.62,82.52,17.32,18.27,82.17,17.68,18.75,0.25,0.05,0.06,85.05,14.8,15.54,59.31,40.56,43.34,71.91,27.94,29.81,82.77,17.08,18.65,66965.0,5677.0,3254.0,7219.0,7.0,1644.0,678.0,4022.0,32803.0,34162.0,2606.0,1546.0,9325.0,50557.0,331.0,82.0,534.0,1.0,329.0,79.0,266.0
19,EAGLE,81.08,18.68,20.23,86.82,13.01,15.07,58.06,58.06,80.93,18.74,20.8,47.89,47.89,80.38,19.3,21.59,75.84,75.84,78.57,21.43,21.43,100.0,100.0,81.32,18.32,20.61,0.0,0.0,48.28,51.72,57.47,63.64,63.64,87.67,12.33,12.9,95.56,97.78,82.09,17.72,19.38,80.16,19.55,20.99,2.56,0.55,0.6,80.8,19.07,20.23,76.0,24.0,24.0,81.48,18.18,19.99,85.07,14.93,17.91,6749.0,584.0,2428.0,2834.0,28.0,1970.0,87.0,527.0,3205.0,3544.0,67.0,25.0,3327.0,3198.0,31.0,142.0,149.0,2.0,1.0,11.0,45.0
20,EL PASO,69.03,30.78,33.71,72.51,27.3,31.33,52.6,54.22,70.46,29.05,32.89,62.68,63.77,65.4,34.11,38.61,67.47,70.56,61.7,38.3,40.43,75.0,75.0,61.99,37.33,41.15,64.46,67.77,46.66,52.22,64.88,52.17,54.35,88.4,11.58,12.7,94.56,95.83,69.05,30.78,33.64,69.01,30.78,33.78,0.11,0.05,0.05,71.17,28.73,31.08,60.69,38.91,43.19,66.67,32.98,36.98,69.25,30.52,32.73,128825.0,10653.0,8281.0,47941.0,47.0,21351.0,2141.0,9084.0,62697.0,66128.0,3620.0,9999.0,28749.0,77513.0,616.0,276.0,2711.0,4.0,121.0,184.0,864.0
21,ELBERT,73.59,26.39,27.17,71.72,28.28,29.82,84.21,84.21,67.11,32.89,32.89,50.0,50.0,68.1,31.9,33.07,84.38,84.38,0.0,0.0,0.0,0.0,0.0,74.06,26.18,26.43,0.0,0.0,50.0,50.0,50.0,100.0,100.0,90.84,9.16,9.96,96.43,96.43,74.36,25.54,26.39,72.86,27.19,27.9,3.98,1.37,1.41,75.43,24.54,25.25,46.15,53.85,53.85,66.4,33.6,34.92,48.48,51.52,51.52,3839.0,389.0,76.0,765.0,0.0,401.0,2.0,251.0,1868.0,1971.0,33.0,26.0,378.0,3260.0,19.0,6.0,64.0,0.0,0.0,2.0,28.0
22,FREMONT,73.63,25.99,28.14,76.09,23.79,25.7,56.6,56.6,83.61,16.39,16.39,100.0,100.0,72.37,27.63,29.95,61.83,69.71,0.0,0.0,0.0,0.0,0.0,72.93,26.59,28.59,73.58,86.79,0.0,100.0,100.0,16.67,50.0,91.87,7.86,8.67,91.89,94.59,74.51,25.11,27.09,72.79,26.84,29.16,2.37,0.8,0.86,74.33,25.27,27.52,81.08,18.92,18.92,70.79,28.84,30.69,82.86,17.14,17.14,6372.0,782.0,61.0,1075.0,0.0,3340.0,10.0,369.0,3138.0,3234.0,35.0,37.0,808.0,5247.0,53.0,1.0,241.0,0.0,53.0,6.0,37.0
23,GARFIELD,76.75,23.09,25.05,77.68,22.21,23.79,77.97,79.66,83.31,16.53,18.8,61.67,65.0,79.81,20.1,22.36,66.78,74.16,65.22,34.78,34.78,100.0,100.0,75.2,24.51,26.41,0.0,28.57,66.42,32.84,38.81,85.71,100.0,89.92,10.08,10.69,96.55,100.0,77.36,22.49,24.4,76.19,23.65,25.65,1.32,0.38,0.42,74.95,24.94,26.58,36.84,63.16,63.16,79.22,20.58,22.95,74.36,25.64,25.64,12202.0,887.0,3558.0,5210.0,46.0,4468.0,134.0,655.0,5856.0,6346.0,78.0,38.0,5525.0,6227.0,59.0,120.0,298.0,2.0,7.0,7.0,58.0
24,GILPIN,69.23,30.77,32.45,65.96,34.04,40.43,40.0,40.0,100.0,0.0,0.0,100.0,100.0,58.87,41.13,43.55,62.5,62.5,0.0,0.0,0.0,0.0,0.0,63.64,36.36,40.91,0.0,0.0,50.0,50.0,50.0,100.0,100.0,84.38,15.62,15.62,100.0,100.0,72.0,28.0,30.0,66.67,33.33,34.72,36.0,14.0,15.0,71.81,28.19,29.08,20.0,80.0,120.0,62.5,37.5,39.58,85.71,14.29,14.29,416.0,47.0,2.0,124.0,0.0,22.0,2.0,32.0,200.0,216.0,7.0,5.0,48.0,337.0,5.0,1.0,8.0,0.0,0.0,1.0,2.0
25,GRAND,77.91,21.93,23.27,78.49,21.51,22.04,40.0,60.0,77.17,22.83,24.46,44.44,44.44,81.99,17.83,20.22,50.0,68.75,0.0,0.0,0.0,100.0,100.0,79.83,20.17,20.74,100.0,100.0,40.0,60.0,60.0,0.0,0.0,85.71,14.29,14.29,85.71,85.71,77.62,22.16,23.7,78.18,21.72,22.85,8.56,2.44,2.61,78.75,21.18,22.26,45.45,45.45,63.64,75.41,24.18,26.64,71.43,28.57,28.57,1874.0,186.0,184.0,544.0,0.0,352.0,5.0,119.0,907.0,967.0,7.0,11.0,244.0,1572.0,5.0,9.0,32.0,1.0,1.0,1.0,7.0
